Verse,Text
1,"Sa’an nan Sarki Dawuda ya ce wa dukan taron, “Ɗana Solomon, wanda Allah ya zaɓa, matashi ne, kuma bai gogu ba. Aikin yana da yawa, domin wannan ƙasaitaccen ginin ba na mutum ba ne, na "
2,"Na riga na tara dukan kayayyakin da na tanada saboda haikalin Allahna, zinariya saboda dukan ayyukan zinariya, azurfa saboda ayyukan azurfa, tagulla saboda ayyukan tagulla, ƙarfe saboda ayyukan ƙarfe da kuma katako saboda ayyukan katako, da onis don ado, turkuwoyis, duwatsu masu launi dabam-dabam, da kuma dukan duwatsu masu kyau da mabul, dukan waɗannan suna nan jingim. "
3,"Ban da haka ma, cikin sa zuciyata ga haikalin Allahna, yanzu na ba da ma’ajina na zinariya da azurfa saboda haikalin Allahna, fiye da kome na tanada saboda wannan haikali, "
4,"talenti dubu uku na zinariya (zinariyar Ofir) da tacecciyar azurfa dubu bakwai; don adon bangon gine-ginen, "
5,"don aikin zinariya da kuma aikin azurfa, don kuma dukan aikin da gwanaye za su yi. Yanzu fa wa yake da niyya yă miƙa kansa a yau don "
6,"Sai shugabannin iyalai, shugabannin kabilan Isra’ila, manyan hafsoshin mayaƙa dubu-dubu da manyan hafsoshi mayaƙa ɗari-ɗari, da shugabannin lura da ayyukan sarki suka yi bayarwa da yardar rai. "
7,"Suka bayar talenti dubu biyar na zinariya, talenti dubu goma na azurfa, talenti dubu goma sha takwas na tagulla da talenti dubu ɗari na ƙarfe don aiki a haikalin Allah. "
8,Duk waɗanda suke da duwatsu masu daraja suka ba da su ga Yehiyel mutumin Gershon ma’ajin haikalin 
9,"Mutane suka yi farin ciki ganin yadda shugabanninsu suke bayarwa da yardar rai, gama sun bayar hannu sake da kuma dukan zuciya ga "
10,Dawuda ya yabi 
11,Girma da iko
12,Wadata da girma daga gare ka suke;
13,"Yanzu fa, Allahnmu, muna gode maka,"
14,"“Amma wane ni, kuma wace ce jama’ata da za mu iya ba ka a yalwace kamar haka? Kome daga gare ka suka fito, kuma mun ba ka abin da kawai ya fito daga hannunka ne. "
15,"Mu bare ne kuma baƙi a gabanka, kamar yadda dukan kakanninmu suke. Kwanakinmu a duniya suna kamar inuwa ne, ba sa zuciya. "
16,Ya 
17,"Na sani, Allahna, cewa kakan gwada zuciya, kakan kuma gamsu da mutunci. Dukan waɗannan abubuwa na bayar da yardar rai da kuma kyakkyawar niyya. Yanzu kuma da farin ciki na ga yadda mutanenka waɗanda suke a nan da yardar rai suka ba ka. "
18,Ya 
19,"Ka kuma ba ɗana Solomon cikakkiyar zuciya don yă kiyaye umarnanka, farillanka da ƙa’idodinka yă kuma yi kome don yă gina ƙasaitaccen gini wanda na riga na yi tanadi dominsa.”"
20,"Sa’an nan Dawuda ya ce wa dukan taron, “Ku yabi "
21,Kashegari suka miƙa hadayu ga 
22,Suka ci suka sha da farin ciki mai girma a gaban 
23,Saboda haka Solomon ya zauna a kujerar sarautar 
24,"Dukan shugabanni da jarumawa, har ma da dukan ’ya’yan Sarki Dawuda maza, suka yi alkawari za su yi wa Sarki Solomon biyayya."
25, 
26,Dawuda ɗan Yesse ya zama sarki a bisa dukan Isra’ila. 
27,"Ya yi mulki a bisa Isra’ila shekaru arba’in, shekaru bakwai a Hebron da kuma shekaru talatin da uku a Urushalima. "
28,"Ya mutu a kyakkyawar tsufa, bayan ya more dogon rai, wadata da girma. Ɗansa Solomon ya gāje shi a matsayin sarki."
29,"Game da ayyukan mulkin Sarki Dawuda, daga farko har ƙarshe, an rubuta su a cikin tarihin Sama’ila mai duba, tarihin annabi Natan da kuma tarihin Gad mai duba, "
30,tare da yadda mulkinsa da ikonsa da yanayin da suka kewaye shi da Isra’ila da kuma dukan masarautai na dukan sauran ƙasashe.
