Verse,Text
1,Dawuda ya rera wannan waƙa ga 
2,"Ya ce,"
3,Allahna shi ne dutsena. A gare shi nake samun kāriya
4,“Na kira ga 
5,Raƙumar ruwan mutuwa sun kewaye ni;
6,Igiyoyin mutuwa sun nannaɗe ni;
7,“A cikin wahalata na yi kira ga 
8,"Ƙasa ta yi rawa ta kuma girgiza,"
9,Hayaƙi ya taso daga kafaffen hancinsa;
10,"Ya buɗe sararin sama, ya sauko ƙasa,"
11,"Ya hau kerubobi, ya tashi sama;"
12,Ya mai da duhu abin rufuwarsa
13,Daga cikin hasken gabansa
14, 
15,"Ya harbe kibiyoyi, ya wartsar da abokan gāba,"
16,"Aka bayyana kwarin teku,"
17,"“Daga sama ya miƙo hannu ya ɗauke ni,"
18,"Ya kuɓutar da ni daga hannun abokin gāba mai iko,"
19,"Suka auka mini cikin ranar masifata,"
20,"Ya fito da ni, ya kai ni wuri mafi fāɗi;"
21,“
22,Gama na kiyaye hanyoyin 
23,Dukan dokokinsa suna a gabana;
24,Ba ni da laifi a gabansa
25, 
26,"“Ga masu aminci, kakan nuna kanka mai aminci,"
27,"ga masu tsarki, kakan nuna musu tsarki."
28,"Kakan ceci mai tawali’u,"
29,Ya 
30,Da taimakonka zan iya auka wa rundunar sojoji;
31,"“Ga Allah dai, hanyarsa cikakkiya ce;"
32,"Gama wane ne Allah, in ba "
33,"Allah ne ya ba ni ƙarfi,"
34,Ya sa ƙafafuna kamar ƙafafun barewa;
35,"Ya hori hannuwana don yaƙi,"
36,Ka ba ni garkuwar nasararka;
37,Ka fadada hanya a ƙarƙashina
38,"“Na fafari abokan gābana, na murƙushe su;"
39,"Na hallaka su ƙaƙaf, ba kuwa za su ƙara tashi ba,"
40,Ka ba ni ƙarfi don yaƙi;
41,"Ka sa abokan gābana suka juya a guje,"
42,"Suka nemi taimako, amma babu wanda zai cece su,"
43,"Na murƙushe su, suka yi laushi kamar ƙura;"
44,“Ka kuɓutar da ni daga harin mutanena;
45,baƙi kuma su na zuwa don su yi mini fadanci;
46,Zukatansu ta karaya;
47,“
48,"Shi ne Allahn da yake rama mini,"
49,wanda ya kuɓutar da ni daga maƙiyina.
50,"Saboda haka, zan yabe ka, ya "
51,“Ya ba wa sarkinsa kyakkyawan nasara;
