Verse,Text
1,“Mutum haihuwar mace
2,Yana tasowa kamar fure yana kuma shuɗewa;
3,Za ka zura ido a kan irin wannan ne?
4,Wane ne zai iya kawo abin da yake da tsarki daga cikin abu marar tsarki?
5,An lissafta kwanakin mutum;
6,"Saboda haka ka kawar da kanka daga gare shi,"
7,“Aƙalla itace yana da bege.
8,Ko da jijiyoyin itacen sun tsufa a cikin ƙasa
9,Daga ya ji ƙanshin ruwa zai tohu
10,Amma mutum yana mutuwa a bizne shi;
11,Kamar yadda ruwa yake bushewa a teku ko a gaɓar rafi
12,haka mutum zai kwanta ba zai tashi ba;
13,“Da ma za ka ɓoye ni a cikin kabari
14,"In mutum ya mutu, ko zai sāke rayuwa?"
15,Za ka kira zan kuwa amsa maka;
16,Ba shakka a lokacin ne za ka lura da matakaina
17,Za a daure laifofina a cikin jaka;
18,“Amma kamar yadda manyan duwatsu suke fāɗuwa
19,yadda ruwa yakan zaizaye duwatsu
20,"Ka sha ƙarfinsa gaba ɗaya, sai ya ɓace,"
21,"Ko an martaba ’ya’yansa maza, ba zai sani ba;"
22,Zafin jikinsa kaɗai yake ji
