Verse,Text
1,"To, Saira, matar Abram, ba tă haifa masa ’ya’ya ba. Amma tana da wata baiwa mutuniyar Masar mai suna Hagar, "
2,"saboda haka sai ta ce wa Abram, “"
3,"Saboda haka bayan Abram ya yi zama a Kan’ana shekaru goma, Saira matarsa ta ɗauki Hagar baiwarta ta ba wa mijinta tă zama matarsa. "
4,"Abram kuwa ya kwana da Hagar, ta kuma yi ciki."
5,"Sai Saira ta ce wa Abram, “Kai ne da alhakin wahalan nan da nake sha. Na sa baiwata a hannunka, yanzu da ta sani tana da ciki, sai ta fara rena ni. Bari "
6,"Abram ya ce, “Baiwarki tana a hannunki? Ki yi da ita yadda kika ga ya fi kyau.” Sai Saira ta wulaƙanta Hagar; saboda haka ta gudu daga gare ta."
7,Mala’ikan 
8,"Ya kuma ce mata, “Hagar, baiwar Saira, daga ina kika fito, kuma ina za ki?”"
9,Sai mala’ikan 
10,"Mala’ikan ya ƙara da cewa, “Zan ƙara zuriyarki har su yi yawan da ba wanda zai iya lasafta su.”"
11,Mala’ikan 
12,Zai zama mutum mai halin jakin jeji.
13,Sai ta ba wa 
14,Shi ya sa ake kira rijiyar Beyer-Lahai-Royi
15,"Haka fa Hagar ta haifa wa Abram ɗa, Abram kuwa ya ba da suna Ishmayel ga ɗan da ta haifa. "
16,Abram yana da shekaru 86 sa’ad da Hagar ta haifa masa Ishmayel.
