Verse,Text
1,Ga abin da 
2,"Ba hannuna ba ne ya yi dukan waɗannan abubuwa,"
3,Amma duk ya miƙa hadayar bijimi
4,saboda haka ni ma zan aukar musu da masifa mai zafi
5,Ku ji maganar 
6,"Ku ji wannan hayaniya daga birni,"
7,"“Kafin naƙuda ya fara mata,"
8,Wa ya taɓa jin irin wannan abu?
9,Zan kai mace har haihuwa
10,"“Ku yi farin ciki tare da Urushalima ku kuma yi murna saboda ita,"
11,Gama za ku tsotsa ku kuma ƙoshi
12,Gama ga abin da 
13,Kamar yadda uwa takan ta’azantar da ɗanta
14,"Sa’ad da kuka ga wannan, zuciyarku za tă yi farin ciki"
15,"Ga shi, "
16,Gama da wuta da kuma takobi
17,"“Waɗanda suka tsarkake suka kuma tsabtacce kansu don su je lambu, suna bin wannan da yake tsakiya"
18,"“Ni kuwa, saboda ayyukansu da kuma tunaninsu, ina dab da zuwa in tattara dukan al’ummai da harsuna, za su kuma zo su ga ɗaukakata."
19,"“Zan kafa alama a cikinsu, zan kuma aika waɗansu da suka tsira zuwa al’ummai, zuwa Tarshish, zuwa Libiya da Lidiya (sanannun ’yan aika), zuwa Tubal da kuma Girka, da kuma zuwa manisantan tsibirai da ba su taɓa jin labarin sunana ba ko su ga ɗaukakata. Za su yi shelar ɗaukakata a cikin al’ummai. "
20,"Za su kuma dawo da dukan ’yan’uwanku, daga dukan al’ummai, zuwa dutsena mai tsarki a Urushalima kamar hadaya ga "
21,"Zan kuwa zaɓa waɗansunsu kuma su zama firistoci da Lawiyawa,” in ji "
22,"“Kamar yadda sabuwar duniya da sabuwar sama za su tabbata a gabana,” in ji "
23,"Daga wannan sabon wata zuwa wancan, kuma daga wannan Asabbaci zuwa wancan, dukan mutane za su zo su rusuna a gabana,” in ji "
24,"“Za su kuma fita su ga gawawwakin mutanen da suka yi mini tayarwa; tsutsotsin da suke cinsu ba za su taɓa mutuwa ba, balle wutar da take ƙona su ta mutu, za su kuma zama abin ƙyama ga dukan mutane.”"
