Verse,Text
1,"Ku saurara, ya ku sammai, zan yi magana;"
2,Bari koyarwata tă zubo kamar ruwan sama
3,Zan yi shelar sunan 
4,"Shi Dutse ne, ayyukansa cikakku ne,"
5,Sun aikata mugunta a gabansa;
6,Haka za ku biya 
7,"Ku tuna da kwanakin dā,"
8,"Sa’ad da Mafi Ɗaukaka ya ba da al’ummai gādonsu,"
9,Gama rabon 
10,"A cikin hamada ya same shi,"
11,kamar gaggafar da take yawo a kan sheƙarta
12, 
13,Ya sa shi ya hau ƙwanƙolin dutse
14,da kindirmo da madara daga shanu da tumaki
15,Yeshurun
16,"Suka sa shi kishi saboda baƙin allolinsu,"
17,"Suka yi hadaya ga aljanu, waɗanda ba Allah ba,"
18,Kuka rabu da Dutsen da ya zama mahaifi gare ku;
19, 
20,"Ya ce, “Zan ɓoye fuskata daga gare su,"
21,"Sun sa ni kishi ta wurin abin da ba allah ba,"
22,"Gama fushina ya kama wuta,"
23,“Zan tula masifu a kansu
24,"Zan aika da yunwa mai tsanani a kansu,"
25,"Waɗanda suke a waje, takobi zai kashe su,"
26,Na ce zan watsar da su
27,"Amma ina tsoron tsokanar abokin gāba,"
28,"Al’ummai ne marasa azanci,"
29,A ce su masu hikima ne har su gane wannan
30,"Yaya mutum guda zai kore dubu,"
31,"Gama dutsensu ba kamar Dutsenmu ba ne,"
32,"Kuringarsu ta fito daga kuringar Sodom ne,"
33,"Ruwan inabinsu dafin macizai ne,"
34,“Ban jibge wannan a ma’ajiya
35,"Sakayya nawa ne, zan kuwa ɗau fansa."
36, 
37,"Zai ce, “To, ina allolinsu,"
38,allolin da suka ci kitsen hadayunsu
39,“Ku duba yanzu cewa ni ne Shi!
40,Na ɗaga hannu sama na kuma furta.
41,sa’ad da na wasa takobi mai walƙiya
42,"Zan sa kibiyoyina su bugu da jini,"
43,"Ku yi farin ciki, ya ku al’ummai, tare da mutanensa,"
44,Sai Musa ya zo da Yoshuwa
45,"Sa’ad da Musa ya gama karanta waɗannan kalmomi ga dukan Isra’ila, "
46,"ya ce musu, “Ku riƙe dukan kalmomin da na furta muku a yau, don ku umarce ’ya’yanku su lura, su yi biyayya da dukan kalmomin wannan doka. "
47,"Ba kalmomi kurum ba ne dominku, amma har ranku ma. Ta wurinsu za ku yi tsawon rai a ƙasar da kuke haye Urdun ku ci gādonta.”"
48,A wannan rana 
49,"“Ka hau Duwatsun Abarim zuwa Dutsen Nebo a Mowab, tsallake daga Yeriko, ka hangi Kan’ana, ƙasar da nake ba wa Isra’ilawa gādo. "
50,"A can kan dutsen da ka hau za ka mutu a kuma tara ka ga mutanenka, kamar yadda ɗan’uwanka Haruna ya mutu a Dutsen Hor aka kuma tara shi ga mutanensa. "
51,"Wannan kuwa domin ku biyu kun fid da aminci gare ni a gaban Isra’ilawa a ruwan Meriba ta Kadesh, a Hamadar Zin kuma saboda ba ku riƙe tsarkina a cikin Isra’ilawa ba. "
52,"Saboda haka, za ka ga ƙasar daga nesa kawai; ba za ka shiga ƙasar da nake ba wa mutanen Isra’ila ba.”"
