Verse,Text
1, 
2,"Ya yarda yă biya su dinari guda a yini, sai ya tura su gonar inabinsa."
3, 
4,"Ya ce musu, ‘Ku ma ku tafi gonar inabina ku yi aiki, zan kuwa biya ku abin da ya dace.’"
5,Saboda haka suka tafi.
6,"Wajen sa’a ta goma sha ɗaya, ya sāke fita, ya tarar da waɗansu har yanzu suna tsattsaye. Ya tambaye su, ‘Don me kuke yini tsattsaye a nan ba kwa kome?’"
7, 
8, 
9, 
10,"Saboda haka da waɗanda aka ɗauka da fari suka zo, sun zaci za su sami fiye da haka. Amma kowannensu ma ya karɓi dinari guda."
11,"Sa’ad da suka karɓa, sai suka fara yin gunaguni a kan mai gonar."
12,"Suna cewa, ‘Waɗannan mutanen da aka ɗauka a ƙarshe sun yi aikin sa’a ɗaya ne kawai, ka kuma mai da su daidai da mu da muka yini muna faman aiki, muka kuma sha zafin rana.’"
13, 
14,Ka karɓi hakkinka ka tafi. Ni na ga damar ba waɗannan na ƙarshe daidai da yadda na ba ka.
15,Ba ni da ikon yin abin da na ga dama da kuɗina ne? Ko kana kishi saboda ni mai kyauta ne?’
16, 
17,"To, da Yesu yana haurawa zuwa Urushalima, sai ya ja almajiran nan goma sha biyu gefe, ya ce musu, "
18,"“Za mu haura zuwa Urushalima, za a kuma bashe Ɗan Mutum ga manyan firistoci da malaman dokoki. Za su yi masa hukuncin kisa"
19,"za su kuma bashe shi ga Al’ummai su yi masa ba’a, su yi masa bulala, su kuma gicciye shi. A rana ta uku kuma a tashe shi!”"
20,"Sai mahaifiyar ’ya’yan Zebedin nan ta zo wurin Yesu tare da ’ya’yanta, da ta durƙusa a ƙasa, sai ta roƙe shi yă yi mata wani abu."
21,"Ya yi tambaya ya ce, "
22,"Yesu ya ce musu, "
23,"Yesu ya ce musu, "
24,"Da goman suka ji haka, sai suka yi fushi da ’yan’uwan nan biyu. "
25,"Yesu ya kira su wuri ɗaya ya ce, "
26,"Ba haka zai kasance da ku ba. Maimakon haka, duk mai son zama babba a cikinku, dole yă zama bawanku,"
27,"kuma duk mai son zama shugaba, dole yă zama bawanku,"
28,"kamar yadda Ɗan Mutum bai zo don a bauta masa ba, sai dai don yă yi bauta, yă kuma ba da ransa fansa saboda mutane da yawa.”"
29,"Sa’ad da Yesu da almajiransa suke barin Yeriko, sai wani babban taro ya bi shi. "
30,"Makafi biyu kuwa suna zaune a bakin hanya, da suka ji cewa Yesu yana wucewa, sai suka ɗaga murya suka ce, “Ubangiji, Ɗan Dawuda, ka ji tausayinmu!”"
31,"Mutane suka tsawata musu, suka ce musu su yi shiru. Sai suka ƙara ɗaga murya suna cewa, “Ubangiji, Ɗan Dawuda, ka ji tausayinmu!”"
32,"Yesu ya tsaya ya kira su. Ya tambaye su, "
33,"Suka amsa suka ce, “Ubangiji, muna so mu sami ganin gari.”"
34,"Sai Yesu ya ji tausayinsu, ya taɓa idanunsu. Nan da nan kuwa suka sami ganin gari, suka kuma bi shi."
