Verse,Text
1,Ya 
2,Ka san sa’ad da na zauna da sa’ad da na tashi;
3,Ka san fitata da kuma kwanciyata;
4,Kafin in yi magana da harshena
5,"Ka kewaye ni, gaba da baya;"
6,"Irin wannan sanin game da ni ya fi ƙarfin magana,"
7,Ina zan tafi daga Ruhunka?
8,"In na haura zuwa sammai, kana a can;"
9,"In na tashi a fikafikan safiya,"
10,"can ma hannunka zai bishe ni,"
11,"In na ce, “Tabbatacce duhu zai ɓoye ni"
12,duhu ma ba zai zama duhu gare ka ba;
13,Gama ka halicci ciki-cikina;
14,Ina yabonka domin yadda ka yi ni abin tsoro ne da kuma abin mamaki;
15,Ƙasusuwana ba a ɓoye suke a gare ka ba
16,Idanunka sun ga jikina marar fasali;
17,"Tunaninka suna da daraja gare ni, ya Allah!"
18,"A ce zan iya ƙirgansu,"
19,"Da kawai za ka kashe mugaye, ya Allah!"
20,Suna magana game da kai da mugun nufi;
21,"Ba ina ƙin masu ƙinka ba, ya "
22,Ba ni da wani abu da nake musu sai kiyaye kawai;
23,"Ka bincike ni, ya Allah ka kuma san zuciyata;"
24,"Duba ko akwai wani laifi a cikina,"
