Verse,Text
1,"Amo̩ma Juda che Pe̩re̩z, He̩zro̩n kpai Karmai kpai He̩r kpai Shobal. "
2,"Reaya, o̩ma Shobal, la bi Jehat; Jehat la bi Ahumai kpai Lehad. Akwo̩ra unyi akwo̩ra unyi abo Zo̩ra de̩. "
3,Ata Beam ne̩ abo-i: Je̩zree̩l kpai Ishma kpai Idbash; odu o̩maye-ma onobule̩ la ko̩ Haze̩le̩lponai; 
4,"kpai Pe̩nue̩l ata Gedo̩r kpai Ize̩r ata Husha. Abo-i chʼamo̩ma He̩r o̩mo̩gba E̩frata, ata Be̩tle̩he̩m. "
5,"Oñ Ashur ata Te̩koa nʼo̩ya meji, Hila kpai Neara. "
6,Ne-ara la bi Ahuzam kpai He̩fe̩r kpai Time̩nai kpai Heahashtarai ñw u. Abo le̩ chʼamo̩ma Neara e̩ne̩ke̩le̩. 
7,Amo̩ma Hila la che Zire̩t kpai Zo̩har kpai E̩tnan. 
8,Ko̩z la bi Enub kpai Zobiba kpai o̩lo̩pu o̩lo̩pu Aharhe̩l o̩ma Harum. 
9,"Je̩be̩z la nʼojima tʼamo̩maye-wñ le; iye-wñ la dʼodu-wñ Je̩be̩z, kakini, Ukpe̩ kʼu bi kpʼe̩do̩dudu. "
10,"Je̩be̩z la kwado̩ O̩jo̩ Israe̩l kakini, O, uwe̩ ma de̩nyo̩ ñwu mi ochochi, kʼe̩ hi alo̩me̩-mi tʼubi, kʼo̩wo̩-we̩ ki la dʼugbo mi, kʼe̩ laño̩ fʼumi de bʼe̩wñ e̩bie̩ne̩ te̩, kʼi we e̩chʼe̩do̩dudu ñwu mi! Tak O̩jo̩ dʼe̩wñ kʼi bi le̩ ñw u. "
11,Oñ Kilub o̩maye Shuha fu Mihe̩r kʼi chʼata E̩shto̩n bi. 
12,E̩shto̩n la bi Be̩t-refa kpai Pasiya kpai Te̩hina kʼi chʼata Ir-nehash. Abo le̩ chʼaboke̩le̩ Reka. 
13,Amo̩ma Kenaz la che O̩tnie̩! kpai Se̩raya. Amo̩ma O̩tnie̩l che Hatat. 
14,Mio̩no̩tai la bi O̩fra; Se̩raya la bi Joab kʼi chʼata Ge̩-hara-shim; todu ama chʼamachʼo̩na e̩wñ. 
15,"Amo̩ma Kele̩b o̩ma Je̩fune la che Airu, Ela, kpai Neam; kpai amo̩ma Da kpai Kenaz. "
16,"Oñ amo̩ma Je̩-hale̩lil che Zif kpai Zaifa, Tairia kpai Asaril. "
