Verse,Text
1,"E̩ne̩ du ki chʼake̩do̩no ka ki Jisus che Kraisti, mak O̩jo̩ chʼe̩te̩-wñ ku ma biʼi, e̩ne̩ du ki chʼe̩nufe̩do̩ e̩ne̩ ki bio̩ma afe̩do̩ o̩ma kʼi bi. "
2,"Ef e-i a ma ka kʼa afe̩do̩ amo̩ma O̩jo̩, owñ chʼabu kʼa afe̩do̩ O̩jo̩ kʼa la ade uko̩-wñ. "
3,"Todu e̩wñ ki chʼufe̩do̩ O̩jo̩ de̩, kʼa ki de uko̩-wñ. Uko̩-wñ la woji n. "
4,"Todu e̩wñ du ku ma bi kʼe̩te̩-wñ chʼO̩jo̩ afʼile̩ du; edu ki la adu ile̩-i la de̩, owñ chʼe̩do̩ ekono-wa. "
5,E̩ne̩ chʼe̩ne̩ ki adu ile̩-i kʼi ma chʼe̩ne̩ ki ake̩do̩no ka ki Jisus chʼO̩ma O̩jo̩ n?
6,"Owñ le̩ chʼe̩ne̩ ki wa lef omi kpʼe̩bie̩, owñ che Jisusi Kraisti, i chʼef omi kate n, chai ef omi kpʼe̩bie̩. "
7,"Afu la chʼe̩ne̩ ki agbʼo̩ ibenu, todabu kʼAfu le̩ chʼochochi. "
8,"Todu, abo ku ma agbʼo̩ ibenu chʼe̩ta, owñ chʼAfu kpʼomi kpʼe̩bie̩ le̩; alu-ma me̩te̩ta la chʼoka. "
9,"I la che̩wñ kʼa gbʼibenu kʼamone̩ agba, ibenu O̩jo̩ tule; todu, e-ki chʼibenu O̩jo̩ de̩, todu i fʼibenu o̩la O̩ma-wñ gba me̩. "
10,"Ake̩do̩nʼO̩ma O̩jo̩ nʼe̩nibenu le̩ ef uwñ. E̩ne̩ ki ma ke̩do̩nʼo̩la O̩jo̩ n, mʼowñ du chʼaremi me̩, abu kʼi ma ke̩do̩no ibenu O̩ma-wñ kʼO̩jo̩ gba le̩ n. "
11,"Ibenu le̩ la de̩ kakini, O̩jo̩ dʼiñmi ogbegbele̩ ñw a, iñmi le̩ la dʼef O̩ma-wñ. "
12,"AnʼO̩ma le̩ fʼiñmi ogbegbele̩ ne̩ me̩, e̩ne̩ ki ma nʼO̩ma O̩jo̩ n nʼiñmi n."
13,"U fʼe̩wñ-i ko̩ rʼume̩ todu kʼa-me̩ ki ma ka kʼame̩ fʼiñmi ogbegbele̩ ne̩ me̩, owñ chʼame̩ amake̩do̩nʼodu O̩ma O̩jo̩. "
14,"E-ki chʼeju e̩gbo̩ kʼa ne̩ ugbo-wñ la de̩ kakini, Iche̩wñ kʼa abi e̩wñʼka likpa alu ki dʼowñ e̩do̩ mak i agbo̩ ebi-wa. "
15,"I la che̩wñ kʼa ma ka kʼi agbo̩ e̩bi-wa, mak e̩wñ du ki che kʼa abi, a chema ka kʼe̩wñ ebi kʼa bi ugbo-wñ a ne̩ me̩. "
16,"Iche̩wñ kʼe̩ne̩ʼka li abu kʼo̩maye-wñ adure, ki ma chʼedure e-uku n, i abi, tak i adʼiñmi ñw u tod abo kʼedure-ma ma chʼe-uku n. Adure e-uku do̩mo̩; i chʼutodu e-le̩ oñ u ka kʼi atene n. "
17,"E̩wñ du ki ma tʼo̩kpakpa n chʼadure, adure la do̩mo̩ ki ma chʼe-uku n."
18,"A chema ka kʼe̩ne̩ du ku ma bi kʼe̩te̩-wñ chʼO̩jo̩ adure ño̩ dure n, ama e̩ne̩ ku ma bi kʼe̩te̩-wñ chʼO̩jo̩, O̩jo̩ ade e̩ne̩ le̩, oñ e̩ne̩bibi la neke do̩wo̩ kadʼo n."
19,"A chema ka kʼO̩jo̩ chʼe̩te̩-wa, kʼo̩gbo̩ ile̩-i du la dachi of e̩ne̩bibi le̩."
20,"A la chema ka kʼO̩ma O̩jo̩ lewa me̩, i laño̩ dʼibe e̩wñ ema ñw a, todu kʼa ki ma E̩nogbolo le̩; a la jʼef E̩nogbolo le̩, ef O̩ma-wñ Jisusi Kraist. Owñ le̩ chʼO̩jo̩ ogbolo kpʼiñmi ogbegbele̩. "
21,"Amo̩ma-mi, fʼo̩la-me̩ de bʼode te̩."
