Verse,Text
1,Po̩l kpai Silfano̩s kpai Timoti tʼugbo ujeju abudo̩ Ondu e-Te̩se̩lonaika ef O̩jo̩ Ata kpai Ondu Jisus Kraisti: ufe̩de̩nyo̩ kpai ure̩do̩ ki dʼugbo me̩.
2,"A gwa O̩jo̩ e̩gba du tod ume̩ chaka, a achʼurewa-me̩ ef adua-wa. "
3,A kpeke chʼurewa uko̩lo̩-me̩ e-e̩do̩ ekono kpai akanya e-ufe̩do̩ ku me̩ che kpai alu ku me̩ fʼe̩do̩ lichi akibenʼOndu-wa Jisus Kraisti eju O̩jo̩-wa kpa; Ata-wa n. 
4,"Amo̩maye, ame̩ kʼO̩jo̩ te̩tafe̩do̩, abu kʼa chema echi kʼi chi me̩, "
5,"todabu kʼUche̩nyo̩-wa ma wate̩ ñwu me̩ ef o̩la eka kate n, kʼi muda ño̩ wa ef ukpahiu kpai ef Afu Kiafo̩ kpai ef o̩gbali e̩do̩ nana, abu ku me̩ chema alu kʼa de̩ ef ume̩ todu me̩. "
6,Tak ame̩ mud abo ku ma wʼuwa kpai Ondu che ku me̩ yo̩ ñw o̩la le̩ oñ me̩ gba ef o̩bata nana manyʼuyo̩ e-Afu Kiafo̩. 
7,Todabe̩le̩ ame̩ mud e̩wñ kʼabo Masidonia kpai Akaya awo̩li-wñ. 
8,"Todu ugbo me̩ oñ ekuku o̩la Ondu kwo dufu, i chʼoj ane̩ Masidonia kpai Akaya kate n, inabali e̩do̩ ku me̩ konʼO̩jo̩ ño̩ mukpatuka rʼugbo tʼugbo du. Todabe̩le̩ eku-wñ aku wa kʼa ki ka e̩wñ du n. "
9,"Todu ama onugo dʼo̩la-wa ka e̩go̩ alu kʼegudu kʼa gudu wʼugbo me̩ de̩, kpai alu ku me̩ rida tʼugbo O̩jo̩ bʼode te̩ ku me̩ chʼadu ñw O̩jo̩ kʼi deju kpʼe-ogbolo; "
10,"ku me̩ la gugu anode O̩ma-wñ kʼi akwʼefojale wa, owñ chʼe-kʼi dʼu kwane̩ kwef abo ki ku, owñ che Jisus kʼi agba wa bʼuwe̩do̩ ki awa te̩."
