Verse,Text
1,"Todu, amo̩maye, ame̩ onugo chema egudu kʼa gudu wʼugbo me̩ le̩ ka kʼi chʼofofo n. "
2,"Ama abu kʼa fʼuwa li tane̩ ku ma laño̩ fʼuwa bina kpa Filipai alu ku me̩ chema le̩, a nʼeju egbo ef O̩jo̩-wa kʼa fejugbiti nana ako̩la Uche̩nyo̩ O̩jo̩ ñwu me̩. "
3,"Todu, ugbe̩do̩ kʼa du ñwu me̩ kwef ila n, i la kwef iwa n, i la chʼo̩gwo̩ i che n. "
4,"I muda dabalu kʼO̩jo̩ fʼuwa ñwago kʼa nyo̩ ku ma ke̩do̩no wa ku ma dʼUche̩nyo̩ tef o̩wo̩-wa, abe̩le̩ a ako̩la; a ache dabe̩ne̩ kʼa nyʼamone̩ eju n, chai O̩jo̩ kʼi añwʼe̩do̩-wa go. "
5,"Todu a ko̩la urinyo̩ o̩fa mama ta n, ame̩ chema e-le̩. A la nʼakpaine̩ chʼejufufu e̩wñ n, O̩jo̩ chʼe̩nibenu. "
6,"A la tene ojima ugbo amone̩ n, i chaka chʼugbo me̩, i chaka chʼugbo abo omune̩, abu kʼa ma neke woji nʼume̩ ukpe̩ kʼa chʼame̩nukpuche̩ Kraisti. "
7,"A muda de̩ yo̩o̩ alumeji-me̩, dabe̩ne̩ kʼa chʼonobule̩ kʼi anʼe̩ma kʼi adejutʼo̩ma-wñ onugo. "
8,"Abe̩le̩ abu ku me̩ che̩mu wa e̩do̩ tabale i rʼuwa e̩do̩ kʼa dʼUche̩nyo̩ O̩jo̩ kate ñwu me̩ n, chai onugo e-wa manyʼu ge̩, todabu ku me̩ mud ame̩nufe̩do̩-wa."
9,"Todu ame̩ rewa akanya-wa kpʼo̩bata uko̩lo̩-wa, amo̩maye, abu kʼa chʼuko̩lo̩ odu kpʼo̩ro̩ka kʼa we edʼadu nʼe̩ne̩ du ef ume̩ oji, oñ a fʼakoya Uche̩nyo̩ O̩jo̩ ta ñwu me̩. "
10,"Ame̩ chʼame̩nibenu kpʼO̩jo̩, alu kʼa de̩ ugbo ame̩ ku me̩ ke̩do̩no, alu kʼa chʼefe̩, kʼa chʼo̩kpakpa, kʼa ma nʼuchalu n. "
11,"Ame̩ ño̩ chema alu kʼa che kpʼe̩ne̩ne̩ne̩ne̩-me̩ okoke alu kʼata ache kpʼamo̩ma-wñ onugo, kʼa dʼugbe̩do̩ ñwu me̩, a la nyʼume̩ e̩do̩, oñ a gbibenu, "
12,todu kʼame̩ ki tale nyo̩nyo̩ bʼO̩jo̩ kʼi ado̩ me̩ tʼojane̩-wñ kpʼojima-wñ jo̩.
13,"Oñ lef e-le̩ a ño̩ gwʼO̩jo̩ o̩ko̩ko̩lo̩, ka kʼabu ku me̩ mʼo̩lO̩jo̩ ku me̩ gbo̩ ugbo wa le̩ gba, me̩ yo̩ ñw u dabe̩ne̩ kʼi chʼo̩la amone̩ n, chai alu ki de̩ ochochi, kʼi chʼo̩lO̩jo̩, kʼi laño̩ dʼef ame̩ ku me̩ ke̩do̩no achʼuko̩lo̩-wñ. "
14,"Todu, amo̩maye, ame̩ mud abu ku ma wʼujeju ujeju abudo̩ O̩jo̩ ku ma jo̩ Judia efu Kraisti Jisus che, todabu kʼame̩ ño̩ li uwa ugbo abo ichi-me̩ onugo alu kʼama le̩ li ugbo amaJu, "
15,"ku ma fʼOndu Jisus kpai amakache̩ kpa ku ma ño̩ fʼuwa ne dufu; ma la nyo̩ O̩jo̩ eju n, ma laño̩ chʼe̩nuja amone̩ du. "
16,Ma jʼagbʼo̩na nyʼuwa kʼa we o̩la ki ajadu abo uche̩ichi eka ñw uma; todu ku ma gbʼadure-ma nyʼu e̩gba du ki jo̩ kpa. Uwe̩do̩ le̩ muda lewa bʼuma ma tʼukpoji me̩.
17,"Ama, amo̩maye, abu kʼa chedaru bʼume̩ te̩ iko re-i, e-eju ede i che, i chʼe-e̩do̩ n, a chʼe̩do̩chacha ololo tule todu kʼa li eju-me̩, e̩ño̩-wñ che wa nana. "
18,"Todule̩ oñ i dʼuwa e̩do̩ kʼa wʼugbo me̩ onu meji ñw e̩ta, owñ chʼomi Po̩l, Setan muda kpʼo̩na nyʼuwa. "
19,Todu e̩wñ chʼukibeno-wa kpai uyo̩-wa kpai uloko kʼa dʼu buba o̩gba Ondu-wa Jisus ef ewa-wñ? I chʼame̩ n? 
20,Todu ame̩ chʼojima-wa kpai uyo̩-wa.
