Verse,Text
1,"Po̩l, kʼi chʼe̩nukpuche̩ Kraisti Jisus alu kʼO̩jo̩ E̩najadu-wa kpai Kraisti Jisus ukibeno-wa ñwate̩, "
2,"tʼugbo Timoti, o̩ma-mi o̩gbo̩lo̩ ef e̩do̩ ekono:"
3,"Alu kʼu dʼugbe̩do̩ ñw e̩ kʼe̩ guane̩ E̩fe̩sus, abu kʼu tʼo̩na anyi Masidonia le̩, todu kʼe̩ hi abo iche̩ka le̩ owu ku ma we o̩la omune̩ ojoji ekʼone̩, "
4,ku ma laño̩ we enyʼalo̩ ofo ku ma lo̩ kpʼo̩la o̩gba o̩gba jeele ki ma nʼuda n le̩ eti; abʼe-le̩ anyi ili o̩la e̩gwa ofo wa tʼigede e̩wñ O̩jo̩ ede ef e̩do̩ ekono le. 
5,"Ukpoji owu kʼu hi le̩ muda chʼufe̩do̩ ki kwʼef e̩do̩ ki fe̩, kpʼakone̩ o̩la ef e̩do̩ ki ma li e̩wñ kʼi adʼu gwunyʼuwe̩ n kpʼe̩do̩ ekono ki ma nʼakoru n. "
6,"Abu kʼabo iche̩ka ju lʼo̩wo̩ʼka, ma muna tef o̩la o̩wai eka. "
7,"I dʼuma e̩do̩ ku ma mud amakʼone̩ o̩lo̩da; ma moji e̩wñ ku ma ka n, ma la moji o̩la ku ma gwo̩nyu kpaka kpaka le̩ n."
8,"A muda ma kakini, O̩lo̩da le̩ chʼo̩me̩me̩le̩ iche̩wñ kʼone̩ dʼu che e̩wñ teju o̩lo̩da; "
9,"abu kʼa fʼu ma kakini, Ma dʼo̩lo̩da te̩ tod e̩no̩kpakpa n, chai tod ame̩nugbite̩re̩ kpʼame̩nugbolu kpʼabo ku ma ko̩ ekpe̩do̩rʼO̩jo̩ kpʼame̩nadure kpʼabo kʼo̩la-ma ma fe̩ n kpʼabo ku ma ma dinye̩rʼe̩wñ n kpʼabo ku ma kpa amata-ma kpʼabo ku ma kpa amiye-ma kpʼamakpone̩ ofo "
10,kpʼame̩nabutabu kpʼaboke̩le̩ ku ma bʼaboke̩le̩ dachi kpʼabo ku ma mʼone̩ taje̩ kpʼamaremi kpʼabo ku ma ge̩bo̩ olemi kpʼe̩wñ du ki bo̩ kʼi akobʼuko̩-o̩la o̩lafia 
11,"ki alʼikpa Uche̩nyo̩ ojima O̩jo̩ kʼi nʼele, e-ku ma ke̩do̩no mi ku ma dʼu nyʼumi o̩wo̩ le̩."
12,"Egwa nagwa e̩ne̩ kʼi dʼukpahiu ñwu mi, owñ che Kraisti Jisus, Ondu-wa, todabu kʼeju-wñ omi mud e̩ne̩ ki achubi owñ oñ i mʼumi du tef e̩wñ eche ñw u; "
13,"dagba u chaka chʼe̩nachakpabie̩ kpʼe̩ne̩ ki adoli kpʼe̩nalachi; ma muda li mi ejumomi todabu kʼu ma ma n, uche e̩gbakʼu ma ke̩do̩no ta n; "
14,oñ ufe̩de̩nyo̩ Ondu-wa ño̩ nana tabale manyu e̩do̩ ekono kpai ufe̩do̩ e-ki dʼefu Kraisti Jisus. 
15,"O̩la ku ma ke̩do̩no i che, i la nyo̩ bo̩jo̩ kʼe̩he̩ du ki gba kakini, Kraisti Jisus lewʼef ile̩-i kʼi jadu ame̩nadure; omi la chʼenejodudu efu ma: "
16,"ama lef e-kide̩ oñ ma li mi ejumomi, todu kʼefu mi kʼu chʼe̩nejodudu le̩ Jisus Kraisti ki dʼe̩do̩ eje̩ e-wñ chaka ñe̩ña ki mud e̩wñ uwo̩li e-abo ku ma che ku ma ke̩do̩nʼowñ tef iñmi ogbegbele̩. "
17,"I Oñ tʼugbo Onu e-ogbegbele̩, kʼi ma nʼe̩chile̩che̩ n, e-kʼeju one̩ ma li n, kʼowñ kate chʼO̩jo̩, ubumo̩ kpai ojima ki dʼugbo owñ tʼogbegbele̩ nyile̩wa. Ami."
18,"O̩ma-mi, Timoti, o̩la kʼu du ka-i udu oñ nadu te̩ ñw e̩ eju ache̩ ku ma ka ugbo we̩ o̩gbo̩gba le̩, todu kʼuwe̩ ki dʼef e-le̩ aja ogu e-o̩me̩me̩le̩; "
19,"kʼuwe̩ ki mʼe̩do̩ ekono kpai akone̩ o̩la ki dʼef e̩do̩ ki ma nʼe̩wñ ki adu gwunyʼuwe̩ n ne̩; e-kʼabo iche̩ka mu ke̩che̩ bʼo̩la-ma te̩ amʼe̩wñ e̩do̩ ekono ko dafo, "
20,"Haime̩nio̩s kpai Ale̩ksanda jʼef abo le̩; oñ u mʼuma ko ñwu Setan, todu ki kʼuma o̩la ku ma we echakpabie̩."
