Verse,Text
1,I dukpe̩ ku me̩ ma je̩ kpʼidada-mi pe̩. Me̩ muda je̩ kpʼomi me̩. 
2,"Todu najogu e-O̩jo̩ todu me̩: todu u ko me̩ kpʼo̩ko̩ okate, kʼu ko me̩ chʼigbe̩le̩ ki de̩ yaala ki ma mʼe̩ne̩ke̩le̩ n ñw Kraisti. "
3,Ama narailo tode̩gba ki anʼugbo du ku ma afʼume̩ ibe kpabie̩ bʼe̩do̩-foo̩ kpʼe̩do̩-yaala Kraisti te̩ alu kʼejo̩ le̩ mʼIf ibe da ef ugbeju-wñ. 
4,"Todu iche̩wñ kʼe̩ne̩ du wa atakoya Jisus omune̩ e-kʼa ma takoya owñ n, abe̩ku me̩ gbʼafu omune̩ ojoji, abe̩k uche̩nyo̩ omune̩ ojoji e-kʼame̩ ma gba akwoubi n, me̩ je̩ kpʼe-le̩ kak o̩me̩me̩le̩ i che. "
5,Todu u fulo ka kʼu nyarʼame̩nukpuche̩ ku ma bʼukpa tʼo̩la-ma le̩ kikili n. 
6,"Dagba kʼu chaka chʼe̩no̩talaka ef o̩la eka, u muda dabe̩le̩ ef e̩wñ ema n; ama a mʼo̩la-wa du tejugede ñw me̩ ef e̩wñ du lʼo̩na du me̩."
7,Abe̩k adure u ta o̩la-mi kʼu hiwane̩ kʼame̩ ki hidago le̩? todabu kʼu fʼUche̩nyo̩ O̩jo̩ je̩rʼume̩ ele ofo? 
8,"U fʼoji ujeju ujeju abudo̩ Ondu omune̩ ji, owñ chʼuro̩me̩ kʼu gba ugbo ma todu kʼu che e̩wñ ñw me̩; "
9,"oñ e̩gba kʼu dʼugbo me̩ kʼe̩wñ nyarʼumi le̩, u dachi nʼe̩ne̩ du n. Todu e̩wñ ki nyarʼumi amo̩maye ku ma kwo Masidonia wa le̩ ko ñw mi kpa; ef e̩wñ du u fʼo̩la-mi de, naño̩ de ate̩to̩gba kʼu we chʼadu nʼume̩ oji. "
10,"Ochochi e-Kraisti dʼef umi, kakini, E̩ne̩ du akpo̩na nyʼuba-i ñw mi ane̩ Akaya n. "
