Verse,Text
1,"A ño̩ dabi je̩nyu o̩la-wa ge̩? abe̩k eku aku wa, alu ki ku iche̩kibo̩, kʼa nʼo̩takada ki aje̩nyu ñw a ugbo me̩, abe̩k e-ki kwugbo me̩? "
2,Ame̩ onugo chʼo̩takada-wa e-ki che̩korubutu ef e̩do̩-wa kʼamone̩ du ama ku ma la nʼokalatu-wñ ache; 
3,"abu ki kwotejugede, kak ame̩ chʼo̩takada e-Kraist, e-kʼa ne̩ che e̩wñ ñw one̩, e-ki ma chʼomi ejiji ma du ko n, chai Afu e-O̩jo̩ ki nʼiñmi; i la chʼef alo okuta n, chai ef alo ki chʼe̩do̩ o̩re̩la."
4,Oñ e̩do̩ ekono e̩go̩ e-le̩ a ne̩ lefu Kraist ugbo O̩jo̩. 
5,"I cheka kʼawa bo̩jo̩ kpai ojika o̩la-wa, kʼa ki fʼe̩wñ lo dabe̩ne̩ ki kwʼef e-wa n, chai ebo̩jo̩ e-wa kwugbo O̩jo̩, "
6,"e-ki ño̩ che wa kʼa bʼe̩wñ eche e-alo etito̩ jo̩, i chʼe-kʼu kʼolubutu-wñ n, chai e-Afu; todu olubutu adʼone̩ kpa, Afu muda adʼiñmi ñw one̩."
7,"I la che̩wñ kʼe-e̩wñ eche e-uku kʼi che̩ko̩ nyʼo̩la okuta le̩ mud ojima kʼamo̩ma Israe̩l ma neke go Mose̩s eju lef ojima ki gbogili te̩ le̩ n, "
8,abile kʼe̩wñ eche e-Afu ma adʼef ojima tule n?
9,"Todu iche̩wñ kʼe̩wñ eche e-abi ekpa le̩ nʼojima, mak e̩wñ eche e-o̩kpakpa atule ef ojima ololololo. "
10,"Todu ef e-i, e-ku ma dʼojima ñw u kʼi agbogili te̩ le̩ nʼojima du n, noj ojima ki tule ololo le̩. "
11,"Todu iche̩wñ kʼe-ki agbogili te̩ lef ojima wa, mak e-kʼi ado̩mo̩ alo waa dʼef ojima tule mana."
12,"Todule̩ abu kʼa nʼukibeno o̩gʼe-le̩, a nʼeju-e̩gbo ache e̩wñ nana, "
13,a la che alu ki Mose̩s che kʼi dʼe̩wñ bʼeju-wñ ma todu kʼamo̩ma Israe̩l ki we ekejurʼukpoji e̩wñ ki agbogili te̩ le̩ n; 
14,"ama ibe-ma cheno̩; todu gbogbo tʼojolu eñini e̩gba du ku ma fʼo̩kalatu alo e-igbele le̩ che e̩wñ, le̩ gbage̩de̩ bʼuma eju ma ta, abu ki ma birʼuma eju ka kʼefu Kraist oñ i agbogili te̩ n. "
15,"Ama gbogbo tʼeñini e̩gba du ku ma cho̩kalatu o̩la Mose̩s, e̩wñʼka dachi nʼuma e̩do̩. "
16,Ama e̩gba du kʼi arida tugbo Ondu ma mʼe-le̩ du bʼo̩ te̩. 
17,"Ondu la chʼAfu le̩; oñ ugbo du kʼAfu Ondu de̩, o̩mo̩ “omi nʼo̩la-mi” de̩. "
18,"Ma la bi e̩wñ le̩ rʼuwa eju chaka kʼa jʼago ojima Ondu dabe̩ne̩ kʼef ogigo, oñ i amʼuwa da tef ojibo e-le̩ gbage̩de̩ kwugbo ojima tef ojima, dabe̩ne̩ ki kwugbo Ondu ki chʼAfu le̩."
