Verse,Text
1,"E-ki bo̩ de̩, amo̩maye, me̩ ki chadua todu wa, todu kʼo̩la Ondu ki fule, kʼi fʼojima ne̩, alu kʼi ño̩ de̩ ugbo me̩ ge̩; "
2,todu ku ma ki gba wa bʼame̩nebita kpʼame̩ne̩bibi o̩wo̩ te̩. Todu i chʼo̩chaka amone̩ nʼe̩do̩ ekono n. 
3,"Ondu muda chʼachubi one̩, owñ le̩ ahi ume̩ e̩re̩ nyane̩, i lañʼade me̩ bʼe̩ne̩bibi le̩ o̩wo̩ te̩. "
4,"E̩do̩-wa mugba ef Ondu ugbo e-me̩, ka kʼe̩wñ kʼa ñwa ñwu me̩ le̩, me̩ jʼo̩mo̩ ache, me̩ ñʼache alo waa ge̩. "
5,Oñ Ondu ki naña e̩do̩-me̩ o̩na tef ufe̩do̩ O̩jo̩ kpai tef e̩do̩ elichi e-Kraisti ogbolo.
6,"A la añwa ñwu me̩-i ef odu Ondu-wa Jisus Kraisti, amo̩maye, me̩ te̩ubi bʼo̩maye du kʼi tale alala te̩, kʼi ma likpa e̩wñ o̩gu ku me̩ gba ugbo wa le̩ n. "
7,Todu ame̩ onugo chema alu ki dukpe̩ ku me̩ wʼuwa che; todabu kʼawa ma tʼachʼalala ef ume̩ le̩ n. 
8,A la je̩ uje̩wñ ele ofo ugbo e̩ne̩ du n; chai akanya kpʼo̩pe̩cha ki wo̩ wa oñ a che odu kpʼo̩ro̩ka kʼa we echʼadu ki anʼe̩ne̩ du ef ume̩ oji. 
9,"I cheka kʼa nʼo̩da-wñ ni n, ama todu kʼawa ki kʼo̩la-wa chʼe̩wñ uwo̩li ñwu me̩ ku me̩ wʼuwa che. "
10,"Todu i chaka chʼe̩gba kʼa jʼugbo me̩ le̩, a fʼe-i ñwa ñwu me̩ kakini, Iche̩wñ ki ma dʼone̩ e̩do̩ ki chuko̩lo̩ n, mak i ki we eje̩ e̩wñ. "
11,"Todu a gbʼinabali abo iche̩ka ef ume̩ ku ma tale alala, ma chuko̩lo̩ du n, chai amagwoji ma che. "
12,"Oñ a añwa ñw abo e̩gʼe-le̩, a lañʼadugbe̩do̩ ñwu ma ef Ondu Jisus Kraisti, todu kʼama ki gugu chii achuko̩lo̩ ku ma nʼuje̩wñ e-ma o̩toto̩la-ma ku ma je̩. "
13,"I muda chʼame̩, amo̩maye, e̩wñ o̩me̩me̩le̩ eche ki hia me̩ n."
14,"I la che̩wñ kʼe̩ne̩ du ma gbʼo̩la-wa kʼi dʼef o̩takada-i gbo n, me̩ fʼeju kʼo̩ hi, todu ku me̩ ki we̩ edʼu cho̩la, todu kʼi fejutunyane̩. "
15,"I ki muda dabe̩ne̩ kʼe̩nebi eju-me̩ n, me̩ ki muda kʼo̩ ibe dabe̩ne̩ kʼo̩maye."
16,Oñ Ondu ure̩do̩ onugo ki dʼure̩do̩ ñwu me̩ e̩gba du lʼo̩na tʼo̩na du. Ondu ki dʼugbo me̩ chaka.
17,"Ugwa e-mi Po̩l, kʼo̩wo̩-mi onugo ko̩ de̩. E-le̩ chʼujiwe-mi ef o̩takada du, abe̩le̩ nako̩. "
18,Ufe̩de̩nyo̩ Ondu-wa Jisus Kraisti ki dʼugbo me̩ chaka.
