Verse,Text
1,O̩do̩ Josaya chʼe̩jo̩ e̩gba kʼi chane̩ ejʼonu-wñ; i la jʼonu Je̩rusale̩m o̩do̩ ogue̩gwa nyokeʼka. Odu iye-wñ la ko̩ Jidaida o̩ma Adia e-Bo̩zkat. 
2,"I la fʼe̩wñ ki nyo̩ eju Jihofa che, oñ i lule̩ o̩na Defid ata-wñ chaka, i la na tʼawo̩to̩ abe̩k awohi n."
3,"Oñ i lewatu o̩do̩ e̩ke̩gwe̩jo̩ ku Josaya jʼonu, kʼonu fu Shefan, o̩ma Azalaya, o̩ma Me̩shulam, ako̩takada le̩, kpe̩ nyʼunyi Jihofa, kakini, "
4,"Mute̩gu nyʼugbo Hilkaya, agboji amata-ma le̩, kʼowñ ki kaluka o̩ko̩ ku ma ko wʼef unyi Jihofa, owñ chʼe-kʼamadalo̩na gba ugbo amone̩-i; "
5,"kʼama ki ko̩ jʼef o̩wo̩ abuko̩lo̩ ku ma fejute̩ unyi Jihofa, tak abo le̩ ki nako ñw abuko̩lo̩ ku ma jʼef unyi Jihofa, kʼama ki ñw o̩do̩ unyi O̩jo̩ ugbo ki gulo̩ che, "
6,"kpai amikapita kpai amakʼunyi kpai amanʼo̩do̩ okuta, kʼama ki ne̩ la oli kpai okuta ku ma da ku ma ne̩ ñwʼunyi le̩ che. "
7,Ma muda lo o̩ko̩ ku ma ko̩ jʼef o̩wo̩-ma kpʼama n; todu ma chʼamachubi one̩.
8,"Taku Hilkaya, agboji amatama le̩, ka ñwu Shefan, ako̩takada le̩, kakini, Omi fʼo̩takada uko̩-o̩la li ef unyi Jihofa. Oñ Hilkaya mʼo̩takada le̩ du ñwu She̩fan, tak i fʼo̩kalatu-wñ che. "
9,"Taku Shefan ako̩takada le̩ lewʼugbo onu, oñ i ño̩ dʼinabali ñw onu, i kakini, Abuko̩lo̩-we̩ kʼo̩ko̩ ku ma li ef unyi le̩ dajane̩, oñ ma mʼu ko ñw abuko̩lo̩ ku ma fejute̩ unyi Jihofa. "
10,"Taku Shefan, ako̩takada le̩, ka ñw onu kakini, Hilkaya atama mʼo̩takadaʼka du nyʼumi o̩wo̩. Oñ Shefan fʼo̩kalatu-wñ che o̩gba onu."
11,"Oñ i lewatu, e̩gba kʼonu gbʼo̩la ki dʼef o̩takada uko̩-o̩la le̩, i fʼe̩wñ o̩la-wñ fana. "
12,"Tak onu ñwa ñwu Hilkaya, atama, kpai Ahaikam, o̩ma Shefan, kpai Akbo̩r, o̩ma Maikaya, kpai Shefan, ako̩takada, kpai Aseya, e̩nuko̩lo̩ onu le̩, kakini, "
13,"Me̩ lo, ku me̩ tu Jihofa ene ñwu mi, kpai todu amone̩-i, kpai todu abo Juda chaka, ugbo o̩la o̩takada ku ma li-i; todu e̩do̩fulu Jihofa ki mutajo bʼuwa ma-i tabale, todabu kʼamata-wa ma ne̩tirʼo̩la o̩takada-i, kʼama ki che teju e̩wñ du ku ma ko̩ nyʼu kʼawa ki che n."
14,"Abe̩le̩ Hilkaya, atama le̩, kpai Ahaikam kpai Akbo̩r kpai Shefan kpai Aseya nyʼugbo Hulda, akache̩ onobule̩ kʼi chʼo̩ya Shalum o̩ma Tikfa, o̩ma Harhas kʼi adejute̩ e̩wñ ide onu, (onobule̩ le̩ la gugu Je̩rusale̩m ef e̩kpe̩ru eju ekeji-wñ); oñ ma bʼo̩ chʼoluka. "
15,"Tak i ka ñwu ma kakini, Abu ki Jihofa O̩jo̩ e-Israe̩l aka de̩ kakini, Me̩ ka ñw e̩ne̩ kʼi kpe̩ me̩ wʼugbo mi le̩ kakini, "
16,"Abu ki Jihofa aka de̩ kakini, Go, omi akʼe̩bie̩ne̩ wa abʼuña-i ma, kpai abʼabo ku ma dodo ef uwñ ma, owñ chʼo̩la du ki dʼef o̩takada kʼonu Juda chʼo̩kalatu-wñ le̩. "
17,"Todabu kʼuma hiʼumi tinyo̩, ku ma fʼotulale gujo ñw amo̩jo̩ omune̩, kʼama ki nʼuko̩lo̩ o̩wo̩-ma du nyʼumi uwe̩do̩, todule̩ e̩do̩fulu-mi akwane̩ abʼuña-i ma, i la anʼugbo ku ma akpalu n. "
18,"I muda chʼe-onu Juda ki kpe̩ me̩ nyʼatu Jihofa ene-i, abu kʼame̩ aka ñw u de̩ kakini, Abu ki Jihofa, O̩jo̩ Israe̩l, aka de̩ kakini, I chʼe-o̩la kʼuwe̩ gbo̩ le̩, "
19,"todabu kʼe̩do̩-we̩ chʼelo̩la, kʼuwe̩ la hiʼo̩la-we̩ wane̩ o̩gba Jihofa e̩gba kʼe̩ gbo̩ o̩la kʼu ka bʼuña-i ma, kpai e-kʼu ka bʼabo ku ma dodo ef uwñ ma le̩, ka kʼama amud akpokpo e̩wñ kpai ina, kʼuwe̩ la fʼe̩wñ o̩la-we̩ na, kʼe̩ la raku o̩gba-mi-i, omi ño̩ gbʼe-we̩ ge̩, Jihofa aka-i. "
20,"Todule̩, go nadʼuwe̩ wʼugbo amata-we̩, uwe̩ la atʼef oji we̩ ef ure̩do̩. Eju-we̩ la ati e̩wñ bie̩ne̩ du kʼu nakowa abʼuña-i ma n. Taku ma dabi akʼohi o̩la le̩ ñw onu."
