Verse,Text
1,Oñ So̩lo̩mo̩n mʼe̩do̩ du tʼunyi eko̩ tod odu Jihofa kpʼunyi tod o̩fe̩ ojane̩-wñ. 
2,"Taku So̩lo̩mo̩n fʼaboke̩le̩ icham nyʼo̩gwo̩ko̩ e̩te̩gwa kaluka jo̩ ku ma nʼadu, kpʼaboke̩le̩ icham nyʼo̩gwo̩ko̩ o̩gbo̩ me̩le̩ ku ma fʼokuta da ane̩ uwo, kpʼone̩ icham nyʼo̩gwo̩ko̩ me̩ta nyʼulo̩gwa ku ma fejute̩ ma. "
3,"Oñ So̩lo̩mo̩n fʼonuche̩ kpe̩ru Huram, onu Taya, kakini, Alu kʼe̩ che kpai Defid, ata-mi, kʼe̩ la kʼoli sida kpuche̩ rʼu kʼi fʼunyi ko̩ ñw o̩la-wñ ki agugu, e̩ che abe̩le̩ kpʼomi. "
4,"Go, omi ache kʼu kʼunyi tod odu Jihofa, O̩jo̩-mi, kʼu mʼu du te̩ ñw u, kʼu fʼotulale e̩rinyo̩ gujo o̩gba-wñ, kpʼutod akala e-eju ki chʼo̩ko̩ko̩lo̩ le̩, kpʼutodu iche̩bo̩ e̩gujo e-odudu kpʼane̩ kpʼo̩jo̩ uñmi o̩jo̩ uñmi kpʼe̩gba kʼochu ne etito̩ kpʼe̩gba uje̩wñ uyo̩ e-Jihofa O̩jo̩-wa kʼiko-wñ che̩date̩. E-le̩ chʼogbegbele̩ ñw abo Israe̩l. "
5,Oñ unyi kʼu nako̩-i chʼinaina; todu O̩jo̩-wa chʼinaina tʼamo̩jo̩ du le. 
6,E̩ne̩ muda nʼukpahiu kʼi akʼunyi ñw u? Abu kʼefojale kpʼefojale e-efojale ma bo̩jo̩ kʼi agbʼo̩ n? Mak e̩ne̩ omi che kʼomi akʼunyi ñw u? Chai todu otulale egujo o̩gba-wñ ofo. 
7,"Todule̩ fai e̩ fʼone̩ ki chʼo̩ka uko̩lo̩ o̩jamalia kpʼajifa kpʼebije ikpa kpʼebije dudu kpʼukpo odufa ekpikpa kpʼe-ekpikpa kpʼe-odufa, kʼi la ma alu ku ma kina nyʼe̩wñ ojoji ojoji kpe̩ wa ñwu mi kʼi dʼugbo amo̩ka ku ma jʼugbo-mi Juda kpai Je̩rusale̩m, owñ chʼabo ku Defid ata-mi ko ma jo̩. "
8,"E̩ ki ño̩ kʼoli sida kpʼoli fe̩r kpʼoli algum kwʼefoko Le̩bano̩n kpuche̩ wa ñwu mi, todu u che ma ka kʼabuko̩lo̩-we̩ chemeju oli Le̩bano̩n ekpana. E̩ la go, abuko̩lo̩ e-mi la ajʼugbo abuko̩lo̩-we̩, "
9,"owñ chʼutodu ku ma ñw oli che ñwu mi e̩kute̩, todu unyi kʼu na che kʼu ko̩-i atabale, awuwu-wñ agbe̩. "
10,"E̩ la go, omi akʼe̩ñwa o̩ka wit e̩gwu ko̩r icham nyʼo̩gwo̩ko̩ ogu, kpʼe̩ñwa barli kor icham nyʼo̩gwo̩ko̩ ogu, kpʼomi achi-webete̩ma otube̩ lile icham nyʼo̩gwo̩ko̩ ogu, kpʼekpo o̩lif otube lile icham nyʼo̩gwo̩ko̩ ogu ñw abuko̩lo̩-we̩ amakpoli na ku ma fʼoli le̩."
11,"Taku Huram, onu Taya, mʼohi-wñ danyʼo̩takada, oñ i mʼe-le̩ du kpuche̩ ru So̩lo̩mo̩n, i kakini, Todabu ki Jihofa fe̩do̩ abo-wñ i mʼuwe̩ du chʼonu-ma. "
12,"Huram ño̩ ka kakini, Jihofa, O̩jo̩ Israe̩l kʼi che efojale kpʼane̩ ile̩-i, kʼi ño̩ dʼo̩ma anibe kʼi ache e̩wñ ibe ibe kʼi la mʼoji e̩wñ ñwu Defid onu, todu kʼi kʼunyi ñwu Jihofa kpʼunyi tod o̩fe̩ ojane̩-wñ le̩, ki nele."
13,Fai u la fu Huram Abi kʼi chʼone̩ kʼi chʼo̩ka kʼoji e̩wñ ema dʼefu-wñ kpuche̩ wa le̩. 
14,"Owñ chʼo̩ma onobule̩ ki dʼef amo̩ma Dan, ata-wñ la chʼabo Taya ki chʼo̩ka uko̩lo̩ o̩jamalia kpʼajifa kpʼebijeikpa kpʼebije dudu kpʼokuta kpʼoli kpʼodufa ekpikpa kpʼodufa kpʼukpo line̩n ku ma hi reju kpʼekpikpa kʼi laño̩ chʼo̩ka ina ojoji ojoji eko̩ nyʼe̩wñ kʼi ache teju alu du ku ma ñʼo̩ manyʼamo̩ka e-we̩, kpai manyʼamo̩ka odu-mi Defid, ata-we̩. "
15,"Fai i chʼe-o̩ka wit kpai barli kpʼekpo kpʼomi achiwebe̩te̩ma kʼodu-mi ka le̩, i ki kʼo kpuche̩rʼamadu-wñ-i, "
16,oñ a adʼoli kwʼefoko Le̩bano̩n wa; alu du kʼeku-wñ aku uwe̩; tak a akʼo ji mʼomune̩ kʼa la ko nʼej omi wʼugbo we̩ Jo̩pa; tak uwe̩ ane̩ te̩gu nyi Je̩rusale̩m.
17,"Taku So̩lo̩mo̩n fʼamage̩ne̩ du ku ma jʼoj ane̩ Israe̩l kaluka, alu ku Defid ata-wñ kʼuma aluka le̩; oñ ma fʼone̩ icham nyʼo̩gwo̩ko̩ oli me̩ta nyoke me̩ta nyʼulo̩gwa oji li. "
18,"Tak i kʼabo icham nyʼo̩gwo̩ko̩ e̩te̩gwa ma jo̩ ku ma nʼadu, oñ i kʼabo-ma icham nyʼo̩gwo̩ko̩ o̩gbo̩ me̩le̩ chʼamadoli oj uwo uwo; oñ i kʼabo icham nyʼo̩gwo̩ko̩ me̩ta nyʼulo̩gwa oji jo̩ ku ma fejute̩ ma ku ma kpʼuko̩lo̩ ñwu ma."
