Verse,Text
1,"Abufe̩do̩, o̩takada ekeji kʼu nako̩ rʼame̩ de̩-i; eji u jʼibe-me̩ ki de̩ yaala olu kʼu re me̩ wa ef ejʼeji-wñ; "
2,"ku me̩ dibete̩ o̩la kʼamakache̩ kiafo̩ katane̩ o̩gbo̩gba le̩, kpai uko̩ kʼOndu kpai E̩najadu-wa te̩ lugbo ame̩nukpuche̩ le̩. "
3,"E̩wñ ku me̩ ama ejodudu de̩ kakini, E̩gba adiko o̩jo̩ otitala abo ku ma chʼone̩ uke̩ anʼuke̩ wa, ma la atale teju e̩ño̩ e̩wñ o̩re̩la e-ma, "
4,"oñ ma akakini, Ugbo e̩wa-wñ ku ma ko̩la-wñ tane̩ le̩ de̩? todu akwʼe̩gba kʼamo̩ra-wa mʼolu du e̩wñ du te̩te̩de̩ alu ki de̩ kwʼabakwane̩ enyi ku ma nyi e̩wñ. "
5,"Todu i dʼuma e̩do̩ kʼeju-ma ki legudu kakini, Efojale efojale do̩mo̩ igbegbele, kpʼane̩-ile̩ kʼi kwef omi, kʼi laño̩ che̩kpama te̩ lef omi lugbo O̩la O̩jo̩. "
6,Lef e-le̩ ile̩ ki do̩mo̩ e̩gbale̩ lenyo̩ abu kʼomi uwobi bʼo ma; 
7,"i laño̩ nʼo̩la e-le̩ gbage̩de̩ mʼefojale efojale kpʼane̩-ile̩ e̩-fa-i kojo̩ ñw una, ma jʼadejutʼo̩ tod o̩jo̩ e-ajo̩ kpai o̩jo̩ ulenyo̩ e-abo ku ma ma kpe̩do̩rʼO̩jo̩ n."
8,"Ama abufe̩do̩, e̩wñʼka kʼame̩ awe eje̩ ñw eju-me̩ legudu de̩ kakini, O̩jo̩ʼka ugbo Ondu dab o̩do̩ icham nyʼo̩gwo̩ko̩, o̩do̩ icham nyʼo̩gwo̩ko̩ la dab o̩jo̩ʼka. "
9,"I cheka kʼOndu afo̩kpane̩ ugbo o̩la kʼi katane̩ alu kʼefo̩kpane̩ de̩ eju abo iche̩ka n; e̩do̩ i muda aje̩ ugbo me̩, i neku kʼe̩ne̩ du ki lenyo̩ n, chai kʼo̩chaka amone̩ ki tu eribeda. "
10,"O̩jo̩ e-Ondu muda awa dabe̩ne̩ kʼajoji, ef e-le efojale efojale alale rinyo̩ wuu, oñ e̩wñ ugbiti-wñ chaka ajo̩ rinyo̩ ki ayo̩, tak ane̩ ile̩ kpai uko̩lo̩ du ku ma che ef uwñ ajo rinyo̩ hioko."
11,"Abu kʼe̩wñ-i chaka ayo̩ abe̩le̩, e̩go̩ one̩ e̩wñ i dukpe̩ kʼame̩ ki che ef ejo̩ kʼame̩ jo̩-i ache e̩wñ kiafo̩ kpʼe̩kpe̩-do̩rʼO̩jo̩? "
12,"Kʼame̩ ki jo̩ aneju-wñ, kʼewa o̩jo̩ e-O̩jo̩ ki hika, lef e-le̩ abu ku ma fʼuna tʼefojale ayo̩, tak una-wñ ki ajo̩ oñ e̩wñ ugbiti-wñ aya. "
13,Awa muda jo̩ aneju efojale etito̩ kpai ane̩-ile̩ etito̩ e-kʼo̩kpakpa dodo ef uwñ teju alu kʼi ko̩la-wñ tane̩ le̩.
14,"Todule̩ abufe̩do̩, abu ku me̩ jo̩ anejue̩wñ-i, me̩ che̩do̩chacha rʼukʼowñ ki li me̩ ef ure̩do̩, kʼiwa du ki bumo̩ me̩ n, kʼe̩wñ anyo̩ ki we edʼo̩la-me̩ eju-wñ. "
15,"E̩do̩ kʼOndu-wa je̩ ki chʼujadu eju-me̩; alu ki Po̩l, o̩maye-wa kʼa fe̩do̩ le̩, ño̩ ko̩takada rʼume̩ teju ibe ku ma du ñw u, "
16,"dabalu kʼi ño̩ nʼo̩la e̩wñ-i aka ef o̩takada-wñ chaka. E̩wñ iche̩ka jʼef uwñ kʼoji-wñ chʼe̩kpuna ema, e-kʼabo ku ma ma ko̩che̩ n kpai abo kʼe̩re̩-ma ma lonyane̩ n adalo̩ alu ku ma che O̩takada O̩la O̩jo̩ ki bo̩ ki mud elenyo̩ e-ma onugo. "
17,"Todule̩, ame̩ abufe̩do̩, abu ku me̩ chemʼe-le̩ tane̩, me̩ nafʼo̩la-me̩ de tode̩gba kʼila e-abo ku ma jo̩ ache e̩wñ ebita ako me̩ kpʼama alo, ku me̩ la wane̩ bʼe̩re̩ enyane̩ e-me̩ te̩. "
18,"Ama me̩ ki nyo̩gba ef ufe̩de̩nyo̩ kpai ef ema ku me̩ ma Ondu-wa kpai E̩najadu-wa, Jisusi Kraist. Ojima ki chʼe-wñ tʼifai, tʼo̩jo̩ ogbegbele̩. Ami."
