Verse,Text
1,"Oñ i lewatu, e̩gba kʼonu kwogugu ef unyi-wñ, ku Jihofa la mʼuñmi du ñw u bʼame̩nebi-wñ du ku ma lʼo daka te̩, "
2,"kʼonu ka ñwu Netan, akache̩ kakini, Go ta, omi gugu ef unyi sida, akpati O̩jo̩ la gugu ef ukpo ku ma ta te̩ ofo. "
3,"Taku Netan ka ñw onu kakini, Lo kʼe̩ che e̩wñ du ki dʼe̩do̩-we̩; todu Jihofa dʼugbo-we̩."
4,"Oñ i lewatu odu o̩jo̩ le̩ gbage̩de̩, kʼo̩la Jihofa lewʼugbo Netan kakini, "
5,"Lo kʼe̩ ka ñw adu-mi Defid kakini, Abu ku Jihofa ka de̩ kakini, Uwe̩ ako̩ unyi todu kʼomi ki gugu ef uwñ? "
6,"Todu u gugu ef unyi akwʼo̩jo̩ kʼu kʼamo̩ma Israe̩l kwef Ijipti wa gbogbo tʼeñini-i n, u muda te̩talule̩ ef unyabo kpai uña ugugu le̩. "
7,"Ugbo du kʼu te̩talule̩ kpai amo̩ma Israe̩l, omi kʼo̩laʼka ñw o̩lo̩pu Israe̩lʼka kʼu ñwa ñw u kʼi dejute̩ Israe̩l amone̩-mi-i ka kʼe̩wñ chi kʼe̩ ma kʼunyi sida ñw omi n? "
8,"Todule̩ e̩wñ kʼuwe̩ aka ñw adu-mi Defid fai de̩ kakini, Abu ku Jihofa ki nʼe̩wñ du ka de̩ kakini, Omi mʼuwe̩ du kwef iga ala, akwʼoko etʼame̩wño̩re̩ egini ubi, kʼuwe̩ ki mud e̩nuto̩gba amone̩-mi, owñ chʼIsrae̩l; "
9,"omi la te̩te̩dʼugbo-we̩ ugbo du kʼe̩ nyi, u laño̩ fʼame̩nebi-we̩ chaka ko̩da bʼo̩gba-we̩ te̩; naño̩ che kʼe̩ fʼodu lile ne̩, dabe̩ne̩ kʼodu abo lile ku ma jʼile̩-i."
10,"Oñ nadʼuña te̩ ñw amone̩-mi, Israe̩l; u la ako ma gbe̩, kʼama ki dodo uña e-ma, kʼe̩ne̩ du ma ñʼami ma ejo ge̩ n; amo̩ma uji ñʼade ma mane̩ dab e̩gba igbele le̩ ge̩ n, "
11,"kpai akwʼo̩jo̩ kʼu kʼamakajo̩ jo̩ ku ma nʼo̩da amone̩-mi Israe̩l; oñ u je̩ ñw e̩ nʼuñmi ugbo ame̩nebi-we̩ du. Anubile̩ ge̩ Jihofa aka ñw e̩-i kakini, Jihofa akʼunyi ñw e̩. "
12,"E̩gba kʼo̩jo̩-we̩ jo̩ kpa, kʼe̩ cholu manyʼamata-we̩, nadʼugbe̩-we̩ dago ubi-we̩, owñ chʼe-ki akwʼefu-we̩ dufu, tak u nahi o̩fe̩ ojane̩-wñ e̩re̩ nyane̩. "
13,"Owñ le̩ akʼunyi tod odu-mi, oñ omi ahi ede o̩fe̩ ojane̩-wñ e̩re̩ nyane̩ ogbegbele̩. "
14,"Omi achʼata-wñ, owñ la achʼo̩ma-mi. Owñ muda achane̩ eche̩ño̩ e̩wñ, nanʼitali e-one̩ kʼo̩ o̩la kpai alu ku ma ja amo̩ma amone̩. "
15,Ufe̩de̩nyo̩-mi muda akwo bʼo̩ te̩ alu kʼu mʼu du kwo bi So̩l kʼomi mʼu yo̩ o̩gba tak e̩ wa je̩ te̩ n. 
16,"Unyi-we̩ kpai o̩fe̩ ojane̩-we̩ la ake̩re̩nyane̩ chidaa, ogbegbele̩ eju-we̩; ede-we̩ adago kpaka ogbegbele̩. "
17,"Teju o̩la-i du, kpai teju e̩wñ o̩jo̩ o̩na kʼi li chaka, oñ Netan ko̩la ñwu Defid."
18,"Taku Defid onu nyʼejefu, oñ i kwoguguane̩ o̩gba Jihofa; i kakini, O Ondu Jihofa, e̩ne̩ omi che, unyi-mi la chʼe̩wñ, kʼuwe̩ du mi gbogbo wʼemi? "
19,"E-le̩ laño̩ chʼe̩wñ ke̩ke̩ eju-we̩, O Ondu Jihofa; uwe̩ ño̩ nʼo̩la abo unyi adu-we̩ aka todu ki nana ate̩tʼo̩gba-i ge̩; alu kʼo̩da one̩ ade̩ de̩? O Ondu Jihofa. "
20,"E̩wñ Defid neke ño̩ ka ñw e̩ ge̩? Todu uwe̩ chema adu-we̩-i, O Ondu Jihofa. "
