Verse,Text
1,"O̩lo̩pu amo̩ma Noa e-e̩ne̩ke̩le̩ o̩gba o̩gba de̩, She̩m, kpai Ham, kpai Jefe̩t; ma ño̩ fʼamo̩ma e̩ne̩ke̩le̩ bi ñwu ma abu kʼuwobi omi le̩ lale."
2,"Amo̩ma e̩ne̩ke̩le̩ Jefe̩t che: Gome̩r, kpai Mago̩g, kpai Madai, kpai Jafan, kpai Tubal, kpai Me̩she̩k, kpai Tiras. "
3,"Oñ amo̩ma e̩ne̩ke̩le̩ Gome̩r che: Ashkenaz, kpai Rifat, kpai Togarma. "
4,"Amo̩ma e̩ne̩ke̩le̩ Jafan la che: Elisha, kpai Tarshish, Kitim, kpai Dodanim. "
5,"Kwef abo-i abo o̩lomi kpe̩ jo̩ ojane̩ ojane̩-ma, e̩ne̩ne̩ne̩ne̩ ne̩ alu kʼichi-wñ, alu kʼakwo̩ra unyi akwo̩ra unyi-ma de̩ ef abo uche̩ichi uche̩ichi-ma."
6,"Amo̩ma e̩ne̩ke̩le̩ Ham la che: Kush, kpai Mizraim,"
7,"Amo̩ma e̩ne̩ke̩le̩ Kush la che; Seba, kpai Hafila, kpai Sabta, kpai Raama, kpai Sabte̩ka. Amo̩ma Raama la che: Shiba kpai Dedan. "
8,Kush ño̩ bi Nimro̩d; owñ chʼuchane̩ agbiti ane̩-ile̩. 
9,"I chʼagbiti o̩de̩ eju Jihofa; todule̩ ma kakini, Dabu Nimro̩d kʼi chʼagbiti o̩de̩ ede̩ eju Jihofa. "
10,"Uchane̩ ojane̩-wñ la che Bebe̩l, kpai E̩re̩k, kpai Akad, kpai Kalne̩ ojane̩ Shainar. "
11,"I kwʼojane̩ le̩ nyi Asiria, tak i fʼunyi Nine̩fa ko̩, kpai Re̩hobo̩t-ir, kpai Kala, "
12,kpai Re̩se̩n ki dʼagbagba Nine̩fa kpai Kala (e-le̩ chʼewo lile le̩). 
13,"Mizraim la bi abo Lud, kpai abo Anam, kpai abo Lehab, kpai abo Naftuh, "
14,"kpai abo Patrus, kpai abo Kaslu (ugbo kʼabo Filistia kwo wa le̩), kpai abo Kafto̩r."
15,"Kenan la bi Saido̩n o̩mo̩gba-wñ, kpai He̩t, "
16,"kpai e̩ne̩ Je̩bius le̩, kpai e̩ne̩ Amo̩r, kpai e̩ne̩ Girgash, "
17,"kpai e̩ne̩ Hifai, kpai e̩ne̩ Arki, kpai e̩ne̩ Saini, "
18,"kpai e̩ne̩ Arfad, kpai e̩ne̩ Ze̩mar, kpai e̩ne̩ Hamat. Ubile̩ akwo̩ra unyi, akwo̩ra unyi abo Kenan le̩ kpʼo̩la-ma tuka rʼile̩. "
19,"Alo̩me̩ abo Kenan le̩ la kwo Saido̩n, abu kʼe̩ nyʼo̩wo̩ Gerar, gbogbo wa Gaza; abu kʼe̩ nyʼo̩wo̩ So̩do̩m kpai Go̩mo̩ra kpai Adma, kpai Ze̩boim, gbogbo wa Easha. "
20,"Abo-i chʼamo̩ma e̩ne̩ke̩le̩ Ham, akwo̩ra unyi, akwo̩ra unyi-ma, ichi ichi-ma, ojane̩ ojane̩-ma, ef abo uche̩ichi uche̩ichi-ma."
21,Taku ma ño̩ bi amo̩ma ñwu She̩m kʼi chʼata amo̩ma E̩be̩r chaka; She̩m le̩ chʼacho̩gba Jefe̩t. 
22,"Amo̩ma e̩ne̩ke̩le̩ She̩m che: Elam, kpai Ashur, kpai Arpaksad, kpai Lud, kpai Aram. "
23,"Amo̩ma e̩ne̩ke̩le̩ Aram la che: Uz, kpai Hul, kpai Ge̩te̩r, kpai Mash. "
24,Oñ Arpaksad bi Shela; Shela la bi E̩be̩r. 
25,Oñ ma bi amo̩ma e̩ne̩ke̩le̩ meji ñw E̩be̩r: odu oka ko̩ Pe̩le̩g
26,"Jo̩ktan la bi Almodad, kpai Shele̩f, kpai Hazar-mafe̩t, kpai Je̩ra, "
27,"kpai Hado̩ram, kpai Uzal, kpai Dikla, "
28,"kpai Obal, kpai Abimae̩l, kpai Shiba, "
29,"kpai Ofir, kpai Hafila kpai Jo̩bab; abo-i chaka chʼamo̩ma e̩ne̩ke̩le̩ e-Jo̩ktan. "
30,"Odo-ma la te̩ kwo Me̩sha, abu kʼe̩ nyʼo̩wo̩ Sefar, ane̩ uwo olodudu le̩. "
31,"Abo-i chʼamo̩ma e̩ne̩ke̩le̩ e-She̩m, akwo̩ra unyi, akwo̩ra unyi-ma, ichi ichi-ma, ojane̩ ojane̩-ma, abo uche̩ichi uche̩ichi-ma."
32,"Abo-i chʼakwo̩ra unyi akwo̩ra unyi amo̩ma e̩ne̩ke̩le̩ Noa, o̩gba o̩gba-ma, ef abo uche̩ichi uche̩ichi-ma. Oñ kwef abo-i uche̩ichi uche̩ichi mukpe̩rʼojane̩ ile̩ abu kʼuwobi omi le̩ lale."
