Verse,Text
1,"Abe̩le̩ efojale kpai ane̩-ile̩ fʼoji ne̩ kpa, kpai uwewe ame̩wñ-ma du. "
2,"Oñ o̩jo̩ ekebie̩-wñ uko̩lo̩ kʼO̩jo̩ che le̩ takpa, tak o̩jo̩ ekebie le̩ i ñmi uko̩lo̩-wñ du kʼi che. "
3,"Tak O̩jo̩ de̩nyo̩ ñw o̩jo̩ ekebie le̩ i la chʼo kʼi fo̩, todabu ki chʼo̩jo̩ kʼi ñmi uko̩lo̩-wñ du e-kʼO̩jo̩ nyi kpai e-kʼi che."
4,"Inabali efojale kpai ane̩-ile̩-i e̩gba ku ma nyi ma, o̩jo̩ ki Jihofa O̩jo̩ che ane̩-ile̩ kpai efojale le̩ de̩."
5,"E̩gbale̩ e̩wñ emimi oko du dʼane̩-ile̩-i ta n, e̩wñ eñmi kwe̩ kwe̩ kwe̩ oko du la tiga ta n— todabu ki Jihofa O̩jo̩ ma che kʼomi ki lo̩ bʼane̩-ile̩ ma ta n, e̩ne̩ du la do̩mo̩ kʼi aluche̩ ane̩ n; "
6,chai eli chi kwane̩ ane̩-ile̩ oñ i chi omi bʼeju ane̩ du ma— 
7,"taku Jihofa O̩jo̩ nʼebutu fʼone̩ bo̩, oñ i ñmiñmi afu e-iñmi nyʼiñmo̩-wñ; oñ one̩ mud onugo one̩ kʼi nʼiñmi. "
8,"Taku Jihofa O̩jo̩ fʼe̩wñ gbe̩ ef uche̩ Ide̩n, o̩wo̩ olodudu-wñ; o̩mo̩ i la du one̩ kʼi bo̩ le̩ te̩. "
9,"Jihofa O̩jo̩ la che kʼoli du ki fe̩rʼeju kpai e-ki nyo̩ todu uje̩wñ kʼi tiga kwef ane̩, kpai oli e-iñmi alumeji uche̩ le̩ ge̩, kpai oli uma-e̩wñ-e̩nyo̩-kpai-e̩bie̩ne̩."
10,"Ohiminiʼka la cha kwef Ide̩n ki chʼomi rʼuche̩ le̩, akwʼo̩mo̩ i la mukpe̩ akanaba me̩le̩. "
11,Odu e-ejodudu ko̩ Piso̩n: owñ chʼe-ki le ane̩ Hafila du ugbo kʼo̩jamalia de̩ le̩ daka; 
12,o̩jamalia ane̩ le̩ la chenyo̩: o̩mo̩ okuta de̩lium kpai o̩niks de̩. 
13,Odu ohimini ekeji la ko̩ Giho̩n: e-le̩ chʼe-ki ale ane̩ Kush du daka. 
14,Odu ohimini e̩ke̩ta la ko̩ Hide̩ke̩l: e-le̩ chʼe-kʼi a cha lʼo̩wo̩ olodudu Asiria le̩. Oñ ohimini e̩ke̩le̩ che Yufretis.
15,"Oñ Jihofa O̩jo̩ mʼone̩ du, oñ i mʼu du tef uche̩ Ide̩n kʼi lʼo, kʼi la nade. "
16,"Taku Jihofa O̩jo̩ tuko̩ ñw one̩ kakini, E̩ro oli du ef uche̩-i e̩je̩ oñ e̩ je̩ hiaa: "
17,"ama e̩ro oli uma-e̩wñ-e̩nyo̩-kpai-e̩bie̩ne̩, uwe̩ ki je̩ e-le̩ n: todu o̩jo̩ kʼe̩ jʼe-le̩ eku oñ e̩ ku."
18,"Taku Jihofa O̩jo̩ kakini, I nyo̩ kʼone̩ kate kʼi do̩mo̩ abe̩le̩ n; omi ache e̩ne̩ ki abʼo̩ che kʼi chʼoje̩go̩-wñ. "
19,"Jihofa O̩jo̩ la nʼike̩te̩ bo̩ ame̩wñ iñmi oko okoke du, kpai ame̩we̩ ojale okoke du; tak i mʼu ko wʼugbo one̩ kʼi go alu kʼi adʼodu ñw uma: oñ e̩wñ du kʼone̩ dʼodu onugo e̩wñ iñmi le̩ okoke du ko̩, mak e-le̩ chʼodu-wñ. "
20,"Oñ one̩ mʼodu du ñw ame̩la abe̩re̩me̩le̩ du, kpai ame̩we̩ ojale, kpai ame̩wñ iñmi oko okoke du; ma muda li e̩ne̩ kʼi chʼoje̩go̩ one̩ kʼi abʼo̩ che n. "
21,"Taku Jihofa O̩jo̩ je̩ ñw olu lile mʼone̩ du, oñ abu kʼi alolu i mʼikeli-wñ oka du, oñ i mʼo̩re̩la du dabi boma koji: "
22,"tak ikeli ki Jihofa O̩jo̩ du kwef one̩ i mudu che onobule̩, oñ i mʼowñ du wʼugbo one̩. "
23,"Tak one̩ kakini,"
24,"Todule̩ e̩ne̩ke̩le̩ atʼata-wñ kpai iye-wñ no̩ kʼi la amanyʼo̩ya-wñ, oñ ama amud o̩re̩la okate. "
25,"Ama meji la tago ofo, owñ chʼone̩ kpai o̩ya-wñ, ma la chanyo̩ n."
