Verse,Text
1,"Todu e-le̩, omi Po̩l, e̩namu e-Kraist Jisus tod ame̩ abo uche̩ichi— "
2,"u neju ka kʼame̩ gbʼinabali igede ufe̩de̩nyo̩ e-O̩jo̩ ku ma du ñwu mi kʼu de todu me̩ kakini, "
3,Lʼo̩na o̩la ebite̩ oñ ma je̩ ñwu mi ma afili le̩ alu kʼu ko̩ o̩la-wñ pe̩ nyʼef o̩takada o̩gbo̩gba le̩. 
4,"I chʼe-le̩, me̩ chʼo̩kalatu-wñ me̩ neke mʼoji ibe kʼu ne̩ ef afili Kraist, "
5,e-ku ma ma du ñw amo̩ma amone̩ o̩gba o̩gba kibo̩ ku ma ma alu ku ma mubite̩ ñw ame̩nukpuche̩-wñ kiafo̩ kpai amakache̩-wñ ef Afu-wñ abajo̩-i n. 
6,"O̩wñ chʼeka kʼabo uche̩ichi kpai amaju chʼabo kʼama de̩de̩ aje̩ e̩wñ ogu le̩, ama de̩de̩ la chʼaño̩laʼka, ama de̩de̩ la ñʼadama nyʼe̩wñ ku ma ko̩la-wñ tane̩ le̩ efu Kraist Jisus lef Uche̩nyo̩, "
7,"e-kʼomi mud e̩ne̩ kʼi ache e̩wñ ñw one̩ ef uwñ, likpa ele ufe̩de̩nyo̩ e-O̩jo̩ ku ma du ñwu mi alu kʼukpahiu-wñ achuko̩lo̩."
8,"Omi ki nya tʼabo kiafo̩ du le, oñ ma du ufe̩de̩nyo̩ kide̩ ñw u, kʼu fʼuche̩nyo̩ unana Kraist e-kʼo̩kpa-wñ ma je̩ ate̩ n le̩ je̩ rʼabo uche̩ichi; "
9,"kʼu laño̩ dʼe̩wñ ki chʼigede afili ki maja ef O̩jo̩ kʼi nyi e̩wñ du le̩ kwo igbele igbele wʼef ugane̩, "
10,todu ku ma ki je̩ ñw amagboji kpai abo̩da ef uña efojale ma unibe O̩jo̩ ki chʼo̩la ojoji ojoji wewe fai lef ujeju abudo̩ Ondu. 
11,Owñ chʼalu kʼi ñwʼibe e̩wñ ogbegbele̩ du tane̩ efu Kraist Jisus Ondu-wa. 
12,Ef owñ a nʼeju e̩gbo kpai o̩na kʼa guduwa ef e̩do̩-edachi lef e̩do̩ ekono e-owñ. 
13,"Lef e-le̩ oñ nabi me̩ ku me̩ we egwegbo̩ ef o̩bata kʼu nali todu me̩, e-le̩ chʼojima e-me̩."
14,"E̩wñ ki chi de̩ kʼu natʼokuku-mi kpe̩ ñw Ata, "
15,"e-kʼunyi du tʼe-efojale tʼe-ane̩ ile̩-i, kʼodu kwugbʼowñ le̩, "
16,"todu kʼi du ñwu me̩, teju alu kʼunana ojima-wñ de̩, kʼukpahiu-me̩ ki nyo̩gba ku me̩ gbiti ef one̩ e-ejefu lef Afu-wñ; "
17,ku Kraist kʼi dodo ef e̩do̩-me̩ lef e̩do̩ ekono; abu ku me̩ fʼili nyʼane̩ kʼe̩re̩-me̩ ño̩ dʼane̩ ef ufe̩do̩; 
18,todu ku me̩ ki chegbiñmi kʼame̩ manyʼabo kiafo̩ duu ki dʼo̩wo̩ e-ibe do e̩wñ ki chʼunula kpʼujiji kpʼo̩gba kpʼunefu-wñ; 
19,"ku me̩ ki ño̩ fʼufe̩do̩ Kraist e-ki tʼe̩wñ kʼone̩ ama le ma, todu ku me̩ ki che̩ko̩ gbogbo wa e̩ko̩ e-O̩jo̩ chaka."
20,Ama tugbo e̩ne̩ ki neke che tʼe̩wñ du kʼa abiebi abe̩k e-kʼibe-wa atʼo̩ le nana ololo teju ukpahiu ki achuko̩lo̩ efu-wa; 
21,ojima ki chʼe-owñ ef ujeju abudo̩ Ondu kpai efu Kraist Jisus gbogbo tʼo̩gba o̩gba du ogbegbele̩ nyile̩wa. Ami.
