Verse,Text
1,"Todule̩ omi, kʼu chʼe̩namu ef Ondu, arodubʼume̩ ku me̩ ki tale nyo̩nyo̩ bʼudo̩ ku ma do̩ me̩ jo̩. "
2,"Ibe-me̩ ki chʼewane̩ chaka, kʼame̩ ki jo̩ chikimi, manyʼe̩do̩ eje̩, me̩ ki je̩ kpʼomune̩ ef ufe̩do̩; "
3,me̩ ki chʼe̩do̩ chacha afejute̩ udama e-Afu; ure̩do̩ ki ji me̩ dama. 
4,"Año̩la chʼoka, Afu la chʼo̩ka, dabalu ku ma ño̩ fʼume̩ do̩ udo̩ ef ukibenoʼka ge̩; "
5,"Ondu chʼoka, e̩do̩ ekono chʼoka, baptism chʼoka. "
6,"O̩jo̩ kpai Ata e̩ne̩ du chʼoka, owñ dʼate̩ ñw e̩ne̩ du, kpai lef e̩wñ du, kpai ef e̩wñ du. "
7,Ma muda dʼufe̩de̩nyo̩ ñw a okoke teju alu kʼe̩ñwa ele Kraist de̩. 
8,"Todule̩ i kakini,"
9,"Ete̩gu kʼi ka le̩ fa? e̩wñ de̩? ki ma chʼukakini, i ño̩ gwo̩ru tʼugbo ki chʼo̩gane̩ ile̩-i n? "
10,"E̩ne̩ ki gwo̩ru le̩ onugo ño̩ chʼe̩ne̩ ki te̩gu tʼatate̩ ñw efojale du, todu kʼi ko̩ e̩wñ du efu. "
11,Tak owñ du ñw abo iche̩kibo̩ ku ma chʼame̩nukpuche̩; e-abo iche̩kibo̩ la chʼamakache̩; e-iche̩kibo̩ la chʼamajuche̩nyo̩ rʼone̩; e-iche̩kibo̩ la chʼamadide kpai amakone̩wñ; 
12,"todu ku ma ñwʼabo kiafo̩ che kpa, todu uko̩lo̩ e̩wñ eche ñw one̩ ku ma ki ne año̩la Kraist, "
13,"gbogbo tak o̩chaka-wa ki lewa tʼudama e-e̩do̩ ekono, kpai O̩ma O̩jo̩ ema kpa, kʼa mud o̩kone̩ ogbolo, kʼa tʼe̩ñwa o̩gba alu kʼe̩ko̩ Kraisti gba le̩, "
14,todu kʼawa ki we echʼo̩me̩kpa kʼafu uko̩-o̩la du ki aju aro̩ temi temi kʼi ñʼane̩ wa alo tʼugbo tʼugbo du ef ebʼone̩ eju maja e-amone̩ ef ugbeju tef ugbeleke e-ila. 
15,"Kʼa muda nʼochochi aka ef ufe̩do̩, kʼa gbʼo̩kone̩ ef e̩wñ du alo waa tef owñ kʼowñ chʼoji año̩la, owñ che Kraisti. "
16,"Owñ chʼe̩te̩-wñ kʼo̩gbo̩dudu año̩la ku ma ko kadʼomune̩ kʼi la gamʼomune̩ lef e̩wñ kʼiko iko du ane̩wa teju alu kʼe̩ñwa uko̩lo̩ kʼe̩wñ año̩la okoke ache kʼaño̩la ki gba nyo̩gba de̩, kʼunyi le̩ ki fʼo̩la-wñ ne ef ufe̩do̩."
17,"Todule̩ e̩wñ kʼu naka, kʼu na ñʼagbibenu ef Ondu de̩, kakini, Ame̩ ki we etale alu kʼabo uche̩ichi atale ef o̩wai e-ibe-ma le̩, "
18,"abu kʼef ibe-ma chʼe̩chubi, ku ma mud ononojo ñw iñmi O̩jo̩, lef ugbodu ki dʼefu-ma, lef echi kʼe̩do̩-ma chi; "
19,"abo le̩, abu kʼe̩wñ du ma wo̩ ma eju ge̩ n, ma mʼo̩la-ma kojo̩ ñw e̩wñtuñ eche ku ma che uko̩lo̩ du ki ma de̩ hiolo n ef eju-fufu. "
20,I muda chʼabu kʼame̩ ko̩che̩ Kraist le̩ de̩ n; 
21,"iche̩wñ ku me̩ fʼo̩la-wñ gbo̩ ochochi, ku ma laño̩ ko̩ me̩ e̩wñ ef owñ, teju alu kʼochochi de̩ efu Jisus; "
22,"kʼame̩ ki mʼone̩ e-igbele, ugbo e̩wñ kʼi te̩tache akwoubi le̩, kojane̩, abu kʼe-le̩ chile̩che̩ te̩ teju e̩ño̩ e̩wñ ki adʼone̩ ibe; "
23,"ku me̩ dabi chʼetito̩ ef afu e-ibe-me̩, "
24,"ku me̩ laño̩ mʼone̩ etito̩ omune̩ le̩ duto̩la, owñ chʼe-ku ma nyi teju alu kʼO̩jo̩ de̩ ef o̩kpakpa kpai efo e-ochochi."
25,"Lef e-le̩ me̩ nakʼolemi jane̩, kʼe̩ne̩ne̩ne̩ne̩-me̩ ki kʼochochi kpai ekeji-wñ; todabu kʼawa chʼe̩wñ o̩la omune̩. "
26,"Me̩ we̩do̩, me̩ ki la we edure: olu ki tunyʼane̩ ke̩re̩bʼubieju-me̩ n: "
27,me̩ ki la bʼuña ñw Abulumone̩ le̩ n. 
28,"E̩ne̩ ki joji ki ño̩ joji ge̩ n: chai o̩wo̩ e-wñ onugo i adu chʼakanya uko̩lo̩ ki nyo̩, todu kʼi ne̩ e̩wñ kʼi akpe̩ kpʼe̩ne̩ kʼeku e̩wñ aku. "
29,"O̩la e̩fule̩fu du ki nawe edufu alu-me̩, chai e-ki nyo̩ ki ane̩ one̩ nyo̩gba kʼi chʼeku wñ, todu kʼi dʼufe̩de̩nyo̩ ñw abo ku ma gbo̩. "
30,"Me̩ ki we ekpa Afu Kiafo̩ e-O̩jo̩ e̩do̩ bie̩, owñ ku ma fʼume̩ hiuko̩ ef uwñ tod o̩jo̩ ku ma wa gbʼone̩ tane̩. "
31,"Me̩ namʼo̩la ulukoko kpai uke̩do̩fulu kpai uwe̩do̩ du kpai ukwa kpai achakpabie̩ ko bʼo̩la-me̩ te̩, manyʼe̩wñ e̩bie̩ne̩ du. "
32,"Me̩ ki la mud abo ku ma mo̩la ñw omune̩, e̩do̩-me̩ ki chʼafu, me̩ nache ufe̩de̩nyo̩ ñw o̩la-me̩ alu kʼO̩jo̩ che ufe̩de̩nyo̩ ñwu me̩ efu Kraisti."
