Verse,Text
1,"Po̩l kpai Timoti, amadu Kraist Jisus-i, tʼugbo abo kiafo̩ efu Kraisti Jisus chaka ku ma jo̩ Filipai, manyʼamafejute̩ kpai abo ku ma che e̩wñ ñwu ma. "
2,Ufe̩de̩nyo̩ kpai ure̩do̩ kwugbo O̩jo̩ Ata-wa kpai Ondu Jisusi Kraisti kʼi dʼugbo me̩.
3,NagwʼO̩jo̩-mi e̩gba du kʼu rewa me̩. 
4,E̩gba du ef o̩ko̩ du kʼu nagbabʼo̩ todu me̩ chaka nagbo̩ko̩bʼo̩ kpai uyo̩ 
5,noji uta ku me̩ ta kpʼawa ñw Uche̩nyo̩ le̩ akwʼo̩jo̩ ejodudu gbogbo wʼifa-i. 
6,"A ke̩do̩no kakini, E̩ne̩ kʼi chane̩ uko̩lo̩ ki nyo̩ eche ef ume̩ le̩ ache gbogbo wʼo̩jo̩ Jisusi Kraisti ki kpoji. "
7,"I chʼo̩kpakpa ñw omi kʼu nibe abe̩le̩ todu me̩ chaka, todu ene̩ kʼu ne̩ me̩ ef e̩do̩-mi, abu kʼo̩chaka me̩ jʼabʼumi tuta ef ufe̩de̩nyo̩-mi ef eji ku ma ji mi-i, kpai ef ohi kʼu nadu, kpai ef Uche̩nyo̩ elonyane̩. "
8,"Todu O̩jo̩ chʼe̩nibenu-mi, alu kʼeju-me̩ chaka ano mi ef e̩do̩ Jisusi Kraisti ki achʼiwo̩ one̩ le̩."
9,Oñ adua kʼu nache-i chʼutodu kʼufe̩do̩-me̩ ki tule nyo̩gba ololo ef e̩wñ-ema ogbolo kpai o̩ka e̩wñ eche; 
10,kʼame̩ ki ñwa e̩wñ ojoji ojoji go; todu kʼame̩ ki de̩ yaala wʼo̩jo̩ Kraisti; ku me̩ we eje̩ ñw one̩ ke̩re̩. 
11,E̩ro o̩kpakpa ki kʼume̩ efu lefu Jisus Kraist tod ojima kpai uñwulo̩ O̩jo̩.
12,"U la cheneku ku me̩ ma, amo̩maye, kakini, E̩wñ ugbo-mi-i je̩ ñw Uche̩nyo̩ nyʼo̩gba tule, "
13,oñ eji ku ma ji mi-i kwotejugede efu Kraist ef o̩gbo̩ Praito̩rium-i chaka kpai ugbo abo ki bo̩ du. 
14,"Ojile amo̩maye ef Ondu ño̩ ke̩do̩no tule tod eji ku ma ji mi-i, e̩do̩-ma la gbo ololo oñ ma ma railo o̩lO̩jo̩ eka n."
15,Abo iche̩ka la ka lef ulie̩na kpai iñwa ochochi; abo iche̩ka muda nʼakoya Kraist ata ef ibe e̩nyo̩: 
16,abo-i la ka kwef ufe̩do̩ abu ku ma chema kakʼu tʼemi kʼu kʼomu Uche̩nyo̩; 
17,"abo ekeji le̩ dʼUche̩nyo̩ Kraist kpogo kwef edane̩kpeju, e-ma fe̩ n, ma nʼibe kaku ma adʼo̩bata kwane̩ ñwu mi ef eji ku ma ji mi te̩-i."
18,"Tod e̩wñ? Alu du ki chaka de̩, dagba i chʼedʼo̩wo̩ yʼone̩ eju dagba i chʼochochi, ma du Kraist kpogo me̩; u nayo̩ ef e-le, u ñʼayo̩ kpo̩ ge̩."
19,Todu u chema ka kʼoji e-i achʼujadu ñwu mi lef o̩ko̩ ku me̩ agba bʼO̩jo̩ kpai ate̩ko e-Afu Jisusi Kraisti. 
20,"I ade̩ alu kʼeju-mi chʼefe̩rʼo̩na, kʼu nakibeno ka kʼanyo̩ amu mi ef e̩wñ du n, ama alu ki te̩te̩ de̩, fa-i ge̩ ef eju e̩gbo du uwohi anana Kraist atule ef año̩la-mi, dagba i che lef udeju, dagba i che lef uku."
21,"Todu ugbo e-mi edeju che Kraisti, eku la chʼile eje̩. "
22,"I muda che̩wñ kʼedeju ef o̩re̩la chʼe-ki anʼe̩ro uko̩lo̩ ñwu mi, mak e-kʼu nadu u ma n. "
23,"E̩wñ meji le̩ la mʼumi ne̩ gaga, e̩ño̩-wñ ache mi kʼu mutu kwʼemi alo kʼu dʼugbo Kraist; todu e-le̩ nyo̩ tule nana ololo. "
24,Eguane̩-mi ef o̩re̩la-i muda chʼeku ki aku ume̩ tule. 
25,"Oñ abu kʼu ke̩do̩no abe̩le̩, u che ma kak u naguane̩, kʼu la bʼo̩chaka-me̩ gugu, ku me̩ dʼo̩na nyo̩gba, ku me̩ ño̩ nʼuyo̩ ef e̩do̩-ekono; "
26,todu kʼuba-me̩ ki mud ololo efu Kraisti Jisus ef umi lef eju-mi kʼi ñʼadubi adane̩ ugbo me̩ ge̩.
27,"Ama ke, me̩ ki nʼe̩wñ ache alu kʼo̩mane̩ ache nyo̩nyo̩ bʼUche̩nyo̩ Kraisti jo̩: todu dagba u lewa ali me̩, dagba kʼeju-mi ma dane̩ n, todu kʼu gbʼinabali-me̩ kakini, Ame̩ dago ef afuʼka, e̩do̩-me̩ chʼoka, oñ me̩ jo̩ abʼomune̩ dobulu ñw o̩la e̩do̩-ekono e-Uche̩nyo̩; "
28,"ku me̩ ma chʼokpo abo ku ma kobʼume̩ le̩ ef e̩wñ du n; e-te̩ chʼujiwe ule-nyo̩ ñwu ma, i muda chʼujiwe ujadu ugbo e̩-me̩, e-i la kwʼugbo O̩jo̩. "
29,"Todu i chʼeke̩do̩nʼo kate oñ ma du chʼume̩ ele ufe̩de̩nyo̩ todu Kraist in, chai ku me̩ ki ño̩ li uwa todu owñ ge̩: "
30,"abu ku me̩ ne̩ eju egbiti e-ku me̩ li ef umi le̩, ku me̩ laño̩ gbo̩ ka kʼi dʼef umi fa-i."
