Verse,Text
1,"Todabe̩le̩, amo̩maye-mi e-ufe̩do̩ kʼeju-me̩ la ano̩ mi, ku me̩ chʼuyo̩-mi kpai uloko-mi, abe̩le̩ me̩ ki dago ka ef Ondu, abufe̩do̩-mi."
2,"Nagbo̩ko̩bo̩ Io̩dia, naño̩ gbo̩ko̩bo̩ Sintike, kʼibe-ma ki chʼokate ef Ondu. "
3,"I-i, u ñʼabi we̩, uwe̩ kʼe̩ te̩tane̩ oli uno̩lo̩ kpʼomi ogbolo, e̩ nate̩ko abobule̩-i ma bʼumi dobulu ef Uche̩nyo̩ manyu Kle̩me̩t kpai abo ki bo̩ ku ma bʼumi chʼuko̩lo̩ le̩, kʼodu-ma la jʼef o̩takada e-iñmi."
4,"Me̩ nayo̩ ef Ondu e̩gba du; naño̩ dabi ka, Me̩ nayo̩. "
5,Me̩ ki je̩ ñw amone̩ du ki ma o̩yo̩o̩-me̩. Ondu me̩ro̩wo̩ me̩. 
6,Me̩ ki dejiji e̩wñ du n; ama ef e̩wñ du me̩ nanʼadua eche kpʼo̩ko̩ e̩gba bʼo̩ manyʼugwa egwa je̩ ñw O̩jo̩ ma ebi-me̩ ku me̩ bi. 
7,Tak ure̩do̩ e-O̩jo̩ e-kʼi tʼibe e̩ne̩ du le adonyʼe̩do̩-me̩ kpai ibe-me̩ ku me̩ lo efu Kraist Jisus.
8,"I chʼe-kʼi bo̩, amo̩maye, aluka e̩wñ du kʼi chʼochochi, aluka e̩wñ du ku ma diba ñw u, aluka e̩wñ du ki chʼo̩kpakpa, aluka e̩wñ ki de̩ yala, aluka e̩wñ du ki chʼalifia, aluka e̩wñ du ki nʼuwohi e̩nyo̩, iche̩wñ kʼe̩wñ ki nʼodu-e̩nyo̩ du do̩mo̩, iche̩wñ kʼe̩wñ ku ma ñwulo̩ uwñ do̩mo̩, me̩ ki dʼibe tʼe̩wñ le̩ du. "
9,"E̩wñ ku me̩ ko̩che̩, ku me̩ la mugba, ku me̩ la gbo̩, ku me̩ laño̩ li ef umi, me̩ ki nʼe̩wñ le̩ ache: tak O̩jo̩ e-ure̩do̩ adʼubi me̩."
10,"U la yo̩ nana ef Ondu, todabu ku me̩ je̩ ñwu ibe-me̩ ku me̩ dute̩ mi mutajo ubi ane̩-i ge̩; ibe-me̩ te̩te̩te̩ mi, me̩ muda nʼiko n. "
11,"I cheka kʼe̩wñʼka nyaru mi oñ naka-i n: todu omi ko̩che̩ me̩, alu du ki de̩ u chebʼo̩la-mi jo̩. "
12,"U chema e̩wñ edabu, u la chema ololo e̩wñ ene̩: lʼo̩na du, kpai ef e̩wñ du tʼefu eko̩, tʼe-ebi ekpa, tʼe-e̩wñ ene̩ ololo, tʼe̩wñ enyaru omi mud o̩ka-wñ me̩. "
13,Iñmi-mi chewo e̩wñ du ef e̩ne̩ kʼi adʼukpahiu ñwu mi le̩.
14,"I chaka dʼabe̩le̩, etuta ku me̩ bʼumi tuta ef o̩bata-mi le̩ o̩me̩me̩le̩ me̩ che. "
15,"Ame̩ onugo la chema, ame̩ abo Filipai, ka kʼe̩gba abakwane̩ Uche̩nyo̩ e̩gba ku kwo bo̩ Masidonia te̩ le̩, ujeju abudo̩ Ondu okate tuta kpai omi ef e̩wñ-echele kpai e̩wñ-egba n, chai ame̩kate; "
16,todu me̩ ño̩ dʼe̩wñ kʼeku-wñ aku mi kpuche̩ rʼumi Te̩se̩lonaika onuka kpai onukeji ge̩. 
17,I cheka kʼu natejane̩ e̩wñ-ele le̩ n; u muda atejane̩ e̩ro ki mud o̩be̩le̩ke̩te̩ ku ma ki loru ñwu me̩. 
18,"U la chene̩ e̩wñ du, i ño̩ chʼololo ge̩: efu-mi ko̩ me̩, abu kʼu mʼe̩wñ ki kwʼugbo me̩ gba o̩wo̩ E̩pafrodaitus, e̩kpo e̩rinyo̩ i che, e̩wñ iche̩bo̩ ki nyo̩-egba i che, i cherʼO̩jo̩ e̩do̩. "
19,O̩jo̩ e-mi la ache kʼe̩wñ kʼeku-wñ aku me̩ ki jo̩ kpa ñwu me̩ teju alu kʼanana-wñ de̩ ef ojima efu Kraist Jisus. 
20,"Ojima ki chʼe-O̩jo̩ kʼi ño̩ chʼAta-wa ogbegbele̩ nyile̩wa, ami."
21,Me̩ fʼabo kiafo̩ efu Kraist Jisus gwa okoke du. Amo̩maye ku ma jʼugbo mi agwa me̩. 
22,"Abo kiafo̩ du agwa me̩, oñ e-abo ku ma jʼef unyi Sisa toji."
23,Ufe̩de̩nyo̩ e-Ondu Jisus Kraist ki dʼugbo afu-me̩.
