Verse,Text
1,"Todule̩, amo̩maye kiafo̩, kʼame̩ mananyʼudo̩ e-efojale, me̩ nadibetʼe̩nukpuche̩ kpʼagboji amatama e-ugbalu kʼa gbalu-wñ le̩, owñ che Jisus; "
2,"owñ chʼe̩ne̩ kʼi chubi e̩ne̩ kʼi dʼowñ che le̩, alu ku Mose̩s ño̩ de̩ ef abunyi-wñ ge̩. "
3,"Todu ma fʼe̩ne̩-i lo̩ ka kʼi bʼojima ki nana tʼe-Mo̩se̩s le jo̩, alu kʼe̩ne̩ ki akʼunyi nʼubumo̩ tʼunyi onugo le. "
4,Todu unyi du nʼe̩ne̩ ki ako̩; ama e̩ne̩ ki fʼe̩wñ du ko̩ chʼO̩jo̩. 
5,"Mose̩s la chubi odu-wñ ef abunyi-wñ du alu kʼe̩nuko̩lo̩ ache, todu kʼi chʼe̩nibenu e̩wñ ku ma ñʼako̩la-wñ ejo̩gba, "
6,"Kraisti muda chʼalu kʼo̩ma de̩ kʼabunyi-wñ jʼef o̩wo̩-wñ; awa chʼabunyi e-wñ, iche̩wñ kʼa gwo̩nyʼeju-e̩gbo̩ kpʼuba e-ibe ekono-wa le gaga gbogbo wʼukpoji."
7,"Lef e-le̩, alu kʼAfu Kiafo̩ le̩ aka kakini,"
8,"me̩ ki fʼe̩do̩-me̩ no̩, alu ku ma che ef e̩do̩ ulukoko ku ma nyi le̩ n,"
9,"Ugbo kʼamata-me̩ jʼumi ma, ku ma ñwa mi go le̩,"
10,"Lef e-le̩ e̩do̩-mi kparʼabo o̩lo̩pu kide̩,"
11,"Alu kʼu go̩ el uwe̩do̩-mi, kakini,"
12,"Me̩ nago, amo̩maye, tode̩gba kʼe̩do̩ bibi ki ko̩ eke̩do̩no ñʼadʼef e̩ne̩ʼka me̩ ef ena ku ma na tʼo̩wo̩ʼka bʼO̩jo̩ ki deju te̩,"
13,me̩ ki la dugbe̩do̩ ñw omune̩ o̩jo̩ñwa o̩jo̩ñwa ku ma do̩ kʼeñini; tode̩gba kʼe̩wñ ki jʼef ila adure aje̩ ñw e̩do̩-me̩ no̩. 
14,"Todu awa mud abo ku ma mananyu Kraisti me̩, iche̩wñ kʼa mʼuchane̩ o̩kpaka e̩do̩-wa le̩ ne̩ gaga gbogbo wʼukpoji, "
15,"ef e-ku ma ka le̩ kakini,"
16,Todu e̩ne̩ gbo̩ kʼi ño̩ nyi e̩do̩ ulukoko wa? I la chʼo̩chaka amone̩ ku ma kwef Ijipti wa lugbo Mose̩s le̩ n? 
17,"Abo i we̩do̩ rʼuma o̩do̩ o̩gbo̩ meji le̩? I chʼabo ku ma dure, kʼoku-ma jʼane̩ ef aje̩tachi le̩ n? "
18,Abo i go̩ ñw ma ka kʼama ñʼagudu tef uñmi-wñ n? ki ma chʼabo ku ma ko̩ eke̩do̩no le̩ n? 
19,"Oñ a li kakini, Ma neke gudu wʼo̩mo̩ n, tod eko̩ ku ma ko̩ eke̩do̩no."
