Verse,Text
1,"Todu i dʼumi e̩do̩ ku me̩ ma alu kʼu nafejugbiti tabale todu me̩ kpai tod abo ku ma jo̩ Leode̩sia, kpai tod aluka one̩ du ku ma ma li eju-mi ef o̩re̩la ta n, "
2,"todu kʼe̩do̩-ma ki gbo̩, ku ma ki gamʼomune̩ ef ufe̩do̩, ku ma ki ño̩ tef e̩wñ unana du kʼi jʼef oji e̩wñ ema gbali, ku ma fʼafili O̩jo̩ ma o̩gbolo, owñ che Kraist, "
3,e̩wñ akoko e-ibe kpai e̩wñ ema du maja jʼef uwñ.
4,"U kʼe-le todu kʼe̩ne̩ du ki we̩ e̩nʼo̩la ibe eka e̩te̩le̩ gba me̩ ibe tinyo̩, "
5,"todu dagba u ma dʼane̩ ef o̩re̩la n, u muda dʼugbo me̩, ef afu-mi ayo̩ abu kʼu nali alu ku me̩ tala jo̩ iko iko kpai alu kʼe̩do̩-ekono-me̩ chemane̩ efu Kraisti."
6,"Todule̩ alu ku me̩ mu Kraist Jisus Ondu gba le̩, me̩ natale ef uwñ, "
7,"abu ku me̩ tʼili mʼane̩ ku ma la fʼume̩ ne ef uwñ kʼe̩re̩-me̩ la chelonyane̩ ef e̩do̩-ekono-me̩, alu ku ma ko̩ me̩ le̩, ugwa egwa-me̩ ki chʼololo."
8,"Me̩ nago tode̩gba kʼe̩ne̩ du do̩mo̩ kʼi ane̩ eju ene̩ kpai o̩gwo̩ ofofo, ki teju e̩wñ-o̩gu amone̩, lo̩na e̩wñ-uko̩che̩ ile̩-i, kʼi ma la lo̩na Kraist in ko me̩ chʼe̩wñ akpa. "
9,"Todu ukefu onugo O̩jo̩ du dodo ef uwñ ef año̩la, "
10,ame̩ laño̩ che̩ko̩ ef uwñ kʼowñ le̩ chʼoji e̩wñ uto̩gba kpai o̩da du. 
11,"Ef uwñ le̩ ma laño̩ fʼume̩ e̩pi da ef año̩la e-o̩re̩la ekojane̩, ef e̩pi-eda e-Kraist; e-le̩ chʼe̩pi kʼo̩wo̩ one̩ ada de̩ n. "
12,Ma fʼume̩ ji kpai owñ efu baptism; ma ño̩ du me̩ kwane̩ kpai owñ ef e-le̩ lef e̩do̩ ku me̩ konʼuko̩lo̩ kʼO̩jo̩ che kʼi du owñ kwane̩ kwef abo ki ku. 
13,"Oñ ame̩ ku me̩ leku te̩ ñw uñwanane̩-me̩ kpai e̩pi odukulu-me̩ e-o̩re̩la, i che ku me̩ bʼo̩ nʼiñmi i mʼuñwanane̩-wa chaka ko chʼuwa ele ufe̩de̩nyo̩. "
14,"I fʼorubutu kʼo̩wo̩ ko̩ chʼagwunyu wa le̩ kpalu, owñ chʼuko̩ kʼi te̩ ki kobʼuwa le̩; i la mʼe-le̩ du kwʼalumeji, i mʼu du kaba manyʼoli uku-wñ. "
15,"I mʼame̩nuto̩gba kpai abo̩da gwo̩ kwʼo̩la-wñ, oñ i mʼuma ko nye̩ña ejugede pee. I kwochiya ogu bʼuma ma ef oli uku-wñ."
16,Todule̩ e̩ne̩ du kʼi chakajo̩-me̩ ef e̩wñ ku me̩ je̩ abe̩k ef e̩wñ ku me̩ ñmo̩ abe̩k ef uje̩wñ uyo̩ abe̩k ugbo o̩la ochu ki ane̩ etito̩ abe̩k ugbo o̩la o̩jo̩ uñmi n. 
17,E̩wñ kʼa ka-i du chʼojiji e̩wñ ki ache ki wa; onugo e̩wñ le̩ muda chʼe-Kraisti. 
18,"Me̩ ki je̩ ñw e̩ne̩ du nʼe̩wñ udʼe̩ e̩do̩ ef o̩la-ehiwane̩ kpai ucholo amonuche̩ eche ñwa me̩ go kʼi kpʼume̩ uloko ene̩ chi n. O̩la-wñ i adu tunyʼaye kʼi aye ofo le̩, ibe e-o̩re̩la-wñ aje̩ ñw u bukpatʼo̩la-wñ; "
19,"i la agwonyʼoji n, e-kʼi chʼe̩te̩ año̩la du, kʼi agbʼuje̩wñ lef iko kpai ili, kʼi fʼu gamʼomune̩ le̩, i nʼeyanyo̩gba e-O̩jo̩ aya nyo̩gba. "
20,"Iche̩wñ ku me̩ bo̩ Kraisti ku kwo bʼe̩wñ uchane̩ uko̩che̩ ile̩-i te̩, e̩wñ chi ku me̩ dʼo̩la-me̩ tef o̩lowu dabe̩ne̩ ku me̩ deju jʼile̩-i? "
21,"Me̩ ki dʼo̩wo̩ kadʼo n, me̩ ki dʼu kadʼalu n, me̩ ki dʼu nʼo̩wo̩ n: "
22,"e̩wñ ku ma ka le̩ du do̩mo̩ ku ma ne̩ che e̩wñ tak i ache̩ rinyo̩, teju o̩la-uko̩ kpai uko̩-o̩la e-amone̩? "
23,E̩wñ le̩ du nʼuwohi dabe̩ne̩ ki akʼo̩la ibe ugbo one̩ egʼe̩dʼo̩la-wñ nʼo̩la-wñ ehiwane̩ kpai echʼo̩la-wñ o̩bata achʼucholo; i muda achʼeku du ugbo ewe eche e̩wñ kʼo̩re̩la achʼe̩ño̩-wñ n.
