Verse,Text
1,"Amodu one̩, me̩ nache e-ki chʼo̩kpakpa kpai e-ki chʼeju-wñ ñw amadu-me̩; abu ku me̩ chema ka kʼame̩ ño̩ nʼOndu efojale ge̩."
2,"Me̩ gwo̩nyʼadua-eche waa, me̩ gwe̩ke̩ ef uwñ ef ugwa egwa. "
3,"Me̩ ki chadua todu wa manyu, todu kʼO̩jo̩ kʼi bi o̩na O̩la-wñ ñw a, kʼa dʼo̩la afili Kraist ka, lef e-le̩ oñ ma fʼumi ji-i; "
4,todu kʼu mʼu dutejugede alu ki dukpe̩ kʼomi aka. 
5,"Me̩ tale ibe ibe ugbo abo ku ma jʼo̩do̩da, me̩ fʼiko-i la te̩. "
6,"Uko̩la-me̩ ki chʼef ufe̩de̩nyo̩ e̩gba du, omu ki chʼeburʼu, ku me̩ ma alu ki dukpe̩ ku me̩ dʼohi ñw e̩ne̩ne̩ne̩ne̩ okoke."
7,"Taikikus, o̩maye-ufe̩do̩, kʼi ache e̩wñ ñw one̩, kʼi ñʼachʼubi odu-wñ, kʼowñ kpʼomi chʼadu ef Ondu, aje̩ ñwu me̩ ma alu kʼe̩wñ du de̩ ugbo mi. "
8,"Nakpʼo̩ nyʼugbo me̩-i tod e-le̩ gbage̩de̩, todu kʼame̩ ki ma alu kʼe̩wñ-wa de̩, kʼi ño̩ dʼume̩ e̩do̩ kwane̩. "
9,"One̩simus, kʼi chʼo̩maye kʼi achubi one̩ kpai e-ufe̩do̩, kʼi ño̩ chʼe̩ne̩-me̩ʼka, manyʼu o̩la. Ama le̩ aje̩ ñwu me̩ ma e̩wñ emi chaka."
10,"Aristarkus, kʼogu ño̩ je̩ manyu mi, ñʼagwa me̩ ge̩, kpai Mark, okekele̩ Barnabas, (ame̩ gba uko̩-wñ kʼu te̩ me̩; i wʼugbo me̩ le̩ me̩ yo̩ ñw u) "
11,"kpai Jisus ku ma dʼodu ko̩ Justus; ama jʼef abo e̩pi-e̩da; abo-i kate chʼamabʼumi chuko̩lo̩ tod ojane̩ e-O̩jo̩, ama chʼabo ku ma je̩ ñw e̩do̩-mi bo̩ lii. "
12,"Ipafras, kʼi chʼe̩ne̩-me̩ kʼi chʼadu Kraist Jisus kʼi afejugbiti todu me̩ e̩gba du ef adua-wñ, todu kʼame̩ ki mufu dago kʼe̩wñ du ki dʼO̩jo̩ e̩do̩ ki jo̩ kpa o̩la-me̩, agwa me̩. "
13,"Todu nagba owñ ibenu kakini, I nʼakanya nana ache todu me̩ kpai todu abo ku ma jo̩ Leode̩sia kpai todu abo ku ma jo̩ Hairo̩po̩lis ge̩. "
14,"Luku, obochi ku ma fe̩do̩ le̩, kpai Dimas agwa me̩. "
15,Me̩ gwa amo̩maye ku ma jo̩ Leode̩sia kpai Nimfo̩s kpai ujeju abudo̩ Ondu ki dʼef unyi-wñ. 
16,"E̩gba du ku ma la fʼo̩kalatu o̩takada-i che ñwu me̩ kpa, me̩ che ku ma ño̩ fʼo̩kalatu-wñ che ef ujeju Leode̩sia ge̩; todu kʼame̩ ki ño̩ chʼo̩kalatu e-kʼi kwo Leode̩sia ge̩. "
17,"Taku me̩ ka ñwu Arkipas kakini, E̩ nago e̩wñ eche ñw one̩ kʼe̩ mugba ef Ondu le̩, todu kʼe̩ che nyane̩."
18,Ugwa e-mi Po̩l kpai o̩wo̩ e-mi de̩. Me̩ nadibekado eji ku ma ji mi-i. Ufe̩de̩nyo̩ ki dʼugbo me̩.
