Verse,Text
1,"I la che̩wñ kʼe̩wñ O̩jo̩-wñ chʼe̩wñ iche̩bo̩ e-ure̩do̩, iche̩wñ kʼi du kwef amokuno̩ wa, dagba i chʼo̩ko̩ dagba i chʼole, e-kʼi mufu, oñ i adu wa che o̩gba Jihofa. "
2,"Tak i adʼo̩wo̩-wñ nʼoji e̩wñ O̩jo̩-wñ le̩, oñ i akpa alugbo̩na unyabo ujeju; tak amo̩ma Aro̩n, amatama, atʼe̩bie̩-wñ fio̩ ubo̩ iche̩bo̩ daka. "
3,"Tak i adʼe̩wñ kwef iche̩bo̩ e-ure̩do̩ le̩ wa ñwu Jihofa lugbo una, owñ chʼaya ki bʼoj ifi-wñ ma kpai ula du ki bʼifi-wñ ma, "
4,"kpai ekpili-wñ meji kpai ula ki bʼe-le̩ ma, e-ki dʼugbo ago-wñ, kpai udo̩-nare ate̩ o̩do̩-wñ kʼi abu manyʼekpili. "
5,Tak amo̩ma Aro̩n agu e-le̩ jo oj ubo̩ iche̩bo̩ nʼoji e̩wñ ku ma duwa gujo ki dʼoj iji ki jʼoj una le̩; e̩wñ ku ma duwa lugbo una ki akpo ru Jihofa i che.
6,"I la che̩wñ kʼe̩wñ O̩jo̩-wñ chʼe̩wñ ure̩do̩ ki aduwa kpa ñwu Jihofa kwef ame̩wño̩re̩ egini, o̩ko̩ abe̩k ole, e-ki mufu i aduwa. "
7,"I la chʼo̩mala i duwa che e̩wñ O̩jo̩-wñ mak i aduwa che o̩gba Jihofa, "
8,i adʼo̩wo̩-wñ nʼoji e̩wñ O̩jo̩-wñ oñ i adʼu kpa o̩gba unyabo ujeju le̩; tak amo̩ma Aro̩n atʼe̩bie̩-wñ fio̩ ubo̩ iche̩bo̩ le̩ daka. 
9,"Tak i adu kwef e̩wñ iche̩bo̩ e-ure̩do̩ le̩ wa ñwu Jihofa lugbo una, owñ chʼula-wñ, kpai odukulu otihi-wñ ki chʼula le̩, i abʼu ugbo o̩gbo̩lo̩ ubi-wñ kpakpa kpai aya ki bʼifi-wñ ma kpai ula du ki bʼifi-wñ ma, "
10,"kpai ekpili-wñ meji kpai ula ki bʼo ma, owñ chʼe-ki me̩ru ago-wñ, kpai udo̩nare ate̩ o̩do̩-wñ ki abu manyʼekpili-wñ. "
11,Tak atama agu e-le̩ jo oj ubo̩ iche̩bo̩ kʼi chʼuje̩wñ ku ma duwa ñwu Jihofa lugbo una.
12,"I la che̩wñ kʼe̩wñ O̩jo̩-wñ chʼewo, mak i adʼu wa che o̩gba Jihofa, "
13,"i adʼo̩wo̩ nʼoji-wñ, kʼi kpa o̩gba unyabo ujeju; tak amo̩ma Aro̩n atʼe̩bie̩-wñ fio̩ o̩la ubo̩ iche̩bo̩ daka. "
14,"Tak i adʼe̩wñ O̩jo̩-wñ kwef e-le̩ wa chʼe̩wñ eduwa ñwu Jihofa lugbo una, owñ chʼaya ki bʼoj ifi-wñ ma, kpai ula du ki bʼifi-wñ ma, "
15,"kpai ekpili-wñ meji kpai ula ki bʼoji-wñ ma e-ki me̩ru ago-wñ, kpai udo̩nare ate̩ o̩do̩-wñ kʼi abu ma-nyʼekpili-wñ. "
16,"Tak atama agu e-le̩ jo oj ubo̩ iche̩bo̩ kʼi chʼuje̩wñ ku ma duwa lugbo una, todu ki kpo. Ula du chʼe-Jihofa. "
17,"O̩da ki adago o̩ko̩ko̩lo̩ gbogbo nyʼo̩hio̩gu-me̩ ef unyi-me̩ du de̩, kakini, Dagba i chʼula, dagba i chʼe̩bie̩, me̩ ki je̩ n."
