Verse,Text
1,"Amo̩maye, e̩wñ ki rʼumi onugo e̩do̩ kpai o̩ko̩ kʼu nagbabʼO̩jo̩ todu ma chʼutodu kʼi fʼuma jadu. "
2,"Todu nagbʼuma ibenu kakini, Ma go̩laru e̩wñ O̩jo̩, ma muda mʼo̩na-wñ n. "
3,"Todu, abu ku ma ma mʼo̩kpakpa O̩jo̩ n, ku ma muda feju e̩dʼe-ma dago, ma fʼo̩la-ma kamuhite̩ ñw o̩kpakpa e-O̩jo̩ n. "
4,Todu Kraist chʼukpoji o̩lo̩da tef o̩kpakpa ñw e̩ne̩ du ki ake̩do̩no. 
5,"Todu Mose̩s fʼo̩takada ko̩ kakini, E̩ne̩ ki nʼe̩wñ o̩kpakpa ki dʼef o̩lo̩da ache adeju ef uwñ. "
6,"O̩kpakpa ki muda kwef e̩do̩ ekono muda aka abe̩-i kakini, Uwe̩ ki we eka ef e̩do̩-we̩ kakini, E̩ne̩ ate̩gu nyʼefojale? (owñ che kʼi du Kraist kwʼo̩mo̩ wʼane̩); "
7,"abe̩k, e̩ne̩ agwo̩ru nyʼef o̩lo̩ulu? (owñ che kʼi du Kraist kwef abo ki ku te̩gu wa). "
8,"Ama ab i ka taa? I kakini, O̩la le̩ me̩rʼuwe̩, i dʼef alu-we̩ kpʼef e̩do̩-we̩, owñ chʼo̩la e̩do̩ ekono kʼa atakoya-wñ, "
9,"kakini, Iche̩wñ kʼe̩ nʼalu-we̩ aje̩ ka ki Jisus chʼOndu, kʼe̩ la ke̩do̩no ef e̩do̩-we̩ kakini, O̩jo̩ mʼowñ du dajikwane̩ kwef abo ki ku me̩, ma ajadu we̩; "
10,"todu e̩do̩ oñ one̩ akono tef o̩kpakpa, oñ alu ma ne̩ je̩ tef ujadu. "
11,"Todu O̩takada O̩la O̩jo̩ kakini, Anyo̩ amu e̩ne̩ du ki ake̩do̩nʼowñ n. "
12,"Todu e̩ne̩-Ju kpai e̩ne̩-Grik chʼojoji ñw omune̩ n; todu owñ okate le̩ gbage̩de̩ chʼOndu e̩wñ du, i chʼanana ñw abo du ku ma kwadʼowñ. "
13,"Todu, ma ajadu e̩ne̩ du kʼi akwadʼodu Ondu. "
14,Todule̩ abu ma ale ku ma akwado̩ e̩ne̩ ku ma ma ke̩do̩no ni taa? Abu ma ale ku ma ake̩do̩nʼe̩ne̩ ku ma ma gbʼo̩la-wñ mama ta n? Oñ abu ma ale ku ma agbo̩ e̩gba kʼe̩ne̩ ki atakoya ma de̩ n?
15,"E̩ne̩ du ma kpʼuma uche̩ n abu ma ñʼale ku ma atakoya? Owñ chʼalu ku ma ko̩tane̩ le̩ kakini, Go abu kʼe̩re̩ abo ku ma nʼuche̩ e̩wñ ki nyo̩ aje̩ chʼalifia!"
16,"I muda chʼo̩chaka-ma gbʼo̩la Uche̩nyo̩ gbo̩ n. Todu Aizaya kakini, Ondu, e̩ne̩ ke̩do̩nʼo̩la kʼi gbo̩ ugbo wa? "
17,Abe̩le̩ e̩do̩ eko̩no kwef o̩la egbo̩; o̩la egbo̩ la lʼef o̩la Kraist wa. 
18,"Ama u kakini, Ama gbo̩ n? Ma gbo̩ mana,"
19,"Ama u kakini, Abo Israe̩l ma n? Ejodudu Mose̩s kakini,"
20,"Aizaya la ne̩do̩ tabale, oñ i kakini,"
21,"I muda ka ñw abo Israe̩l kakini, U fʼo̩wo̩-mi nadala gbogbo dʼo̩jo̩ ñw amone̩ ku ma ko̩ egbagbo̩ ku ma jʼajiñwa."
