Verse,Text
1,"Fibi o̩maye-wa onobule̩ ku me̩ li-i omi me̩ li le̩, owñ ño̩ chʼe̩ne̩ ki ache e̩wñ ñw ujeju abudo̩ Ondu ki de̩ Se̩nkria; "
2,todu ku me̩ ki mʼu gba cho̩la ef Ondu alu ki chʼeju-wñ ugbo abo kiafo̩; ku me̩ bʼo̩ kpe̩nyʼu eku e̩wñ du kʼi akʼu; todu owñ mud e̩ne̩ ki gbʼamone̩ wewe nyi kpʼomi onugo ge̩.
3,"Me̩ gwa Priska kpai Akwila, ku ma abʼumi chuko̩lo̩ efu Kraisti Jisus, "
4,"ku ma la fʼoji-ma gbali te̩ tod onugo-mi; i chʼomi kate agwa ma n, abo ujeju Ondu du ku ma chʼabo uche̩ichi agwa ma ge̩: "
5,"me̩ gwa ujeju abudo̩ Ondu ki dʼunyi-ma. Me̩ gwa E̩paine̩to̩s e̩nufe̩do̩-mi, kʼi chʼe̩ne̩ ejo̩ga abo Esia ñwu Kraisti. "
6,"Me̩ gwa Me̩n, ki chakanya e̩wñ nana todu me̩ le̩. "
7,"Me̩ gwa Andro̩niko̩s kpai Janias, amefu-mi kʼomi kpai ama chʼe̩namu, ku ma nʼuwohi ef ame̩nukpuche̩ le̩; ma laño̩ jʼefu Kraisti o̩gbami. "
8,"Me̩ gwa Ampliato̩s, e̩nufe̩do̩-mi ef Ondu. "
9,"Me̩ gwa O̩rbano̩s, e̩ne̩ ki abʼuwa chuko̩lo̩ efu Kraisti, kpai Stakus e̩nufe̩do̩-mi. "
10,Me̩ gwa Ape̩le̩s e̩ne̩ ku ma fʼu ñwa kʼi nyo̩ efu Kraisti. Me̩ gwa abo Aristo̩bulo̩s. 
11,"Me̩ gwa He̩ro̩dio̩n, kʼi chʼefu-mi. Me̩ gwa abo Narsiso̩s ku ma jʼefu Ondu. "
12,Me̩ gwa Trufana kpai Trufosa ku ma achʼakanya uko̩lo̩ ef Ondu le̩. Me̩ gwa Pe̩rsis e̩nufe̩do̩ kʼi chʼakanya uko̩lo̩ nana ef Ondu. 
13,"Me̩ gwa Rufo̩s e̩ne̩ ku ma chi ef Ondu le̩, kpai iye-wñ ki ño̩ chʼiye-mi ge̩. "
14,"Me̩ gwa Asunkrito̩s kpai Fle̩go̩n kpai He̩rme̩s kpai Patro̩bas kpai He̩rmas, kpai amo̩maye ku ma manyʼuma. "
15,"Me̩ gwa Filo̩lo̩go̩s kpai Julia kpai Nere̩o̩s kpai o̩maye-wñ onobule̩, kpai O̩lumpas kpai abo kiafo̩ du ku ma manyʼuma. "
16,Me̩ dʼukalu kiafo̩ gwʼomune̩. Ujeju abudo̩ Kraisti duu agwa me̩.
17,"Oñ o̩ko̩ nagha bʼume̩, amo̩maye, me̩ nafʼeju mʼabo ku ma jʼadʼamone̩ rʼeji ku ma la ada amone̩ hi tʼojoji ñw o̩la kʼame̩ ko̩che̩ le̩ ne̩: ku me̩ muna bʼuma te̩. "
18,"Todu abo e̩go̩-i achuko̩lo̩ adu ñw Ondu-wa Kraisti n, chai ef uma ma re̩; oñ ma nʼurinyo̩ o̩fa kpai ele eka mʼame̩ne̩do̩foo̩ ibe da. "
19,"Todu egbagbo̩ ku me̩ gbagbo̩ kwo̩tʼamone̩ du e̩ti. Todule̩ oñ nayo̩ todu me̩, i la dʼumi e̩do̩ ku me̩ chʼamanibe ugbo e̩wñ ki nyo̩, kʼe̩wñ e̩bie̩ne̩ ki we egwe̩gwa nyʼume̩. "
20,Oñ O̩jo̩ e-ure̩do̩ la akpi Setan fo̩ ef e̩re̩-me̩ ofeje̩i. Ufe̩de̩nyo̩ Ondu-wa Jisusi Kraisti ki dʼugbo me̩.
21,"Timoti, kʼi abʼumi chʼuko̩lo̩, agwa me̩, kpai Lukio̩s kpai Jeso̩n kpai Sosipata amefu-mi le̩. "
22,"Omi, Te̩rtio̩s kʼu nakʼo̩takada-i, agwa me̩ ef Ondu. "
23,"Gayo̩s e̩ne̩nyi-mi kpai abo ujeju-i chaka agwa me̩. Irasto̩s, adʼo̩kpulu ewo-i, agwa me̩, kpai Kwarto̩s o̩maye le̩. [ "
24,Ufe̩de̩nyo̩ Ondu-wa Jisus Kraisti ki dʼugbo me̩ chaka. Ami.]
25,"Tʼugbo e̩ne̩ ki neke fume̩ e̩re̩ nyane̩ teju alu kʼUche̩nyo̩-mi kpai o̩la akoya Jisus Kraisti de̩, teju alu ku ma mʼafili bite̩ ku ma dute̩ chii o̩kpanachi o̩kpanachi ogbegbele̩ le̩, "
26,"ku ma la mʼu du tejugede abajo̩-i, oñ ma je̩ ñw abo uche̩ichi du ku ma mʼo̩ lef o̩takada kʼamakache̩ ko̩ teju alu kʼO̩jo̩ e-ogbegbele̩ fʼuko̩-wñ te̩, kʼama ki mʼo̩la e̩do̩ ekono gbagbo̩; "
27,"tʼugbo O̩jo̩ kate ki nʼibe le̩, lefu Jisus Kraisti, owñ ki nʼojima tʼogbegbele̩ nyile̩wa. Ami."
