Verse,Text
1,"Uwe̩, e̩ne̩ du kʼolugbe̩ akpʼo̩,"
2,E̩wñ chi ku me̩ kʼo̩ko̩ ala e̩wñ ki ma chʼuje̩wñ n?
3,"Hi eti-we̩ wane̩, kʼe̩ wʼugbo mi;"
4,"Go, omi mʼowñ du chʼe̩nibenu ñw amone̩ amone̩,"
5,"Go, uwe̩ adʼo̩ abo ichiʼka kʼe̩ ma ma ma n,"
6,"Me̩ tejane̩ Jihofa abu kʼi dʼugbo kʼame̩ ali,"
7,"e̩ne̩bie̩ne̩ ki hiʼo̩na-wñ tinyo̩,"
8,"Todu ibe ki dʼefu-mi chʼojoji ñw ibe ki dʼefu e-me̩,"
9,"Todu alu kʼefojale efojale jʼatate̩ ñw ile̩-i,"
10,"Todu alu kʼomi alo̩ kwʼojale wʼane̩, kpai alu ki sno agwo̩ru kwʼojale wa,"
11,alu le̩ o̩la ki akwef alu-mi dufu ade̩ ge̩;
12,"Todu ame̩ adufu alo kpʼuyo̩,"
13,Oli fe̩r atiga koji ikeke;
