Verse,Text
1,"O̩la Ako̩la ñw ujeju, kʼi chʼo̩ma Defid, onu ki de̩ Je̩rusale̩m de̩."
2,"O̩wai e-o̩wai, Ako̩la ñw ujeju kakini."
3,Ile e̩wñ one̩ ne̩ ugbo uko̩lo̩ akanya du
4,"O̩gbaʼka le, o̩gbaʼka awa,"
5,"Olu akwane̩, olu la atunyane̩,"
6,"Afu alo tʼo̩wo̩ o̩pata o̩gane̩,"
7,"Aji du acha nyʼohimini abadi,"
8,E̩wñ du che̩ko̩ ñw uhia;
9,"E̩wñ du ki te̩te̩de̩, e-le̩ ade̩ alo waa,"
10,"I nʼe̩wñʼka ku ma neke kakini,"
11,"Urewa e̩wñ igbele de̩ ge̩ n,"
12,"Omi, Ako̩la ñw ujeju-i, chʼonu ki nʼo̩da Israe̩l, Je̩rusale̩m. "
13,U dʼe̩do̩-mi tʼenʼibe atene kpʼetejane̩ e̩wñ du ku ma che o̩gane̩ efojale. Akanya ki awo̩-i oñ O̩jo̩ ko ñw amo̩ma amone̩ ku ma ne̩ fʼo̩la-ma demane̩. 
14,"Ufʼuko̩lo̩ du ku ma che o̩gane̩ olu-i li me̩. Go, e̩wñ du la chʼo̩wai, enʼafu ule ofo i che."
15,"E̩wñ ki mugo̩ jʼato̩ru n, e̩wñ ki ana la nʼaluka n."
16,"U ka ef e̩do̩-mi kakini, Go, u mud e̩ne̩ lile me̩, u ño̩ fʼibe ne̩ tʼabo du ku ma nʼo̩da Je̩rusale̩m o̩gba-mi le. I-i, e̩do̩-mi la fʼe̩wñ ibe kpʼe̩wñ ema li ololo. "
17,"U ño̩ mʼe̩do̩-mi du tʼibe ene̩, kʼu ño̩ ma e̩wñ imu kpʼidada ge̩. Eju-mi laño̩ mune̩ ru ka kʼe̩wñ-i du ño̩ chʼafu enʼo̩ ule ofo ge̩."
18,"Todu ibe ene̩ nana chʼe̩do̩ wuulu ene̩ nana,"
