Verse,Text
1,"Taku Mose̩s kpai amo̩ma Israe̩l kʼeli-i do̩ Jihofa, ma kakini,"
2,"Jihofa che ukpahiu-mi kpai eli-mi,"
3,Jihofa chʼagbiti ogu;
4,O̩ko̩ ogu Fero kpai abogu-wñ i muko rikpolo jʼef ohimini;
5,Unefu le̩ bʼuma ma;
6,"O Jihofa, o̩wo̩ awo̩to̩-we̩ che̩nʼojima ef ukpahiu-wñ,"
7,"Ef unana e̩gahi-we̩, e̩ la ko abo ku ma kwane̩ tʼuwe̩ o̩la ro̩ jamʼane̩;"
8,"Iñmo̩ kʼe̩ bu oñ omiofo kwane̩ dago go̩mu go̩mu,"
9,"E̩nebi le̩ kakini, Narano ma, namu ma,"
10,"Uwe̩ je̩ ñw afu-we̩ ju, oñ ohimini lewa bʼuma oji ma;"
11,"E̩ne̩ dʼef amo̩jo̩ kʼi dab uwe̩, O Jihofa?"
12,"Uwe̩ fʼo̩wo̩-we̩ awo̩to̩ nadala,"
13,"Ef ufe̩de̩nyo̩-we̩ oñ e̩ nʼamone̩ kʼe̩ gbatane̩ le̩ le̩,"
14,"Amone̩ ojoji ojoji gbo̩ me̩, o̩la-ma naga;"
15,Tak ugoju mʼamidachi Ido̩m da dago;
16,Okpo kpai ailo lewa bʼuma ma;
17,"Uwe̩ la akʼuma wa kʼe̩ ko ma gbe̩ oj uwo ki chʼe̩wñ ogu kʼe̩ je̩ le̩,"
18,Jihofa ajʼonu tʼogbegbele̩ nyile̩wa.
19,"Todu e̩gba kʼamanya Fero kpai o̩ko̩ogu o̩ko̩ogu-wñ kpai amanʼanya-wñ nyʼef ohimini le̩, Jihofa mʼomi ohimini du dabiwa abʼuma oji ma; abo Israe̩l muda lule̩ ane̩ e̩gbe̩ alumeji ohimini le̩."
20,"Taku Miriam o̩maye Aro̩n, kʼi chʼakache̩ onobule̩, mʼeicha du nʼo̩wo̩; oñ abobule̩ du kwodufu tʼo̩ ubi kpai eicha kpai ido eta. "
21,"Taku Miriam dohi ñw ma kakini: Me̩ keli do̩ Jihofa, todu edu i du ma i mʼanya kpai e̩ne̩ kʼi tanʼo ko ro̩ nyʼef ohimini."
22,"Taku Mose̩s nʼabo Israe̩l kwʼo̩la Ohimini Ekpikpa alo, oñ ma nyʼaje̩tachi Shur; ma la fʼule̩ o̩jo̩ me̩ta le aje̩tachi o̩mo̩, ma la li omiofo n."
23,"Tak e̩gba ku ma lewa Mara, ma neke ñmo̩ omi Mara le̩ n, todu elukoko kʼi lukoko; todu ku ma do̩ odu-wñ ko̩ Mara"
24,"Tak amone̩ le̩ kwokeñmini nyu Mose̩s o̩la, ma kakini, E̩wñ a ñmo̩? "
25,"Tak i raku do̩ Jihofa; oñ Jihofa dʼoliʼka ñʼo̩, tak i mʼe-le̩ du ro̩ tef omi le̩, oñ omi le̩ chane̩ erinyo̩."
26,"i kakini, Iche̩wñ kʼe̩ agbʼomu Jihofa O̩jo̩-we̩ ogbolo, kʼe̩ la ache e̩wñ kʼi tʼo̩kpakpa eju-wñ, kʼe̩ nʼeti rʼuko̩ kʼi te̩, kʼe̩ la ade o̩me̩ kʼi hi du, mak u nadʼo̩ga du kʼu du nʼabo Ijipti oji nʼuwe̩ n; todu omi che Jihofa kʼi achʼo̩ga-we̩ kpa."
27,"Taku ma lewa Elim, ugbo kʼe̩bi omi me̩gweji kpai oli ki dab e̩kpe̩ e̩te̩gwa jo̩; oñ ma ru ru jo̩ alu omi o̩mo̩."
