Verse,Text
1,"Taku Mose̩s dohi, kakini, Ama, go, ma jʼadʼo̩la-mi rʼochochi n, ma la agbʼomu-mi n, todu ma aka kakini, Jihofa tejugede ñw e̩ n. "
2,"Taku Jihofa ka ñw u kakini, E̩wñ dʼef o̩wo̩-we̩ le̩? I kakini, O̩kpa de̩. "
3,"Tak i kakini, Mʼu du ro̩ tʼane̩. Oñ i mʼu du ro̩ tʼane̩, i la mud ejo; taku Mose̩s ra bʼo̩ te̩. "
4,"Taku Jihofa ka ñwu Mose̩s kakini, Nʼo̩wo̩-we̩ dala kʼe̩ gwo̩nyʼotihi-wñ—i la nʼo̩wo̩-wñ dala oñ i gwo̩nyʼu tak i mud o̩kpa ef o̩wo̩-wñ. "
5,"Todu ku ma ki dʼo̩ rʼochochi ka ku Jihofa, O̩jo̩ e-amata-ma, owñ chʼO̩jo̩ e-Ebraham kpai O̩jo̩ e-Aise̩k kpai O̩jo̩ e-Jeko̩b, kwotejugede ñw e̩. "
6,"Jihofa laño̩ ka ñw u kakini, Fai, e̩ mʼo̩wo̩-we̩ du tunyʼagbe̩do̩-we̩. Tak i mʼo̩wo̩-wñ du tunyʼagbe̩do̩-wñ; oñ e̩gba kʼi mʼu du dufu, me̩ go, o̩wo̩-wñ chʼo̩ga ikpemute, i chefufu dabu sno. "
7,"Tak i kakini, Mʼo̩wo̩-we̩ du dabi tʼagbe̩do̩-we̩. Oñ i dʼo̩wo̩-wñ dabi tʼagbe̩do̩-wñ; tak e̩gba kʼi mʼu du kwʼagbe̩do̩-wñ dufu, go, i murida dab alu kʼaño̩la-wñ de̩. "
8,"Iche̩wñ ku ma ma jʼadʼo̩la-we̩ rʼochochi n, ku ma la anyʼujiwe ejodudu le̩ eti n, ma ado̩ ujiwe otitala rʼochochi. "
9,"I la che̩wñ kʼama ma do̩ ujiwe meji-i rʼochochi n, ku ma ma agbʼomu-we̩ n, mak e̩ mʼomi Naye̩l du kʼe̩ mʼu du dajʼane̩ e̩gbe̩; tak omi kʼe̩ kpa kwefu Naye̩l le̩ amud e̩bie̩ tʼane̩ e̩gbe̩ le̩."
10,"Ama Mose̩s ka ñwu Jihofa kakini, Aiya, Ondu, omi chʼe̩ne̩ o̩la eka n, dagba i chʼakwoubi, dagba kʼi chʼabu kʼuwe̩ ako̩la ñw adu-we̩-i; todu narubo̩ o̩la eka, ukpalu-mi la chʼewoji. "
