Verse,Text
1,"Tak onuche̩ Jihofa mute̩gu kwo Gilgal wa Bochim. Oñ i kakini, Omi je̩ ñwu me̩ kwʼIjipti dufu, oñ u mʼume̩ ko wa oj ane̩ e-kʼu go̩ ñw amata-me̩ le̩. Oñ u kakini, U ñʼakpʼalo-mi kpai ame̩ bie̩ ogbegbele̩ n. "
2,Ame̩ ki la kpʼalo kpai abo ane̩-i du n; me̩ ki fʼubo̩ iche̩bo̩-ma gulo̩. Me̩ la netirʼomu-mi n. E̩wñ chi ku me̩ che-i ta? 
3,"Todule̩ u laño̩ kakini, U ñʼane ma dufu bʼume̩ o̩gba te̩ ge̩ n; ma muda akado me̩ akolo dab ikeke, amo̩jo̩ e-ma la achʼoku ñwu me̩. "
4,"Oñ e̩gba kʼonuche̩ Jihofa kʼo̩la-i ñw amo̩ma Israe̩l chaka, tak amone̩ le̩ chi omu-ma nyʼate̩ araku. "
5,Oñ ma dʼodu o̩mo̩ ko̩ Bochim; ma la fʼiche̩bo̩ che ñwu Jihofa o̩mo̩.
6,"E̩gba ki Jo̩shua je̩ ñw amone̩ le̩ muchi, tak e̩ne̩ne̩ne̩ne̩ abo Israe̩l nyʼugbo e̩wñ ogu e-wñ, ku ma mʼane̩ le̩ gba. "
7,"Amone̩ le̩ la che e̩wñ ñwu Jihofa gbogbo mʼo̩jo̩ uku Joshua, gbogbo mʼo̩jo̩ uku abogijo ku ma kpʼojolugbo tu Jo̩shua le, owñ chʼabo ku ma fʼuko̩lo̩ inaina ku Jihofa che todu abo Israe̩l le̩ li. "
8,"Oñ o̩do̩ Jo̩shua o̩ma Nun, adu Jihofa le̩, jo̩ ogu me̩lu nyoke me̩gwa tak i leku. "
9,"Oñ ma mʼu du ji ejefu alo̩me̩ e̩wñ ogu-wñ Timnat-he̩re̩s, ane̩ uwo Ifraim, o̩wo̩ o̩pata ate̩ uwo Gaash le̩. "
10,"Uku laño̩ mʼabo o̩gba le̩ chaka ko wʼugbo amata-ma; tak abo o̩lo̩pu omune̩ ku ma ma ma Jihofa, ku ma ma la ma uko̩lo̩ kʼi che todu abo Israe̩l in, kwane̩ ubi-ma."
11,"Tak abo Israe̩l fʼe̩wñ ki bie̩ne̩ eju Jihofa che, ma la kwoche e̩wñ ñw ami-Beal; "
12,"oñ ma hiu Jihofa O̩jo̩ amata-ma kʼi ko ma kwʼane̩ Ijipti wa le̩ tinyo̩; ma kwotʼamo̩jo̩ omune̩ ubi, owñ chʼamo̩jo̩ amone̩ ku ma jo̩ lʼuma daka le̩, oñ ma kwodojikane̩ ñwu ma; ma la nyi Jihofa uwe̩do̩. "
13,"Ma hiu Jihofa tinyo̩, oñ ma kwoche amiBeal kpai Ashtaro̩t. "
14,"Abe̩le̩ uwe̩do̩ Jihofa mutajo bʼIsrae̩l ma, oñ i mʼuma ko nyʼamajakpa e̩wñ o̩wo̩, oñ abo le̩ mʼuma ko je̩; i la mʼuma kota tef o̩wo̩ ame̩ne̩bi-ma ku ma lʼuma daka le̩, oñ ma ma neke ño̩ dago o̩gba ame̩ne̩bi-ma ge̩ n. "
15,"Ugbo du ku ma le ru, o̩wo̩ Jihofa chʼagwunyʼuma, alu ki Jihofa ka kʼi go̩ ñwu ma le̩; oñ ma li o̩bata tabale."
16,"Taki Jihofa kʼamakajo̩ kwane̩, abo le̩ la fʼuma jadu kwef o̩wo̩ abo ku ma ko ma je̩ le̩. "
17,"Ma la nyʼamaka-jo̩-ma le̩ eti n; todu ma tʼajo̩ko̩ bʼamo̩jo̩ omune̩, ma la dojikane̩ ñwu ma; ma hika muna bʼo̩na kʼamata-ma le ku ma gbʼuko̩ uko̩ ki Jihofa te̩ gbo̩ le̩, te̩; ma che dab amata-ma n. "
18,"Tak e̩gba du ki Jihofa kʼamakajo̩ kwane̩ ñwu ma, e̩gbale̩ Jihofa la dʼugbo akajo̩ le̩, oñ i fʼuma jadu bʼef o̩wo̩ ame̩ne̩bi-ma te̩ gbogbo mʼo̩jo̩ uku akajo̩ le̩; todu ifi-ma ku ma fi noji abo ku ma fu ma kpa ma, ku ma la che ma o̩bata wo̩ Jihofa. "
19,"Ama e̩gba kʼakajo̩ le̩ leku, ma ño̩ mudabi tubi, oñ ma chane̩ eche e̩wñ ihie̩ne̩ tʼamata-ma le, owñ chʼamo̩jo̩ omune̩ etʼo̩ ubi, ku ma che e̩wñ ñwu ma, ku ma la dojikane̩ ñwu ma ge̩; ma we e̩wñ ugbite̩re̩-ma du eche n. "
20,"Oñ uwe̩do̩ Jihofa mutajo bʼIsrae̩l ma; oñ i kakini, Todabu kʼabo ichi-i fʼalo-mi e-kʼu ñwa ñw amata-ma daba ku ma ma la nyʼomu-mi eti n, "
21,"akwe̩gba-i u ñʼanʼabo uche̩ichi ki Jo̩shua to̩no̩ jo̩ tak i ku le̩ dufu bʼuma o̩gba te̩ ge̩ n, "
22,"todu kʼu nʼabo le̩ ñwa abo Israe̩l go̩, abe̩ku ma jʼade̩ o̩na Jihofa ku ma alule̩ o̩na le̩ alu kʼamata-ma che, abe̩ku ma aje̩ n. "
23,"Abe̩le̩ oñ Jihofa tʼabo uche̩ichi le̩ no̩, kʼi ma la ne ma dufu piopio n; i la ko ma nyu Jo̩shua o̩wo̩ n."
