Verse,Text
1,"I nyo̩ Darius eju kʼi dʼojane̩ le̩ tʼo̩wo̩ amakomonu o̩gbo̩ me̩fa, kʼama ki jʼugbo du ojane̩ le̩; "
2,"i la kʼabo me̩ta chʼame̩nuto̩gba-ma, Danie̩l la chʼoka ef abo le̩; kʼamakomonu ki choli e̩wñ du ñwu ma, kʼe̩wñ e̩bie̩ne̩ du ki che onu n. "
3,"Tak oji Danie̩l dufu tʼame̩nuto̩gba kpai amakomonu le, todabu kʼafu o̩me̩me̩le̩ dʼef uwñ; tak ibe dʼef onu kʼi adʼo̩chaka ojane̩-wñ tʼef o̩wo̩-wñ."
4,"Tak ame̩nuto̩gba le̩ kpai amako̩-monu tejane̩ e̩wñ ku ma agwuno Danie̩l ugbo e̩wñ ojane̩ le̩; ma muda neke li e̩wñ du n, ma li e̩wñ du kʼi kpabie̩ n, todabu kʼowñ chʼachubi onu; ma la li ila kpai e̩wñ e̩bie̩ne̩ du ef uwñ n. "
5,"Tak aboke̩le̩ le̩ kakini, Awa ali e̩wñ kʼa adʼu gwunyu Danie̩l-i n, chai e̩gba kʼa ali e̩wñ ugbo o̩lo̩da O̩jo̩-wñ kʼa adʼu gwunʼowñ."
6,"Tak ame̩nuto̩gba kpʼamakomonu wʼugbo onu kpʼekuku, oñ ma ka ñw u kakini, Onu Darius, oji-we̩ ki gbo kala kala. "
7,"Ame̩nuto̩gba ojane̩-i du kpai amakoji onu kpai amakomonu kpai abo̩hiala kpai amigo̩bina nyʼojuju ku ma dʼo̩da onu te̩, ku ma ki fʼu lo nyane̩ ka kʼe̩ne̩ ki bi o̩jo̩ʼka abe̩k one̩ ʼka ebi, ki ma chʼuwe̩ i biʼu n, gbogbo nyʼo̩jo̩ ogue̩gwa, O onu, ma adʼe̩ne̩ le̩ rikpolo tef ura amidu. "
8,"Fa-i onu, uwe̩ ki dʼo̩da le̩ nyane̩ ke, kʼe̩ dʼo̩wo̩ tʼo̩, ki we erida alu kʼo̩da abo Me̩dia kpai abo Pe̩rsia ki ma alu n de̩. "
9,Todule̩ onu Darius mʼo̩wo̩-wñ du tʼorubutu kpai o̩da le̩.
10,"Tak e̩gba ki Danie̩l ma ka kʼonu mʼo̩wo̩ dutʼorubutu le̩, i nyʼef unyi-wñ (ope unyi-wñ la chʼe̩bi rʼo̩wo̩ Je̩rusale̩m), tak i kʼokuku-wñ nyʼane̩ onu me̩ta o̩jo̩ du, oñ i chadua, i la fʼo̩ko̩-wñ gbabʼO̩jo̩ alu kʼi te̩tache akwoubi. "
11,"Tak abo le̩ kʼo̩la-ma jeju, oñ ma fu Danie̩l li abu kʼi abi ebi kʼi año̩ gbo̩ko̩bʼO̩jo̩-wñ. "
12,"Taku ma te̩wa oñ ma nʼo̩la aba kʼonu ne aka o̩gba onu kakini, Uwe̩ mʼo̩wo̩-we̩ du tʼaba ka kʼe̩ne̩ du ki bi o̩jo̩ abe̩k one̩ du ebi gbogbo nyʼo̩jo̩ ogue̩gwa ki ma chʼuwe̩-i i bi n, O onu, ma adʼe̩ne̩ le̩ rikpolo tef ura amidu n? Onu dohi kakini, Ochochi i che, alu kʼo̩da abo Me̩dia kpai abo Pe̩rsia ki ma jʼalu ni de̩. "
13,"Taku ma dohi o̩gba onu kakini, Danie̩l, kʼi dʼef abimo̩to̩ Juda ku ma mu wa le̩, anyʼuwe̩ eti n, kpai aba kʼe̩ dʼo̩wo̩-we̩ tʼo̩ le̩ n, i muda abi ebi-wñ onu me̩ta tak o̩jo̩ ki du."
14,"Oñ e̩gba kʼonu gbʼo̩la-i i wʼo̩ nana, i la mʼe̩do̩-wñ du te̩ Danie̩l alu kʼi ale kʼi adʼo̩ inya tane̩; oñ i dʼef akanya-wñ eche alu kʼi ale kʼi agbʼo̩ tane̩ gbogbo tak olu tunyane̩. "
15,"Tak abo le̩ kʼo̩la-ma jeju wʼugbo onu, oñ ma ka ñw onu kakini, O onu, uwe̩ ki ma ka kʼi chʼo̩lo̩da abo Me̩dia kpai abo Pe̩rsia, ka kʼaba kʼonu ne kpai o̩me̩ kʼi hi kʼi fʼu lonyane̩ arida n."
16,"Tak onu ñwañwu ma, oñ ma mu Danie̩l du wa, ma la mʼu du rikpolo tef ura amidu. Onu la ko̩la ñwu Danie̩l kakini, O̩jo̩-we̩ kʼe̩ rʼo̩ o̩ko̩ko̩lo̩, owñ le̩ agbʼe̩! "
17,"Taku ma dʼokuta wa, oñ ma mʼu du bʼalu ura ma; onu la nʼelika-wñ onugo kpʼelika abojima-wñ fʼu hiuko̩, todu kʼe̩wñ du ku ma ñwa ugbo Danie̩l le̩ ki we erida. "
18,Tak onu le tʼunyi-wñ. I la dʼe̩wñ du kadʼalu odu o̩jo̩ le̩ n; ma la kʼe̩wñ iya wʼo̩gba-wñ n: oñ eju-wñ gbe̩.
19,"Tak onu takpa takpa kwane̩ odudu, oñ i hiane̩ nyʼugbo ura amidu. "
20,"Tak e̩gba kʼi lewa me̩rʼura ugbo ki Danie̩l de̩, i nʼomu-wñ kwa anyanyi; onu ko̩la ñwu Danie̩l kakini, O Danie̩l, uwe̩, adu O̩jo̩ ki deju le̩, O̩jo̩-we̩ kʼe̩ rʼo̩ o̩ko̩ko̩lo̩ le̩ neke gbʼuwe̩ ugbo amidu le̩? "
21,"Taku Danie̩l ka ñw onu kakini, O onu, oji-we̩ ki gbo kala kala. "
