Verse,Text
1,"O̩do̩ Darius ejodudu, o̩ma Ahasuerus, ugbe̩ abo Me̩dia, ku ma du jʼonu ojane̩ abo Kaldia, "
2,"owñ chʼo̩do̩ ejodudu kʼi jʼonu, omi, Danie̩l, fʼo̩takada o̩takada go, oñ u ma aluka o̩do̩ ki Je̩rusale̩m achʼalache̩ kade, teju o̩la Jihofa kʼi wʼugbo Je̩re̩maya akache̩, owñ chʼo̩do̩ e̩te̩gwa."
3,"Tak u fʼeju-mi kparʼOndu O̩jo̩, kʼu nʼadua kpʼo̩ko̩ egbabʼo̩ manyu alu eji kpʼe̩gbanukpo kpʼelulu atene. "
4,"Oñ u rodubo̩ Jihofa, O̩jo̩-mi, oñ u gbalu kakini, Aya, Ondu, uwe̩ O̩jo̩ inaina kʼuwe̩ abailo, kʼi ade alo kpai ufe̩de̩nyo̩ ugbo abo ku ma fe̩dʼowñ ku ma la de uko̩-wñ, "
5,"a fʼe̩ dure, a fʼudu fe̩, a la fʼe̩wñ bibi che̩, a la fʼe̩re̩ ubi rʼe̩, ena a na bʼuko̩ kʼe̩ te̩ le̩ kpʼoj ajo̩ o̩kpakpa kʼe̩ kpa te̩, "
6,a la netirʼamadu-we̩ amakache̩ ku ma ko̩la ñw amonu-wa kpʼamagboji-wa kpʼamata-wa kpʼamone̩ ane̩-i chaka ef odu-we̩ n. 
7,"O Ondu, uwe̩ nʼo̩kpakpa, e-wa chʼeju anyo̩, alu ki de̩ eñini-i ñw aboke̩le̩ Juda kpʼabo ku ma dodo Je̩rusale̩m kpʼabo Israe̩l ku ma me̩rʼanane̩ kpai abo ku ma jʼo̩najiji chaka, ojane̩ ojane̩ ugbo du kʼe̩ ne ma ru tod ada-we̩ ku ma je̩. "
8,"O Ondu, eju anyo̩ chʼe-wa kpʼe-amonu-wa kpʼamagboji-wa kpʼamata-wa todabu kʼa fʼuwe̩ dure. "
9,Ondu O̩jo̩-wa nʼejumomi kpai o̩la eto̩no̩ ñw one̩; todu a fʼe̩re̩ ubi ro̩ ñw u me̩. 
10,A la netirʼomu Jihofa O̩jo̩-wa kʼa alule̩ ef uko̩-o̩la-wñ kʼi kojo̩ ñw a lugbo amadu-wñ amakache̩ n. 
11,"Ochochi, abo Israe̩l du fʼada uko̩-o̩la-we̩ je̩, ena ma na tʼo̩wo̩ʼka kʼama ki we egbʼomu-we̩ gbo̩; todule̩ oñ ma dʼama-i kpʼego̩ ku ma ko̩ tef uko̩-o̩la Mose̩s, adu O̩jo̩ le̩, danyʼuwa oji; todu awa fʼowñ dure me̩. "
12,I la fʼo̩la-wñ kʼi ka nyʼuwa kpai nyʼamakajo̩-wa ku ma kajo̩ wa lonyane̩ lugbo e̩wñ bie̩ne̩ lile kʼi du bʼuwa oji ma-i; todu i nʼugbo du o̩gane̩ efojale ku ma che e̩wñ ku ma che Je̩rusale̩m-i n. 
13,"E̩wñ bie̩ne̩-i du bʼuwa ma teju alu ku ma ko̩ ef uko̩-o̩la Mose̩s le̩; i chaka dʼabe̩le̩ a nyi Jihofa O̩jo̩-wa e̩do̩, kʼawa ki rida bʼudu kʼa fe̩ te̩, kʼa ki mʼoji ochochi-we̩ n. "
