Verse,Text
1,"O Jihofa, e̩ nadibekado e̩wñ ki lewa bʼuwa ma-i,"
2,"E̩wñ ogu-wa murida tʼabo̩wo̩ ejaduña o̩wo̩,"
3,Awa mud amo̩mayoku kpʼabo ku ma ma nʼata n;
4,"O̩ko̩ oñ adu lʼomiofo tak a ñmo̩,"
5,Abo ku ma rano wa nʼuwa o̩lo̩ te̩;
6,Awa mʼo̩wo̩ du ñw abo Ijipti
7,"Amata-wa dure, ma ño̩ de̩ ge̩ n;"
8,Amadu nʼo̩da-wa;
9,"Oji-wa a adu tinyo̩ tak a nʼuje̩wñ-wa,"
10,"Año̩-wa kpa dab aido,"
11,Ma fʼabobule̩ chʼukata Zayo̩n
12,"Ma fʼamagboji o̩wo̩ ji lo̩ko̩li,"
13,Abokolobia nʼokuta unʼe̩wñ;
14,"Abogijo ño̩ jʼalaku ge̩ n,"
15,Uyo̩ e̩do̩-wa muda me̩;
16,Ike̩be̩ muñwa bʼuwa oji te̩ me̩;
17,Tod e-le̩ oñ e̩do̩-wa muda;
18,Tod uwo Zayo̩n ki chʼofofo te̩;
19,"Uwe̩, O Jihofa, gugu ogbegbele̩;"
20,E̩wñ chi kʼuwe̩ agbenyo̩ wa o̩pioo
21,"Mʼuwa rida bʼuwe̩, O Jihofa, tak e-le̩ achʼerida wa!"
22,Abe̩k e̩ ko wa pioo de̩-i?
