Verse,Text
1,"Taku Mose̩s ka ñw abo o̩lo̩pu o̩lo̩pu ku ma dʼoji dufu ef abo Israe̩l kakini, E̩wñ ki Jihofa ñwa ñw a le̩ de̩. "
2,"E̩gba kʼe̩ne̩ke̩le̩ fʼoji da ñwu Jihofa, abe̩k i fʼO̩jo̩ kpenʼo̩la-wñ onugo mak o̩la-wñ ñʼarida ge̩ n; i ache tikpa o̩la du ki kwef alu-wñ dufu le̩. "
3,"Abe̩le̩ ge̩, e̩gba kʼonobule̩ fʼoji da ñwu Jihofa, kʼi la fʼO̩jo̩ kpenʼo̩la-wñ onugo abu kʼi dʼunyi ata-wñ o̩jo̩ igbe̩le̩-wñ, "
4,"kʼata-wñ la gbo̩ oji kʼi da kpai o̩la kʼi ne̩ fʼO̩jo̩ kpenʼo̩la-wñ onugo le̩, kʼata-wñ ma kʼabu du ñw u n; mak e̩gbale̩ oji du kʼi da adago, o̩la du kʼi ne̩ kpʼO̩jo̩ nʼonugo o̩la-wñ adago ge̩. "
5,"Ama iche̩wñ kʼata-wñ gbo̩ kʼi bʼi eju kʼi ko̩ eñeñini kʼi gbo̩ le̩, mak oji du kʼi da, abe̩k o̩la du kʼi ne̩ kpʼO̩jo̩ nʼonugo o̩la-wñ adago n; Jihofa la ato̩no̩ ñw u, todabu kʼata-wñ ko̩. "
6,"1 la che̩wñ kʼi nʼo̩ko̩ abu kʼoji le̩ dʼo̩la-wñ abe̩k o̩la fʼo̩ alu, kʼi ne̩ e-le̩ kpʼO̩jo̩ nʼonugo o̩la-wñ, "
7,"kʼo̩ko̩-wñ gbo̩ kʼi ma kʼabu du ñw u eñeñini kʼi gbo̩ le̩ n; e̩gbale̩ oji kʼi da le̩ adago, oñ o̩la kʼi ne̩ kpʼO̩jo̩ nʼonugo o̩la-wñ adago ge̩. "
8,"Ama iche̩wñ kʼo̩ko̩-wñ ko̩ eñeñini kʼi gbo̩ le̩, kʼi la fʼoji kʼi da abe̩k o̩la kʼi fʼo̩ alu kpachi, owñ chʼe-kʼi ne̩ kpʼO̩jo̩ nʼonugo o̩la-wñ le̩; taku Jihofa ato̩no̩ ñw u. "
9,"Ama oji kʼo̩yaukuo̩ko̩ abe̩k onobule̩ kʼi mudaru bʼo̩ko̩-wñ te̩ da, e-du kʼi ne̩ kpʼO̩jo̩ nʼonugo o̩la-wñ, e-le̩ adago ñw u. "
10,"I la che̩wñ kʼi dʼunyi o̩ko̩-wñ kʼi fʼoji da, abe̩k i nʼo̩la ki fʼO̩jo̩ kpe̩nʼonugo o̩la-wñ "
11,"kʼo̩ko̩-wñ la gbo̩, kʼi ma la kʼabu du ñw u, kʼi ma la ko̩ n, e̩gbale̩ oji du kʼi da le̩ adago, oñ o̩la du kʼi ne̩ kpʼO̩jo̩ nʼonugo o̩la-wñ le̩ adago. "
12,"I muda che̩wñ kʼo̩ko̩-wñ fʼu kpachi, kʼi la fʼo̩la le̩ kpalu eñeñini kʼi gbʼo̩, e̩gbale̩ e̩wñ du ki kwʼalu-wñ dufu ugbo oji kʼi da abe̩k ugbo o̩la kʼi ne̩ kpʼO̩jo̩ nʼonugo o̩la-wñ adago ge̩ n; o̩ko̩-wñ fʼu kpachi me̩, Jihofa la ato̩no̩ ñw u. "
13,"Oji du kʼi da, kpai o̩la du kʼi kpʼO̩jo̩ nʼonugo o̩la-wñ kʼi fʼu dema te̩, o̩ko̩-wñ neke fʼu lonyane̩, o̩ko̩-wñ la neke kpachi. "
14,"I muda che̩wñ kʼo̩ko̩-wñ ma kʼabu du ñw u kʼo̩jo̩ ñwa o̩jo̩ adu n, mak owñ le̩ fʼoji du kʼi da, abe̩k o̩la du kʼi ne̩ kpʼO̩jo̩ nʼo̩la-wñ lonyane̩; abu kʼi ma kʼabu du ñw u e̩ñeñini kʼi gbo̩ le̩ n, mak i fʼu lonyane̩. "
15,"Ama iche̩wñ kʼi gbʼo̩ kʼi fʼu kpachi, kʼi la fʼo̩la le̩ kpalu, e̩gbale̩ owñ ane̩ udu onobule̩-wñ."
16,"Abo e-le̩ chʼuhio̩me̩ uhio̩me̩ e-ki Jihofa ñwa ñwu Mose̩s, alu ki de̩ agbagba one̩ kpai o̩ya-wñ, kpai agbagba ata kpai o̩ma-wñ onobule̩ iko igbe̩le̩-wñ kʼi dʼunyi ata-wñ ta."
