Verse,Text
1,"Fejute̩ mi, O O̩jo̩, todu uwe̩ omi chubiyo̩."
2,"Omi ka ñw Jihofa kakini, Uwe̩ chʼOndu-mi;"
3,"I chʼe-abo kiafo̩ ku ma jʼile̩-i, ama chʼabo ku ma nʼuwohi e̩nyo̩,"
4,E̩do̩dudu abo ku ma hika tʼo̩jo̩ omune̩ ubi anana nyo̩gba; nadʼiche̩bo̩ omi-ma e-e̩bie̩ le̩ wa n
5,Jihofa chʼukpe̩ e-mi kpai e-ago-mi;
6,Ugbo kʼanya je̩ ñw mi chʼuña ube̩-do̩;
7,Nakele Jihofa kʼi aña mi o̩na;
8,Omi du Jihofa gugu o̩gba-mi pioo;
9,"Todule̩ e̩do̩-mi chʼe̩bo̩, oñ ojima-mi ayo̩;"
10,"Todu uwe̩ jʼatʼonugo-mi no̩ ñw o̩jegu n,"
11,Uwe̩ adʼo̩na iñmi ña mi;
