Verse,Text
1,"O O̩jo̩, e̩wñ chi kʼe̩ ko wa rinyo̩ o̩pioo ke?"
2,"Dibekado abʼujo̩-we̩, e-kʼuwe̩ ne̩"
3,Mʼe̩re̩-we̩ chi nyʼugbo achigodo kʼi chʼo̩pioo le̩;
4,Ame̩no̩la-we̩ fʼukwa kwa alumeji ujeju-we̩ me̩;
5,I dabe̩ne̩ kʼaboke̩le̩ mʼo̩kanyi kowa abʼujo̩ oli ma.
6,Ma la nʼutumu kpai ugbolo oli
7,Ma mʼuna du tʼuña-we̩ kiafo̩ me̩;
8,"Ma ka ef e̩do̩-ma kakini, A ki fʼuma kpo̩fo̩ hioko;"
9,A li ujiwe-wa n;
10,"O O̩jo̩, gbogbo wʼe̩gba oñ e̩ne̩ ki achʼuwa o̩pe̩cha le̩ ab ina kade?"
11,"E̩wñ chi kʼe̩ fʼo̩wo̩-we̩ wʼubi,"
12,"O̩jo̩ muda chʼonu-mi kwʼigbele-gbe̩le,"
13,Lugbo ukpahiu-we̩ e̩ fʼohimini abadi kpe̩ru ojoji;
14,Uwe̩ fʼoji oji Lifayatan
15,Uwe̩ fʼe̩biomi kpai aji kpana;
16,"O̩ro̩ka uwe̩ ne̩, uwe̩ ño̩ ne̩ odu ge̩;"
17,Uwe̩ fʼalo̩me̩ alo̩me̩ ane̩-ile̩-i du ñwate̩;
18,"O Jihofa, e̩ nare̩wa kakini, E̩nebi le̩ fʼe̩ bina me̩,"
19,"O, e̩ ki mʼike̩de̩ akpe̩re̩-we̩ du ñw ame̩la oko n;"
20,E̩ nabumo̩ ñw alo le̩;
21,"O, e̩ ki je̩ ñw abo ku ma fʼuma te̩-mane̩ le̩ ku ma dabiwa kpai anyo̩ n;"
22,"O O̩jo̩, kwane̩, kʼuwe̩ onugo ki kʼo̩la-we̩;"
23,"E̩ ki gbenyo̩ omuko̩la ame̩no̩la-we̩ n,"
