Verse,Text
1,"Omi chʼo̩dodo Sharo̩n,"
2,"Dabe̩ne̩ kʼododo lili ki jʼef ikeke,"
3,"Alu kʼoli ape̩l de̩ ef oli efoko,"
4,"I mʼumi du wʼunyi omi achiwebe̩te̩ma,"
5,"Dʼe̩gbe̩ achiwebe̩te̩ma chʼabune mi,"
6,"Oji-mi nʼo̩wo̩-wñ awohi,"
7,"Ame̩ amo̩ma onobule̩ Je̩rusale̩m,"
8,Omuko̩la e̩ne̩ kʼu nache̩do̩-wñ de̩!
9,"E̩ne̩ kʼu nache̩do̩-wñ le̩ dab egbi,"
10,E̩ne̩ kʼu nache̩do̩-wñ le̩ ko̩la oñ i ka ñw umi kakini:
11,"todu go, afu o̩we̩ takpa me̩,"
12,"Ododo kwodufu ane̩-ile̩,"
13,"E̩ro oli o̩gbaikolo akpa me̩,"
14,"O ikede-mi, kʼe̩ dʼef akpolokuta, ugbo umaja o̩gba okuta lile,"
15,"Me̩ fʼamakajuwe̩ mu ñw a,"
16,"Omi nʼe̩ne̩ kʼu nache̩do̩-wñ le̩, owñ la ne̩ mi ge̩,"
17,Gbogbo tak afu chane̩ efe̩rʼo̩la
