Verse,Text
1,"Abu ki Jihofa ña mi de̩: e̩ la go, agba e̩roli o̩lo̩ji te̩. "
2,"Oñ I kakini, Emo̩s, e̩wñ e̩ li? Oñ u kakini, E̩roli o̩lo̩ji ki che̩ko̩ agba. Taku Jihofa ka ñw mi kakini,"
3,Eli unyi O̩jo̩ la amud inaku eda o̩jo̩ le̩.
4,"Me̩ ki gbʼe-kide̩, ame̩, kʼe̩do̩ ache me̩ fafafa ku me̩ dʼe̩nale mi,"
5,"ku me̩ kakini, E̩gba oñ ochu etito̩ alale"
6,todu kʼa ki nʼajifa la ame̩nubie̩
7,"Jihofa fʼedufu kʼoji Jeko̩b dufu le̩ go̩, kakini,"
8,Ane̩ le̩ aga tod e̩wñ-i n?
9,"Oñ i awatu iko kʼa ka-i, Ondu Jihofa aka-i,"
10,"Tak u naje̩ ñw uje̩wñ uyo̩-me̩ ki rida aido̩ eda,"
11,"Me̩ go, iko-wñ awa, Ondu Jihofa aka-i,"
12,"Tak ama atale akwʼo̩la ohimini abadi nyʼohimini abadi omune̩,"
13,"O̩jo̩ kʼa ka-i, amo̩ma igbe̩le̩ ku ma fe̩rʼeju"
14,"Ama ku ma go̩ adure Samaria,"
