Verse,Text
1,"O̩jo̩ le̩ onu Ahasurus mʼunyi Heman, e̩ne̩ ki ako̩bʼamaJu le̩ ko ñw E̩sta o̩ya onu. Taki Mo̩rde̩kai lewa o̩gba onu, todu E̩sta mʼalu kʼagbagba-ma de̩ duka me̩; "
2,"tak onu mʼelika o̩wo̩-wñ gwo̩, owñ chʼe-kʼi gba bʼo̩wo̩ Heman te̩ oñ i mʼu du ñwu Mo̩rde̩kai. Tak E̩sta mʼo̩da unyi Heman le̩ du ñwu Mo̩rde̩kai."
3,"Tak E̩sta ño̩ lewa bane̩ma ako̩la o̩gba onu ge̩, oñ i nʼomi aku agbo̩ko̩bʼo̩ kʼi fʼe̩bie̩ne̩ ku Heman e̩ne̩ Egag le̩ che kpachi, kpai eñwa kʼi ñwa nyʼamaJu le̩. "
4,"Tak onu fʼokute̩ o̩jamalia-wñ nadala ñw E̩sta, abe̩le̩ E̩sta kwane̩ oñ i kwodago o̩gba onu. "
5,"Tak i kakini, Iche̩wñ ki rʼonu e̩do̩, kʼonu la li mi eju, kʼe̩wñ le̩ la chʼo̩kpakpa eju onu, kʼomi la nyo̩ owñ eju, je̩ ñwu ma kʼo̩takada ku ma dʼo̩takada ku Heman o̩ma Hamedata, e̩ne̩ Egag le̩, ñwʼibe e-wñ nyʼu le̩ dabiwa, owñ chʼe-kʼi ko̩ kʼi fʼamaJu chaka ku ma jʼojane̩ ojane̩ onu chile̩che̩ le̩. "
6,Todu abʼu nale kʼu na-je̩do̩ ugbo e̩wñ e̩bie̩ne̩ ki awa abʼabo-mi ma-i? Ab u nale kʼu naje̩do̩ ku ma fʼamefu-mi chile̩che̩ rinyo̩? 
7,"Tak onu Ahasurus ka ñw E̩sta, o̩ya onu kpai Mo̩rde̩kai e̩ne̩Ju le̩ kakini, Go, u mʼunyi Heman ko ñwu E̩sta me̩, ma la mʼowñ onugo du lo̩ oj oku le̩, todabu kʼi nʼo̩wo̩ dala akobʼamaJu. "
8,"Ame̩ onugo ki fʼo̩takada ko̩ tod amaJu ef odu onu alu ki nyʼume̩ eju, ku me̩ nʼelika onu fʼu hiuko̩; todu orubutu ku ma ko ef odu onu kʼama la nʼelika onu fʼu hiuko̩ e̩ne̩ du neke rida n."
9,"Taku ma fʼamako̩takada onu do̩ wa iko le̩, owñ chʼochu e̩ke̩ta, ki ko̩ Sifan, o̩jo̩ ogu nyoke me̩ta-wñ; oñ ma fʼu ko̩ rʼe̩ne̩ du teju alu ku Mo̩rde̩kai ñwa ñw amaJu kpai amakomomu kpai amigobina kpai amagboji ojane̩ ojane̩, ku ma jo̩ akwʼIndia gbogbo wʼItiopia, owñ chʼojane̩ ojane̩ o̩gbo̩ me̩fa nyoke mebie, rʼojane̩ ojane̩ okoke alu kʼolubutu-wñ de̩, kpai amone̩ du alu kʼichi ichi-ma de̩, kpai amaJu alu kʼolubutu-ma de̩ kpai alu kʼichi-ma de̩ ge̩. "
10,"Oñ i fʼu ko̩ ef odu onu Ahasurus, tak i nʼelika onu fʼu hiuko̩, i la mʼu ko kpuche̩ lʼo̩wo̩ abo ku ma nʼanya, ku ma tanʼame̩la ki afule o̩me̩me̩le̩, ku ma ne̩ ache uko̩lo̩ onu, e-kʼo̩ko anya onu kpʼiye-ma. "
11,"Ef o̩takada le̩ onu dʼo̩da ñw amaJu ku ma jʼewo ewo chaka ku ma kʼo̩la-ma jeju wʼugbo kate, ku ma jadu oji-ma, ku ma kpʼe̩wñ bie̩, ku ma kpʼone̩, ku ma la che kʼukpahiu amone̩ kpai e-ojane̩ ki akobʼuma, tʼamo̩ma egini, tʼabobule̩-ma, kʼabo le̩ ki lenyo̩ bʼane̩ te̩, ku ma mʼane̩-ma ko je̩. "
12,"I bʼo̩jo̩ kate ñwu ma ojane̩ ojane̩ onu Ahasurus chaka, owñ chʼo̩jo̩ e̩ke̩gwe̩ta ochu e̩ke̩gweji, ki chʼochu Adar. "
13,"Todu kʼo̩la le̩ ki kpatuka rʼojane̩ okoke du, ma kʼo̩takada alu kʼolubutu le̩ de̩ kpe̩rʼamone̩ du, kʼi dʼo̩da ñw amaJu ku ma ño̩ fʼo̩la-ma mu jo̩ anede o̩jo̩ le̩, ku ma fʼache̩ o̩la-ma na ugbo ame̩nebi-ma. "
14,"Abe̩le̩ abo ku ma tanʼanya ki afule ku ma dʼu chʼuko̩lo̩ onu le̩ ledufu; o̩da kʼonu dute̩ le̩ nʼuma aju i la kʼuma e̩che̩; ma dʼo̩la le̩ dufu efu Shushan, unyi onu."
15,"Taku Mo̩rde̩kai kwʼo̩gba onu ledufu, otogbo onu odufa kpai efufu dʼo̩la-wñ, ike̩be̩ o̩jamalia lile dʼoji-wñ, kpai afe̩ line̩n ku ma hi reju kpai odufa ekpikpa. Oñ abewo Shushan kwocho̩ga, ma la ayo̩. "
16,Tak amaJu fʼugane̩ kpai e̩do̩ e̩bo̩ kpai uyo̩ kpai oji-ma ne̩. 
17,"Oñ ojane̩ ojane̩ du kpai ewo du ugbo du kʼeñwa kʼonu ñwa kpai o̩la-wñ le̩ lewa te̩, amaJu nʼe̩do̩ e̩bo̩ kpai uyo̩ kpai uje̩wñ uyo̩ kpai o̩jo̩ e̩nyo̩. Tak amone̩ wewe kwef abane̩ le̩ murida tef amaJu, todu ailo amaJu kwobʼuma ma."
