Verse,Text
1,"Oñ Pita kpai Jo̩n jʼate̩gu nyʼunyi O̩jo̩ e̩gba auwa adua, owñ chʼauwa e̩ke̩la. "
2,"Oñ ma nʼe̩ne̩ʼka kʼi chʼe̩no̩lo̩ kwefu wʼile̩ alale, ku ma dʼu dachi unyi O̩jo̩ ugbo alugbo̩na ku ma do̩ kʼAlifia o̩jo̩ñwa o̩jo̩ñwa kʼi bi abo ku ma nyʼef unyi O̩jo̩ ebi ejumomi. "
3,"Abu kʼe̩ne̩ le̩ li ki Pita kpai Jo̩n ache ku ma nyʼef unyi O̩jo̩, i bi e̩wñ ejumomi. "
4,"Oñ Pita kejurʼu manyu Jo̩n, i kakini, Go wa. "
5,I la dibete̩ ma abu kʼi neju ka kʼi agba e̩wñʼka ugbo ma. 
6,"Ama Pita kakini, I chʼajifa kpai o̩jamalia i de̩ ñwu mi n; ama e̩wñ kʼu ne̩ e-le̩ nadu ñw e̩. Ef odu Jisus Kraisti, e̩ne̩ Nazare̩t le̩, lule̩ ke. "
7,"Tak abu kʼi gwo̩nyu wñ o̩wo̩ awo̩to̩ i mʼu du kwane̩: oñ e̩re̩re̩ le̩, e̩re̩-wñ kpai iko e̩re̩-wñ fʼukpahiu ne̩. "
8,"Tak i muro̩ dago, oñ i nalule̩; tak owñ kpaʼama mugudu tef unyi O̩jo̩, i nʼule̩ ale, i naroko, i nañwulo̩ O̩jo̩. "
9,Amone̩ le̩ du la li owñ abu kʼi alule̩ kʼi añwulo̩ O̩jo̩. 
10,"Oñ ma mejumʼowñ, kʼowñ chʼe̩ne̩ ki te̩tagugu alaku Alifia e-unyi O̩jo̩ le̩ tod e̩wñ ejumomi; tak e̩gahi kpʼawuwu fʼuma mu noj e̩wñ ki wa che o̩la-wñ."
11,"Oñ abu kʼi nagwo̩nyu Pita kpai Jo̩n, amone̩ le̩ chaka fule nyʼugbo ma ef atakpa ku ma do̩ kʼe-So̩lo̩mo̩n le̩, e̩gahi fʼuma mu tabale."
12,"Oñ abu ki Pita li i dʼohi ñw amone̩ le̩ kakini, Aboke̩le̩ Israe̩l, e̩wñ chi ku me̩ yaye e̩wñ-i? e̩wñ chi ku me̩ la mʼeju-me̩ korʼawa dabe̩ne̩ ki chʼukpahiu e-wa, abe̩k e̩do̩ kʼawa kparʼO̩jo̩ oñ a ne̩ che kʼowñ alule̩-i? "
13,"O̩jo̩ Ebraham kpai Aise̩k kpai Jeko̩b, O̩jo̩ e-amata-wa le̩, mʼojima du ñw imo̩to̩-wñ Jisus kʼame̩ mʼu du ñw ma mu, kʼame̩ laño̩ fʼaire̩-wñ re̩ o̩gba Pailat abu kʼi fuñwa ka kʼi atʼowñ no̩ tane̩. "
14,"Ame̩ muda fʼaire̩ E̩ne̩ Kiafo̩ kpʼE̩no̩kpakpa le̩ re̩, oñ me̩ bi e̩ne̩ke̩le̩ ki chʼakpone̩ ku ma du chʼume̩ ele. "
15,Me̩ la fʼUchane̩ e-iñmi kpa; owñ le̩ O̩jo̩ mʼu du kwane̩ kwef abo ki ku; awa la chʼame̩-nibenu e-le̩. 
16,"Oñ noj e̩do̩ ekonʼodu-wñ, odu-wñ le̩ mʼugbiti du ñw e̩ne̩ ku me̩ li ku me̩ ño̩ ma-i. E̩do̩ eko̩no ki do̩mo̩ lef owñ le̩ la du ñw e̩ne̩-i ki mufu kpa eju-me̩ chaka."
17,"Amo̩maye-mi, u la chema fai ka kʼugbo ema kʼame̩ ma ma n, oñ me̩ che le̩, abe̩le̩ amagboji-me̩ ño̩ che duu. "
18,"Ama e̩wñ kʼO̩jo̩ kʼo̩la-wñ tane̩ lef alu amakache̩ du ka ki Kraisti-wñ a li uwa-wñ, abe̩le i la je̩ ñw u che̩. "
19,"Todule̩ me̩ naribeda, me̩ ki la rida to̩ kʼama ki fʼadure-me̩ kpalu, todu kʼiko iko o̩la eruko ki kwʼo̩gba Ondu wa: "
20,"kʼi laño̩ fi Kraisti kʼi dute̩ ñw me̩ o̩gbo̩gba le̩ kpuche̩ wa, owñ che Jisus: "
21,"e-kʼefojale agbʼo̩ tila gbogbo wʼiko iko ku ma kʼe̩wñ du dabi jʼiko iko, owñ chʼe-kʼO̩jo̩ kʼo̩la-wñ lef alu amakache̩-wñ kiafo̩ kwʼigbegbele. "
22,"Ochochi, Mose̩s kakini, Ondu O̩jo̩ adʼakache̩ kʼi dab omi kwane̩ kwef amo̩maye-me̩ ñwu me̩; owñ le̩ me̩ anetiru ugbo e̩wñ du ki che kʼi ako̩la ñwu me̩. "
23,"I la ade̩ ka kʼonugo one̩ du ki ma anetiru akache̩ kide̩ n, e̩ne̩ le̩ achile̩che̩ bʼef amone̩-i te̩. "
24,"Ochochi, amakache̩ du akwe̩gba Samiue̩l kpai abo ku ma ro̩nʼo, aluka one̩ ki ko̩la du laño̩ nʼo̩la adiko o̩jo̩ kide̩ aka. "
25,"Ame̩ chʼamo̩ma amakache̩ kpai alo kʼO̩jo̩ kpe̩ kpai amata-me̩ kʼi ka ñw Ebraham kakini, Oñ ef ugbe̩-we̩ o̩lo̩pu o̩lo̩pu abʼile̩ du ali e̩nyo̩. "
26,Abu kʼO̩jo̩ mʼimo̩to̩-wñ le̩ du daji kwane̩ i fʼowñ kpuche̩ rʼume̩ ejodudu kʼi de̩nyo̩ ñwu me̩ ef erida kʼi arʼe̩ne̩ne̩ne̩ne̩-me̩ da bʼe̩wñ bibi-me̩ te̩.
