Verse,Text
1,"Oñ e̩gba kʼabo ku ma che Juda kpai Be̩njamin o̩pe̩cha gbo̩ ka kʼamo̩ma amu le̩ jo̩ akʼunyi ñwu Jihofa, O̩jo̩ Israe̩l, "
2,"ma te̩ me̩ru Zerubabe̩l, kpai amata ku ma dʼoji dufu le̩, oñ ma ka ñwu ma kakini, A abʼume̩ kʼunyi; todu a tene O̩jo̩-me̩ alu ku me̩ tene owñ; a te̩tʼakpa e̩wñ e̩bie̩ ñw u akwʼiko E̩zar-hadon, onu Asiria, e-ki ko wa wʼemi le̩. "
3,"Ama Ze̩rubabe̩l kpai Je̩shua kpai abo ki bo̩ ef amata ku ma dʼoji dufu Israe̩l, ka ñwu ma kakini, O̩wo̩-me̩ dʼef uko̩lo̩ unyi eko̩ ñw O̩jo̩-wa kpai awa n; awa o̩to̩to̩la-wa kate akʼo̩ ñwu Jihofa, O̩jo̩ e-Israe̩l, alu ki Sairo̩s onu Pe̩rsia ñwa ñwu wa."
4,"Tak amone̩ ane̩ le̩ fʼamone̩ Juda le̩ o̩wo̩ bulo̩, ma chane̩ echʼuma e̩do̩ ñwañwala tod unyi ku ma ko̩ le̩. "
5,"Taku ma fʼo̩gu che ñw amulo̩la tʼuma o̩la, ku ma kpʼo̩na nyʼuma o̩jo̩ du ki Sairo̩s onu Pe̩rsia deju, gbogbo taku Darius wa jʼonu Pe̩rsia."
6,"Tak iko onu Ahasue̩rus, abu kʼi jʼonu ababa, ma fʼo̩takada ko̩ agwajo̩ nʼabo ku ma dodo Juda kpai Je̩rusale̩m."
7,"Oñ ef o̩kpanachi Artaze̩rksis, Bishlam kpai Mitre̩dat kpai Tabee̩l kpai ame̩numana-ma ki bo̩, fʼo̩takada ko̩ ru Artaze̩rksis, onu Pe̩rsia; ma fʼo̩takada le̩ ko̩ alu kʼabo Siria ako̩ kpai ichi Siria ge̩. "
8,"Rehum, kʼi chʼagboji amatohio̩la, kpai Shimshai, ako̩takada, fʼo̩takada ko̩ rʼonu Artaze̩rksis nyu abo Je̩rusale̩m abe̩le̩— "
9,"Taku Rehum, agboji amatohio̩la, kpai Shimshai, ako̩takada le̩, kpai ame̩numana-ma ki bo̩, owñ chʼabo Daine kpʼabo Afarsat kpʼabo Tarpe̩l kpʼabo Afar kpʼabo Arkefai kpʼabo Babilo̩n kpʼabo Shushan kpʼabo Deha kpʼabo Elam "
10,"kpʼabo uche̩ichi kibo̩ e-kʼe̩ne̩lile kpai e̩nojima ku ma do̩ ko̩ Osnappar ko daba wa gugu ef ewo Samaria, kpʼojane̩ kibo̩ ejudaba ohimini le̩, kpʼe-ki bo̩. "
11,"Alu ku ma ko̩ nyʼef o̩takada ku ma du kpuche̩ rʼArtaze̩rksis kʼi chʼonu le̩ de̩, kakini, Amadu-we̩, kʼa chʼabo udaba ohimini, abe̩le̩ abe̩le̩. "
12,"Onu ki ma kakini, amaju ku ma kwugbo we̩ wa le̩, ma lewa ugbo wa Je̩rusale̩m; ma jʼemi ane ewo ugbite̩re̩ ki bie̩ne̩ le̩, ma la fʼaku-wñ ne kpa me̩, ma la fʼe̩re̩ ane̩ e̩re̩ ane̩-wñ ñwo̩che lale me̩. "
13,"Onu ki nama fai kakini, Iche̩wñ ku ma fʼewo-i ne, ku ma fʼaku-wñ ne kpa, ma jʼadʼo̩ko̩ are̩ kpai o̩ko̩ ane̩ kpai o̩ko̩ ku ma bu ñwu ma wa n; ukpoji-wñ abie̩ne̩ ñw amonu. "
