Verse,Text
1,"Po̩l, e̩namu e-Kraist Jisus, kpai Timoti o̩maye-wa, tʼugbo Filimo̩n, e̩nufe̩do̩-wa kʼi abʼawa chʼuko̩lo̩, "
2,"kpai Afia, o̩maye-wa e-onobule̩, kpai Archipus kʼowñ kpai awa chʼiso̩ja, kpai ujeju abudo̩ Ondu ki dʼef unyi-we̩:"
3,"Ufede̩nyo̩ ki dʼugbo me̩ kpai ure̩do̩, kwugbo O̩jo̩ Ata-wa kpai Ondu Jisus Kraist."
4,"Nagwa O̩jo̩-mi ugwa e̩gbadu, nachʼurewa-we̩ ef adua-mi, "
5,"abu kʼu gbʼinabali ufe̩do̩-we̩ kpai e̩do̩-ekono kʼe̩ ne̩ ugbo Ondu Jisus kpai ugbo abo kiafo̩ chaka, "
6,"todu kʼuta e̩do̩-ekono kʼe̩ ta ki nachuko̩lo̩ ef e̩wñ ki nyo̩ du ki dʼefu wa ema, todu Kraist. "
7,"Todu u nʼuyo̩ kpʼugbe̩do̩ nana noji ufe̩do̩-we̩, todabu kʼe̩do̩ abo kiafo̩ te̩taruko lef uwe̩, o̩maye-mi."
8,"Todule̩, dagba u chaka nʼeju e̩gbo du efu Kraist kʼu ñwa ñw e̩, e-ki chʼeju-wñ, "
9,"ama todu ufe̩do̩ e̩dugbe̩do̩ nadʼugbe̩do̩ ñw e̩, (abu kʼu de̩ alu ku Po̩l ogijo-i de̩, fa-i u laño̩ chʼe̩namu e-Kraist Jisus ge̩), "
10,"nagbo̩ko̩bʼe̩ tod o̩ma-mi kʼu bi ef amu-mi, owñ chʼOne̩simus. "
11,"I la chʼeku ñw e̩ e̩gbaʼka le̩ n, i muda chʼeku ñw uwe̩ kpʼomi abajo̩-i. "
12,"Nakpʼowñ, kʼi chʼe̩do̩-mi onugo onugo dabi wʼugbo we̩-i. "
13,"Omi neku egwo̩nyʼu tʼugbo mi onugo, todu kʼi che e̩wñ ñwu mi tod uwe̩ ef amu e-Uche̩nyo̩-i; "
14,"i muda dʼumi e̩do̩ kʼu che e̩wñ du e̩gba kʼe̩ ma ma ni n; todu kʼe̩nyo̩-we̩ ki we edabe̩ne̩ kʼe̩wñ otila, chai e̩wñ kʼe̩ gʼe̩do̩la-we̩ che. "
15,"Todu ukani i chutodu kide̩ oñ ame̩ daru iko pe̩e̩ le̩, owñ chʼutodu kʼuwe̩ kʼi fʼowñ ne̩ ogbegbele̩; "
16,"i ño̩ dab adu ge̩ n, i la tʼadu le̩, o̩maye ufe̩do̩ i che, ugbo e-mi i toji, e̩ muda go alu kʼi tule ugbo e-we̩ ge̩, tʼe-ef o̩re̩la, tʼe-ef Ondu. "
17,"Todule̩ iche̩wñ kʼe̩ je̩ kʼu chʼe̩numana-we̩, e̩ mʼowñ gba dabe̩ne̩ kʼomi. "
18,"I la che̩wñ ki nʼuji kʼi chʼe̩ abe̩k i nʼuwe̩ o̩me̩ʼka, fʼe-le̩ lo tef o̩me̩ e-mi kʼu jʼe̩. "
19,"Omi, Po̩l, nʼo̩wo̩ e-mi kʼorubutu-i, nachʼudu-wñ; todu kʼu we eka ñw e̩ kakini, O̩me̩ kʼe̩ je̩ mi la chʼo̩la-we̩ onugo. "
20,"I-i, o̩maye, je̩ ñwu mi nʼabune̩ ugbo we̩ ef Ondu; fʼe̩do̩-mi ruko efu Kraist."
21,"Abu kʼe̩do̩-mi mugba ka kʼe̩ gbʼo̩la-mi gbo̩, oñ nako̩takada rʼuwe̩-i; u chema ka kʼe̩ ñʼache tʼalu kʼu ka-i le̩ ge̩. "
22,"Oñ amanyu e-le̩ du e̩ nafʼuru ñwo̩che tane̩ ñwu mi ge̩: todu u kibeno kakini, Lef adua-me̩ ma adʼumi chʼame̩ ele ufe̩de̩nyo̩."
23,"Ipafras, kʼowñ kpai omi chʼe̩namu efu Kraist Jisus agwʼe̩, "
24,"kpai Mark kpʼAristarkus kpai Dimas kpai Luku, amabʼumi chuko̩lo̩ le̩."
25,Ufe̩de̩nyo̩ Ondu-wa Jisus Kraist ki dʼugbo afu-me̩.
