Verse,Text
1,"Omi adago oj ide-mi,"
2,Taku Jihofa dohi ñw mi kakini:
3,Todu ane̩ kʼe̩ go le̩ chʼutod iko-wñ ki che̩date̩ ta;
4,"Go, onugo-wñ chʼe̩wu te̩, i chʼo̩kpakpa ef uwñ n,"
5,"Anoji e-le̩ ge̩, omi achiwebe̩te̩ma adʼo̩wo̩ tʼef ukpo aro̩kpo̩; e̩ne̩ ki ake ado̩mo̩ gbane̩ n."
6,"Abo-i du akpʼita rʼo̩ oji n? ku ma achʼo uke̩ kakini,"
7,Ame̩no̩me̩-we̩ akwane̩ tʼuwe̩ o̩la achigili n?
8,"Todabu kʼuwe̩ kʼane̩ abo uche̩ichi wewe,"
9,"Atogwo ki chʼe-e̩ne̩ kʼi ajʼile e̩bie̩ne̩ ñw abunyi-wñ,"
10,Uwe̩ fʼe̩wñ anyo̩ ñwa nyʼunyi-we̩
11,"Todu okuta kʼi dʼo̩la o̩do̩ akwa,"
12,"Atogwo chʼe-e̩ne̩ kʼi nʼe̩bie̩ akʼunyi,"
13,"Go, i che Jihofa ki nʼe̩wñ du"
14,"Todu ile̩-i ako̩ ñw ojima Jihofa ema,"
15,Atogwo chʼe-e̩ne̩ kʼi adʼe̩wñ ñw ekeji-wñ ñmo̩
16,Anyo̩ akʼuwe̩ efu koji ojima.
17,Todu e̩wñ afuma ku ma che Le̩bano̩n abʼe̩ ma;
18,Ugbo chʼile ojibo ku ma gbe̩
19,"Atogwo ki chʼe-e̩ne̩ ki aka ñw oli kakini, Mʼolu ji;"
20,Jihofa muda dʼef unyi-wñ kiafo̩;
