Verse,Text
1,"Ochu e̩kebie-wñ, o̩jo̩ ogu nyokeʼka ochu le̩, o̩la Jihofa lʼugbo Hagai akache̩ le̩ wa kakini, "
2,"E̩ nako̩la ñwu Zerubabe̩l o̩ma Shealtie̩l, igo̩bina Juda, kpai Jo̩shua o̩ma Jehozadak, agboji amatama, kpai abubo̩ amone̩ le̩ kakini, "
3,E̩ne̩ bo̩ ef ume̩ kʼi li unyi-i iko ojima-wñ o̩gbo̩gba le̩? Ab i de̩ eju-me̩ fa-i? I dabe̩ne̩ kʼibe̩te̩ ofofo eju-me̩ n? 
4,"I chaka dʼabe̩le̩, fʼeju gbiti, uwe̩ Zerubabe̩l, Jihofa ka-i; fʼeju gbiti, uwe̩ Jo̩shua o̩ma Jehozadak, agboji amatama; me̩ fʼeju gbiti, ame̩ amone̩ ane̩-i du, Jihofa ka-i, ku me̩ chuko̩lo̩: todu omi dʼugbo me̩, Jihofa ki nʼe̩wñ du ka-i, "
5,"owñ chʼo̩la kʼu kpalo kpʼame̩ e̩gba kʼame̩ kwʼIjipti wa le̩, abe̩le̩ Afu-mi dʼef ume̩; me̩ ki railo n. "
6,"Todu abu ki Jihofa ki nʼe̩wñ du ka de̩ kakini, Iko-wñ bo̩ ree, kʼu naño̩ fʼefojale kpai ane̩-ile̩ kpai ohimini kpai ane̩ e̩gbe̩ miejo onuʼka ta; "
7,"oñ nami abo uche̩ichi du ejo tak e̩wñ ube̩do̩ e-abo uche̩ichi du awa; tak omi akʼojima jʼef unyi-i e̩ko̩, Jihofa ki nʼe̩wñ du ka-i. "
8,"Ajifa chʼe-mi, o̩jamalia chʼe-mi, Jihofa ki nʼe̩wñ du ka-i. "
9,"Ojima unyi-i e-otitala anana tʼe-o̩gbo̩gba le, Jihofa ki nʼe̩wñ du ka-i; uña kide̩ oñ nadʼure̩do̩ te̩, Jihofa ki nʼe̩wñ du ka-i."
10,"O̩jo̩ ogu nyoke me̩le̩ ochu e̩ke̩la, o̩do̩ ekeji ki Darius jʼonu, o̩la Jihofa lʼugbo Hagai akache̩ le̩ wa, kakini, "
11,"Abu ki Jihofa ki nʼe̩wñ du ka de̩ kakini, Tʼamatama ene ugbo e̩wñ o̩lo̩da ta, kakini, "
12,"Iche̩wñ kʼone̩ nʼe̩la kiafo̩ nyʼe̩re̩ otogbo-wñ kʼe̩re̩ otogbo-wñ kwokadʼakala, abe̩k o̩je̩, abe̩k omi achiwebe̩te̩ma, abe̩k ekpo, abe̩k uje̩wñ du, e̩wñ kʼotogbo-wñ kado le̩ afo̩? Tak amatama dohi kakini, O̩da. "
13,"Taku Hagai kakini, Iche̩wñ kʼe̩ne̩kʼo̩la-wñ daji lugbo oku e̩wñ kwokado e-du ef e̩wñ-i, e̩wñ le̩ adaji? Tak amatama dohi kakini, I adaji. "
14,"Taku Hagai dohi kakini, Abe̩le̩ amone̩-i de̩, oñ abe̩le̩ abo ichi-i de̩ eju-mi-i, Jihofa ka-i; abe̩le̩ uko̩lo̩ du kʼo̩wo̩-ma che la de̩ ge̩; oñ e̩wñ du ku ma ko wa o̩mo̩ chʼe̩daji. "
15,"O̩ko̩ nagba bʼume̩-i kakini, Me̩ fulo akwʼejubi wʼeñini-i, o̩gba taku ma kʼokuta nʼe̩do̩ okuta ef unyi Jihofa-i. "
16,"Agbagba le̩ du e̩gba kʼone̩ lewa ugbo ku ma kʼoj adu ogu jo̩, i mud e̩gwa; e̩gba kʼone̩ lewa añmo̩ omi achiwebe̩te̩ma kʼi che otube̩ ooje, i mud ogu kate. "
17,"U ne̩ ikpetubi kpai ekpebu kpai okuto̩mo̩jo̩cha kpa me̩ ugbo uko̩lo̩ du kʼo̩wo̩-me̩ che, me̩ muda dabi wa ba mi n, Jihofa ka-i. "
18,"Me̩ fʼibe akwʼejubi wʼeñini kide̩ owñ chʼakwo o̩jo̩ ogu nyoke me̩le̩ ochu e̩ke̩la le̩ lo, owñ chʼakwʼo̩jo̩ ku ma dʼe̩re̩ unyi Jihofa nyane̩, me̩ fʼibe e-le̩ lo. "
19,"Ulu e̩wñ jʼef aka ta? Ochochi, ikeli achiwebe̩te̩ma kpai oli o̩gbaikolo kpai po̩me̩grane̩t kpai oli o̩lif la ro ta n; akwʼeñini ki de̩ nadʼe̩nyo̩ ñwu me̩."
20,"Tak o̩la Jihofa ño̩ wʼugbo Hagai onu keji o̩jo̩ ogu nyoke me̩le̩ ochu le̩, kakini, "
21,"E̩ ka ñwu Zerubabe̩l, igo̩bina Juda kakini, Nami efojale kpai ile̩ ejo; "
22,"u la agu ede ojane̩ ojane̩ amonu lo̩; u ñʼakpʼukpahiu ojane̩ ojane̩ abo uche̩ichi bie̩; u la akʼo̩ko̩ ogu kpai abo ku ma jʼef uwñ dafo; tak amanya kpʼabo ku ma tanʼo awane̩, o̩kwo̩chageli o̩maye-wñ adʼe̩ne̩ne̩ne̩ne̩ wane̩. "
23,"Jihofa ki nʼe̩wñ du kakini, O̩jo̩ kʼu naka-i, omi amʼuwe̩ Zerubabe̩l adu-mi, kʼe̩ chʼo̩ma Shealtie̩l le̩ du kʼu dʼe̩ che dabe̩ne̩ kʼelika uhiuko̩, Jihofa ka-i: todu uwe̩ omi chi, Jihofa ki nʼe̩wñ du ka-i."
