Verse,Text
1,"O̩la Jihofa ki wʼugbo Hosiya, o̩ma Been, iko Uzaya kpai Jotan kpai Ehaz kpai He̩ze̩kaya, amonu Juda, kpai iko Je̩roboam, o̩ma Joash, onu Israe̩l de̩."
2,"E̩gba ku Jihofa ko̩la ñw Hosiya ejodudu, Jihofa ka ñw Hosiya kakini, Lo, kʼe̩ mʼajo̩ko̩ʼka du chʼo̩ya, kʼe̩ nʼamo̩ma ajo̩ko̩, todu ane̩-i ajo̩ko̩ tabale, ekwo kʼi akwo bo̩ Jihofa te̩. "
3,"Abe̩le̩ i le nane̩ Gome̩r, o̩ma Dibleim, oñ i fʼefu nyo̩, i la fʼo̩ma e̩ne̩ke̩le̩ bi ñw u."
4,"Taku Jihofa ka ñw u kakini, E̩ ki dʼodu-wñ ko̩ Je̩zree̩l"
5,"I la awatʼiko le̩, kʼomi agu o̩o̩do̩ Israe̩l che̩ ef o̩go̩ Je̩zree̩l."
6,"Tak onobule̩ le̩ ño̩ dabi fʼefu nyo̩ ge̩. I la fʼo̩ma onobule̩ bi. Oñ i ka ñw u kakini, E̩ ki dʼodu-wñ ko̩ Lo-ruhama"
7,"Omi muda ali abunyi Juda ejumomi, kʼu najadu ma lugbo Jihofa, O̩jo̩-ma; u la anʼo̩o̩do̩ abe̩k o̩kwo̩chageli abe̩k ogu eja abe̩k amanya abe̩k amananya jadu ma n."
8,"Oñ e̩gba ku Lo-ruhama mʼalu e̩nya da, iye-wñ ño̩ fʼefu nyo̩, oñ i fʼo̩ma e̩ne̩ke̩le̩ bi. "
9,Tak i kakini. E̩ ki dʼodu-wñ ko̩ Lo-ammi
10,"I chaka dʼabe̩le̩ aluka amo̩ma Israe̩l awewe dab e̩lanyi ohimini, e-ki ma jʼañwa n, kʼi ma la jʼakaluka n; oñ i awatu ka kʼugbo ku ma ka ñw ma kakini, Ama chʼabo-mi n, ma aka ñw ma kakini, Amo̩ma O̩jo̩ ki deju. "
11,"Taku ma akʼamo̩ma Juda kpʼamo̩ma Israe̩l wa jʼugbokate, oñ ma achi e̩ne̩ ka kʼi chʼagboji-ma; taku ma akwo bʼojane̩ le̩ te̩, todu iko Je̩zree̩l le̩ atabale."
