Verse,Text
1,"Alu ki sno ma de̩ e̩gba o̩lo̩ji kpai alu kʼomi ki alo̩ iko kʼokoi bie̩ ma de̩,"
2,"Alu kʼugbo̩che̩ ale tʼemi tʼemi kpai alu kʼakpadede awu,"
3,"Itali chʼutodu anya, ajamu chʼutodu o̩ke̩ke̩te̩,"
4,"E̩ ki dohi ake̩do̩nʼo̩la-wñ teju alu kʼidada-wñ de̩ n,"
5,"E̩ nadohi ñw ake̩do̩nʼo̩la-wñ teju idada-wñ,"
6,E̩ne̩ ki akpʼake̩do̩nʼo̩la-wñ uche̩
7,"E̩re̩ e̩no̩lo̩ lo̩ko̩li amiejo ofofo,"
8,Dab e̩ne̩ ki fʼokuta ji mʼinata
9,Dab ikeke kʼi gwunyʼo̩wo̩ e̩ne̩ kʼo̩te̩ mu
10,Dabe̩ne̩ kʼato̩fa ki ache e̩ne̩ tʼe̩ne̩ du agbe
11,Dab abia ki adabi tʼugbo kʼi kpo̩
12,Uwe̩ cheli one̩ ki chʼanibe eju o̩la-wñ?
13,"E̩nejudo̩o̩ kakini, Idu dʼej o̩na!"
14,"Dab oli alugbo̩na ki arida ef ukodo-wñ,"
15,E̩nejudo̩o̩ adʼo̩wo̩ tunyʼugba;
16,E̩nejudo̩o̩ nʼibe eju o̩la-wñ tʼone̩
17,E̩ne̩ ki alale kʼi adʼo̩wo̩ tunyu uja ki ma hiʼo̩wo̩-wñ n
18,"Dab ahimu ki aro̩ iji una,"
19,"abe̩le̩ e̩ne̩ le̩ de̩ ki akʼekeji-wñ e̩che̩ wane̩ kʼi akakini, I chʼiya u bʼe̩ che n?"
20,Tod iji ki ma de̩ n oñ una alu;
21,"Alu kʼe̩ge̩ una de̩ ugbo ige̩ kpai alu kʼuna de̩ ugbo iji,"
22,O̩la aro̩lo̩ dab o̩we̩ o̩je̩ ki rinyo̩;
23,Uko kʼi akʼe̩nyo̩ malamala manyʼe̩do̩ bie̩ne̩
24,E̩ne̩ ki achʼulaka anʼuko-wñ achʼakpaine̩
25,"e̩gba kʼi akʼomu e̩nyo̩, e̩ ki dʼo̩ rʼochochi n,"
26,"dagba ulaka la kʼo̩gwo̩ bʼoji o̩la-wñ ma,"
27,"E̩ne̩ ki gwʼo̩fe̩ añwa chʼu,"
28,"Ukpalu olemi achʼulaka abo kʼi kpa ma bie̩,"
