Verse,Text
1,"Anoji e-le̩ o̩la Jihofa ño̩ wʼugbo mi kakini, "
2,"O̩ma one̩, e̩ nafʼeju-we̩ kparʼuwo Seir kʼe̩ kache̩ bʼo ma, "
3,"kʼe̩ la ka ñw u kakini, Abu kʼOndu Jihofa aka de̩ kakini, Go, omi chʼe̩nagwunyʼuwe̩, O uwo Seir, u la anʼo̩wo̩-mi dala akobʼuwe̩, oñ nadʼe̩ chʼalache̩ kpʼe̩wñ awuwu. "
4,Nakʼewo ewo-we̩ chʼegbili e̩lanyi kpʼokuta tak uwe̩ achʼalache̩ te̩; tak uwe̩ ama ka kʼomi Jihofa de̩. 
5,"Todabu kʼulaka-we̩ chʼo̩ko̩ko̩lo̩, kʼe̩ la kʼamo̩ma Israe̩l rʼef ukpahiu o̩kwo̩chageli iko uchobi-ma, owñ chʼiko udu echi otitala; "
6,"todule̩ Oji-mi! Ondu Jihofa ka-i, omi añwʼuwe̩ che te̩ ñw e̩bie̩, e̩bie̩ la ara nʼuwe̩: abu kʼe̩bie̩ ma chʼe̩wñ ulaka-we̩ n, mak e̩bie̩ aranʼuwe̩. "
7,Abe̩le̩ omi ache kʼuwo Seir ki mud alache̩ e-alache̩; oñ nakʼe̩ne̩ ki alale gu ef uwñ du kpai e̩ne̩ kʼi adabiwa da rinyo̩ bʼo̩ te̩. 
8,Omi la ache kʼuwo uwo-wñ ki ko̩ ñw abo-wñ ku ma kpa; abo ku ma nʼo̩kwo̩chageli kpa awane̩ o̩la uwo uwo-we̩ kpʼef o̩go̩ o̩go̩-we̩ kpʼo̩na o̩na omi-we̩ chaka. 
9,"Omi ache kʼe̩ mud achigodo gbogbo alo, one̩ ñʼadodo ewo ewo-we̩ ge̩ n. Tak ame̩ ama ka kʼomi Jihofa de̩."
10,"Todabu kʼe̩ kakini, Abo uche̩ichi meji-i kpʼane̩ meji-i omi ane̩, awa la agba ñw o̩la-wa; dagba Jihofa chaka do̩mo̩; "
11,"todule̩, Oji-mi, Ondu Jihofa aka-i, Nache teju uwe̩do̩ e-we̩, kpai teju ulie̩na-we̩ e-kʼe̩ che ma kwef ulaka-ma kʼe̩ che; oñ naje̩ ñw ma ma mi ef uma e̩gba kʼu fʼajo̩-we̩ ka kpa. "
12,"Tak uwe̩ ama ka kʼomi, Jihofa, gbo̩ icha du kʼe̩ ka ñw uwo uwo Israe̩l, kakini, Ma fʼuma gwʼalache̩, ma mʼu ko ñw a kʼa fʼuma lie̩ me̩. "
13,Oñ me̩ nʼalu-me̩ bukpa tʼo̩la-me̩ chagwunyʼumi; o̩la-me̩ ku me̩ ka nyʼumi la nana nyo̩gba; omi gbʼo̩ me̩. 
14,"Abu kʼOndu Jihofa ka de̩, e̩gba kʼile̩ du do̩mo̩ agwoguyo̩, naje̩ ñw e̩ chʼalache̩ te̩. "
15,"Alu kʼe̩ gwoguyo̩ rʼe̩wñ ogu abo unyi Israe̩l oji, abu ki mud alache̩ te̩, abe̩le̩ omi achʼuwe̩. Uwe̩ achʼalache̩, O uwo Seir, kpai Ido̩m chaka, e-du abo n; tak ama ama ka kʼomi Jihofa de̩."
