Verse,Text
1,"I lachʼuwe̩, o̩ma one̩, kache̩ bi Go̩g ma, kʼe̩ ka kakini, Abu kʼOndu Jihofa aka de̩ kakini, Go, omi chʼe̩nagwunyʼuwe̩, O Go̩g, idachi Ro̩sh kpai Me̩she̩k kpai Tubal le̩; "
2,"oñ narʼuwe̩ da, tak u nanʼe̩ alo, oñ naje̩ ñw e̩ mute̩gu kwʼugbo ki chʼotitala o̩wo̩ o̩pata ate̩ wa; u la adʼuwe̩ wa oj uwo uwo Israe̩l, "
3,"tak u nadʼe̩wñ gwʼo̩o̩do̩-we̩ bʼo̩wo̩-we̩ awohi te̩, oñ naje̩ ñw o̩fa-we̩ ñwa nʼane̩ bʼo̩wo̩-we̩ awo̩to̩ te̩. "
4,"Uwe̩ awane̩ oj uwo uwo Israe̩l, uwe̩, kpʼo̩wo̩ o̩wo̩ amone̩-we̩ chaka, kpai amone̩ amone̩ ku ma jʼugbo we̩. Nadʼe̩ ñw ame̩we̩ uche̩ uche̩ du ku ma chʼe̩ño̩ e̩la, kpʼame̩wñ iñmi egbili ku ma mʼe̩ du je̩. "
5,"Uwe̩ awane̩ egbili gbaa; todu omi ka me̩, Ondu Jihofa ka-i. "
6,"Tak u nadʼuna kpuche̩ ru Mago̩g, kpʼabʼoji abo ku ma dodo to̩ko̩o̩ o̩lʼomi omi ma; tak ama ama ka kʼomi Jihofa de̩."
7,"U la aje̩ ñwu ma fʼodu-mi kiafo̩ ma alumeji abo-mi Israe̩l; u lañʼaje̩ ñwu ma fʼodu-mi kiafo̩ kpabie̩ ge̩ n; tak abo uche̩ichi uche̩ichi ama ka kʼomi Jihofa de̩, kʼu chʼe̩ne̩ kiafo̩ efu Israe̩l. "
8,"Go, i awa, i la ache, Ondu Jihofa ka-i; O̩jo̩ kʼomi te̩tako̩la-wñ tane̩ le̩ de̩."
9,"Tak abo ku ma dodo ewo ewo Israe̩l adufu, oñ ma anʼido̩na ogu kʼuna ku ma gujo rinyo̩, tʼo̩kpatabeli, tʼugbe̩yo, tʼo̩o̩do̩, tʼo̩fa, kpai ugbolo ku ma ko nʼo̩wo̩, kpʼo̩kwo̩chageli, oñ ma anʼabʼe-le̩ kʼuna o̩do̩ mebie; "
10,"todule̩ ma ñʼachʼiji kwʼoko wa n, ma la alo̩ oli efoko wane̩ n, todu ama anʼe̩wñ ido̩na ogu le̩ kʼuna; oñ abo ku ma ko ma che e̩wñ kʼogu je̩ le̩ amud e̩wñ kʼogu e-ma je̩, ma la akʼabo ku ma ko ma chʼe̩wñ aluje̩ chʼe̩wñ aluje̩ e-ma, Ondu Jihofa ka-i."
11,"Oñ i awache iko le̩, kʼomi adʼuña kʼi aji one̩-wñ ñw Go̩g oj ane̩ Israe̩l, owñ chʼogo̩ abo ku ma lale gudu kʼi dʼo̩wo̩ olodudu ohimini abadi le̩ e-le̩ akpʼo̩na nyʼabo ku ma lale gudu ku ma we ele; o̩mo̩ ma ako Go̩g kpʼo̩wo̩ one̩-wñ ji chaka, ma la adʼodu o̩mo̩ ko̩ O̩go̩ Hamo̩n-go̩g. "
12,Abo unyi Israe̩l ajʼef oku-ma eji ochu mebie kʼama ki fʼane̩ le̩ gwo rinyo̩. 
13,"Ochochi, o̩chaka abo ane̩-i ako ma ji; oñ i amud e̩wñ uwohi ñwu ma o̩jo̩ kʼu fʼojima-mi ne̩, Ondu Jihofa ka-i. "
14,"Ma la achi amone̩ tʼef uko̩lo̩ le̩ ku ma atale ane̩-i e̩gbadu, oñ abo ku ma akʼoku one̩ ki bo̩ oj ane̩-i ji ale bʼabo ku ma tale le̩ ku ma fʼu gwo rinyo̩; ochu mebie le̩ ki jo̩ taku ma atejane̩. "
15,"Tak abo ku ma tale oj ane̩-i alale gu ef uwñ du, oñ e̩gba ku ma fʼachiku one̩ li ma adʼujiwe-wñ dago, gbogbo tak abo ku ma kʼone̩ ji lewa mʼu du aji ef o̩go̩ Hamon-go̩g, "
16,(ma la ñʼadʼewoʼka ko̩ Hamo̩na ge̩). Abe̩le̩ ma ache kʼane̩ le̩ ki fe̩.
17,"I la chʼuwe̩, o̩ma one̩, abu kʼOndu Jihofa ka de̩ kakini, E̩ nako̩la ñw ame̩we̩ uche̩ uche̩ du, kpʼame̩wñ iñmi egbili okoke du kakini, Me̩ kʼo̩la-me̩ jeju, ku me̩ lewa; kʼo̩la-me̩ wa jo̩ o̩wo̩ tʼo̩wo̩ du ñw iche̩bo̩-mi kʼu nache todu me̩, owñ chʼiche̩bo̩ akakata oj uwo uwo Israe̩l kʼame̩ ki je̩ o̩re̩la ku ma ñmo̩ e̩bie̩. "
18,"Ame̩ aje̩ o̩re̩la amagbiti, me̩ la añmo̩ e̩bie̩ amidachi ile̩, e-amo̩kolo kpʼamo̩mala kpʼe-amo̩buko̩ kpʼamo̩kokuno̩, iche̩ka-ma chʼamala Beshan ki yoyo le̩. "
19,"Ame̩ la ajʼula gbogbo tak efu-me̩ ko̩, me̩ la añmo̩ e̩bie̩ gbogbo tak i mu me̩, owñ chʼe-iche̩bo̩-mi kʼu che todu me̩. "
20,"Efu-me̩ la ako̩ ñw amanya kpʼabo ku ma gwa o̩kogu kpʼamagbiti kpʼabogu chaka oj itebulu e-mi, Ondu Jihofa ka-i."
21,"Tak omi adʼojima-mi te̩ ef abo uche̩ichi uche̩ichi; oñ abo uche̩ichi du ali oj ajo̩-mi kʼu che teju-wñ, kpʼo̩wo̩-mi kʼu du nʼuma oji. "
22,"Abe̩le̩ abo unyi Israe̩l ama ka kʼomi Jihofa, O̩jo̩-ma de̩, akwʼo̩jo̩ le̩ nyʼate̩to̩gba-wñ. "
23,"Tak abo uche̩ichi uche̩ichi ama ka kʼabo unyi Israe̩l nyʼef amu tod udu ku ma fe̩; todabu ku ma fʼada-mi je̩, kʼu la meju-mi du maja bʼuma te̩; abe̩le̩ omi mʼuma ko jʼef o̩wo̩ ame̩no̩la-ma. O̩chaka-ma lewane̩ alu o̩kwo̩chageli. "
24,"Teju alu kʼiwa-ma de̩ kpai teju alu kʼada ku ma je̩ de̩, oñ u che ma; u la mʼeju-mi du maja bʼuma te̩."
25,"Todule̩ abu kʼOndu Jihofa ka de kakini, Fai tak u narʼamu Jeko̩b da, oñ nail o̩gbo abo unyi Israe̩l du ejumomi; oñ najogu tod odu-mi kiafo. "
26,"Ma agbenyo anyo̩-ma kpʼo̩wo̩ ku ma du tef ukpo aro ñwu mi chaka, e̩gba ku ma gugu oj ane̩-ma to̩ko̩o̩. E̩ne̩ du la anyʼuma okpo n, "
27,"e̩gba kʼu mʼuma ko kwʼef amone̩ amone̩ wa kʼu ño̩ mʼuma yajo̩ kwʼoj ane̩ oj ane̩ ame̩nebi-ma, kʼu la mud e̩ne̩ kiafo̩ ef uma eju abo uche̩ichi uche̩ichi wewe. "
28,"Tak ama ama ka kʼomi Jihofa, O̩jo̩-ma de̩, oñ chʼabu kʼu je̩ ñwu ma nyʼef amu ef abo uche̩ichi uche̩ichi, kʼu laño̩ mʼuma ko wa oj ane̩-ma ajo̩; u ñʼatʼe̩ne̩ du ef uma no tʼo̩mo̩ ge̩ n; "
29,"u lañʼadʼeju-mi maja bʼuma te̩ ge̩ n; todu u mʼAfu-mi du danyʼunyi abo Israe̩l, Ondu Jihofa ka-i."
