Verse,Text
1,"Jeme̩s, adu O̩jo̩ kpʼe-Ondu Jisus Kraisti, tʼugbo abo̩lo̩pu me̩gweji ku ma chʼe̩kpatuka jo̩ le̩, Me̩ agba-oo!"
2,"O̩chaka-wñ ki chʼuyo̩ eju-me̩, amo̩maye-mi, e̩gba du ku me̩ ñwa rʼef ajama ojoji ojoji, "
3,abu ku me̩ chema ka kʼe̩do̩ ekono-me̩ eñwago achuko̩lo̩ e̩do̩ elichi. 
4,"Me̩ ki la je̩ ñw e̩do̩ elichi le̩ ki nʼuko̩lo̩-wñ ache tʼukpoji, todu kʼame̩ ki mufu kpoji, kʼe̩wñ du ki jo̩ o̩la-me̩, ki nʼe̩wñ du ki bo̩ n."
5,"I la che̩wñ kʼibe nyarʼe̩ne̩ʼka ef ume̩, i ki bi ugbo O̩jo̩ kʼi nʼe̩do̩ foo kʼi akʼe̩wñ ñw e̩ne̩ du, kʼi ma la akicha ñw e̩ne̩ du n, taku ma adʼu ñw u. "
6,"I ki muda bi ef e̩do̩ eko̩no̩, i ki ñwa tʼemi tʼemi n. Todu e̩ne̩ ki do̩mo̩ añwa tʼemi tʼemi dab akpoli ohimini kʼafu adʼu, kʼi la arʼo̩ tʼemi tʼemi. "
7,Todu e̩ne̩ le̩ ki we e̩nʼibe ka kʼi agba e̩wñʼka kwʼugbo Ondu. 
8,"E̩ne̩ke̩le̩ ibe meji i che, o̩na kʼi ale nʼofe ane̩ n."
9,O̩maye kʼi la chʼo̩wo̩wane̩ kʼi nabuba ef udago-wñ kʼi chʼatate̩. 
10,"E̩ne̩ kʼi chʼanana ki nabuba ef ehio̩wo̩-wane̩-wñ, todu i alale rinyo̩ dab ododo egbe. "
11,"Todu olu kwane̩ manyʼafu ki kpuna, oñ i aje̩ ñw egbe gbe̩, tak ododo-wñ achi wane̩, oñ uto̩ eju e-wñ alenyo̩ rʼile̩. Abe̩le̩ anana ñʼakwacha rinyo̩ o̩na o̩na-wñ kʼi ale."
12,"E̩ne̩ke̩le̩ kʼi afe̩do̩lichi ugbo eja-ma ku ma ajʼowñ ma, gbede. Todu e̩gba du ku ma fʼu ñwago̩ kʼi nyo̩ kpa, i agba uloko e̩-iñmi, e-kʼi ko̩la-wñ tane̩ ñw abo ku ma afe̩do̩ owñ. "
13,E̩ne̩ du kʼi dʼef ajama ki we eka kʼO̩jo̩ ajʼumi ma-i. Todu i nʼe̩wñ e̩bie̩ne̩ du ki ajʼO̩jo̩ ma n. Owñ la ajʼe̩ne̩ du ma n. 
14,"Ajama e̩ne̩ne̩ne̩ne̩ la kwʼugbo eño̩ e̩wñ kʼowñ onugo ache, e-le̩ afʼo̩, e-le̩ adʼo̩jo̩ te̩ ñw u. "
15,"Tak e̩gba kʼe̩ño̩ e̩wñ le̩ fʼefu nyo̩, i abi adure. Adure la gbakpa, i adʼuku dufu."
16,"Me̩ we edʼo̩la-me̩ ibe, amo̩maye-mi kʼu nafe̩do̩. "
17,Ele eche nyo̩nyo̩ kpʼele ki mufu du kwo ate̩ wa. I nagwo̩ru awa kwʼugbo Ala ugane̩ e-kʼuña erida alu kʼojiji olu arida le̩ ma dʼugbo-wñ n. 
18,"Abu kʼi neku, i nʼo̩la ochochi bi wa, todu kʼawa ki chʼejo̩ga e̩wñ kʼi nyi uche̩ʼka."
19,"A me̩ ma, amo̩maye-mi kʼu nafe̩do̩. E̩ne̩ du ki hika gbo̩, kʼi la che̩du eko̩la, kʼi ño̩ che̩du e̩we̩do̩. "
20,Todu uwe̩do̩ e̩ne̩ke̩le̩ achuko̩lo̩ o̩kpakpa O̩jo̩ dufu n. 
21,"Todule̩, me̩ ki fʼe̩wñ iwa du kpʼe̩wñ e̩bie̩ne̩ ki chʼo̩be̩le̩ke̩te̩ jo̩ gwo̩ jane̩, me̩ ki jo̩ chikimi ku me̩ gbʼo̩la ki neke jadu onugo-me̩, owñ chʼe-ku ma chine ef ume̩ le̩."
22,"Me̩ ki muda chʼamache e̩wñ kʼo̩la le̩ ka; ku me̩ la we echʼamagbo̩ kate, o̩la-me̩ eda ibe e-le̩ che. "
23,"Todu iche̩wñ kʼe̩ne̩ʼka chʼagbo o̩la le̩, kʼi ma la chʼache n, e̩ne̩ le̩ dab e̩ne̩ke̩le̩ kʼi ago eju-wñ ef ogigo alu kʼi de̩ ku ma bi u. "
24,"Todu i fʼibe alu kʼo̩la-wñ de̩ ma, oñ i le owñ, tak ababa le̩ i gbenyo̩ alu kʼo̩la-wñ de̩. "
25,"Ama e̩ne̩ ki hie̩do̩ wane̩ chii ago ef o̩lo̩da ki mufu kʼi ño̩ chʼe-o̩mone̩ le̩, kʼi la gugu ef uwñ waa, kʼi ma mud agbo̩ kʼi agbenyo̩ n, chai ache uko̩lo̩-wñ, owñ le̩ agbede ef e̩wñ kʼi ache. "
26,"Iche̩wñ kʼe̩ne̩ʼka do̩ kʼi ache O̩jo̩, kʼi ma la fʼo̩wo̩ mʼalu-wñ ne̩ n, kʼi muda mʼe̩do̩-wñ ibe da, eche O̩jo̩ e-e̩ne̩ le̩ chʼo̩wai. "
27,"O̩jo̩ eche ki de̩ hiolo kpʼe-kʼi de̩ jali ugbo O̩jo̩ kpʼAta chʼukakini, Enyʼafejudʼamo̩mayuku kpʼamo̩yaukuo̩ko̩ ef o̩bata-ma, kpai o̩la-wñ onugo ede bʼe̩wñ ile̩-i te̩ kʼe̩wñ ki we edamʼo̩."
