Verse,Text
1,"Abu ki Jihofa ka de̩ kakini, E̩ gwo̩ru nyʼunyi onu Juda, kʼe̩ kʼo̩la-i o̩mo̩, "
2,"kʼe̩ ka kakini, E̩ ki gbʼo̩la ki Jihofa ka, O onu Juda, kʼe̩ gugu oj ede Defid, uwe̩ kpʼabo ku ma jʼugbo-we̩, kpai amone̩-we̩ ku ma gudu wʼalaku-i. "
3,"Abu ki Jihofa aka de̩ kakini, Me̩ ki che tʼeju alu kʼoji ajo̩ ku ma du te̩ de̩, kpai e̩wñ o̩kpakpa, ku me̩ gba e̩ne̩ kʼoji ji bʼef o̩wo̩ e̩ne̩ ki atʼo̩ mane̩ te̩. Me̩ ki chʼilowa kpʼabo ku ma ma nʼata n kpʼo̩yaukuo̩ko̩ du uji kpʼo̩lachi n. Me̩ ki la dʼe̩bie̩ ki ma fʼudu n dafo ugbo-i n. "
4,"Todu iche̩wñ kʼame̩ che teju o̩la-i ochochi, mak amonu ku ma gugu oj ede Defid atʼef o̩ko̩ane̩ kʼanya afo̩, kpʼabo ku ma tanʼanya, tʼama, tʼamadu-ma, tʼamone̩-ma, agudu wʼalaku, alaku unyi-i. "
5,"Iche̩wñ kʼame̩ muda ako̩ gbʼo̩la-i, u fʼoji o̩la-mi go̩, Jihofa aka-i, ka kʼunyi-i amud alache̩. "
6,Todu abu ki Jihofa aka ugbo unyi onu Juda de̩ kakini:
7,"Omi afʼamakpe̩wñ bie̩ do̩ tʼuwe̩ o̩la,"
8,"Abo uche̩ichi uche̩ichi wewe la alale gu ewo-i du, oñ e̩ne̩ne̩ne̩ne̩ aka ñw ekeji-wñ kakini, E̩wñ chi ki Jihofa che ewo inaina-i abe̩i ta? "
9,"Taku ma adohi kakini, Todu abu ku ma hi alo Jihofa O̩jo̩-ma tinyo̩, ku ma la dojikane̩ ñw amo̩jo̩ omune̩, kʼama ño̩ re̩ ma."
10,"Me̩ ki raku e̩ne̩ ki ku n,"
11,Todu abu ki Jihofa aka ugbo Shalum
12,"Ama ugbo ku ma ñʼo̩ nyi le̩, o̩mo̩ i aku, i lañʼali ane̩-i ge̩ n."
13,"Atogwo ñw e̩ne̩ ki nʼuji akʼunyi-wñ,"
14,"kʼi kakini, Nakʼunyi lile ñw o̩la-mi"
15,Uwe̩ do̩ ka kʼuwe̩ achʼonu
16,I fʼo̩la e̩no̩bata kpai e̩nale ka da;
17,Eju-we̩ kpʼe̩do̩-we̩ muda kad ile uji
18,"Todule̩ abu ki Jihofa aka ugbo Jihoyakim o̩ma Josaya, onu Juda le̩ de̩ kakini,"
19,"Ma adʼoku-wñ ji alu ku ma dʼo̩ke̩ke̩te̩ ji,"
20,"Te̩gu nyi Le̩bano̩n, kʼe̩ kwa taa,"
21,"E̩gba kʼe̩wñ ara ñw e̩ le̩, u ko̩la ñw e̩,"
22,"Afu ki aju akʼabo ku ma dide we̩ mi chaka,"
23,"O, uwe̩ kʼe̩ dodo Le̩bano̩n,"
24,"Oji-mi! Jihofa aka-i, dagba Konaya"
25,"Oñ nadʼe̩ tʼef o̩wo̩ abo ku ma tene oji-we̩, tef o̩wo̩ abo kʼe̩ arailo ma, owñ chʼef o̩wo̩ onu Ne̩biukadre̩za, onu Babilo̩n, kpai tef o̩wo̩ abo Kaldia. "
26,"Omi la akʼuwe̩ kpʼiye ki bi we̩ rikpolo tʼoj ane̩ omune̩, ugbo ku ma ma bi me̩ n, oñ o̩mo̩ ame̩ aku. "
27,"I muda chʼe-ane̩ kʼeju-wñ ane̩ ma ku ma dabi tʼo̩mo̩, ama ñʼadabi tʼo̩mo̩ n,"
28,E̩ne̩ ku ma do̩ ko̩ Konaya-i chʼanade ku ma chʼe̩de̩te̩-wñ?
29,"O ane̩, ane̩, ane̩,"
30,Abu ki Jihofa aka de̩ kakini:
