Verse,Text
1,Omi fʼilo kpe̩ kpʼeju-mi me̩;
2,Todu e̩wñ ma chʼukpe̩ e-O̩jo̩ kʼikwʼate̩?
3,I chʼuchobi ake̩re̩bʼame̩nuji n?
4,I ali o̩na o̩na-mi n?
5,"Omi kpʼolemi ma kpe̩re̩,"
6,"je̩ ñw ma fʼumi ñwago oj e̩bo̩ o̩kpakpa,"
7,"E̩re̩-mi ma muna bʼo̩na te̩,"
8,"mak e̩gbale̩ omi ki fʼe̩wñ gbe̩, kʼe̩ne̩ omune̩ ki je̩;"
9,"Iche̩wñ kʼe̩wñʼka gwʼe̩do̩-mi o̩gwo̩ kʼu tene o̩ya one̩,"
10,"mak e̩gbale̩ o̩ya-mi ki no̩ e̩wñ tod e̩ne̩ omune̩,"
11,Todu e-le̩ ma chʼudu e̩bie̩ne̩;
12,"todu una ki afʼe̩wñ lie̩ gbogbo tʼef e̩kpabie̩ e-le̩ che,"
13,"Omi ma fʼeju kpʼo̩la adu-mi e̩ne̩ke̩le̩ abe̩k onobule̩ bo,"
14,mak abʼu nache e̩gba kʼO̩jo̩ kwane̩?
15,I chʼe̩ne̩ ki che mi efu iye-mi chʼowñ n?
16,"Iche̩wñ kʼu fʼame̩nubie̩ ubi bʼe̩wñ ki dʼuma e̩do̩ te̩,"
17,"abe̩k omi kate gugu abu e̩wñ-mi je̩,"
18,"(o̩da, akwʼo̩jo̩ okolobia-mi i dʼugbo mi agba dabe̩ne̩ kʼu chʼata-wñ,"
19,"iche̩wñ kʼomi li e̩ne̩ du ki alenyo̩ tod ukpo kʼi ma ne̩ n,"
20,"iche̩wñ kʼago-wñ ma kadua ñw mi n,"
21,iche̩wñ kʼomi chi o̩wo̩-mi nyʼate̩
22,"mak e̩gbale̩ o̩papata ojika-mi kʼi ñwa bʼo̩ te̩,"
23,"Todu uchobi ki akwʼugbo O̩jo̩ chʼe̩wñ ubailo ñw mi,"
24,"Iche̩wñ kʼomi dʼo̩jamalia chʼukibeno-mi,"
25,"iche̩wñ kʼomi gwoguyo̩ ukpe̩ kʼu nʼe̩wñ nana tabale,"
26,"iche̩wñ kʼomi gʼolu e̩gba kʼi afu,"
27,"kʼe̩wñ le̩ gwʼe̩do̩-mi o̩gwo̩ maja maja,"
28,"e-le̩ ma ño̩ chʼudu kʼamakajo̩ abʼudu-wñ ñw mi,"
29,"Iche̩wñ kʼomi gwoguyo̩ abu ku ma fʼe̩ne̩ kʼi chulaka-mi kpabie̩,"
30,"(ochochi, omi je̩ ñw alu-mi dure"
31,"iche̩wñ kʼaboke̩le̩ unyabo-mi ma ka n, kakini,"
32,(ilowa ru ojukpologu n;
33,"i la chʼe̩wñ kʼu dʼechada-mi maja dab Ade̩m,"
34,"todabu kʼu railo o̩wo̩ amone̩ lile,"
35,"O, omi ma nʼe̩ne̩ʼka kʼi agbʼomu-mi!"
36,Omi ma mʼu du nʼika-mi ale chuu;
37,U ma choli e̩re̩-mi kʼu chi ñw u;
38,"Iche̩wñ kʼane̩ uche̩-mi kwa achagwunyu mi,"
39,"iche̩wñ kʼomi je̩ ura-wñ kʼu ma rʼo̩me̩ ñw u n,"
40,"mak ikeke ki tiga koji e̩wñ e̩yo,"
