Verse,Text
1,"Me̩ ki fʼo̩kakachi fa Zayo̩n,"
2,"O̩jo̩ kʼane̩ chubi i che, kʼe̩wñ de̩ bulubulu,"
3,"Una do̩mo̩ alie̩ e̩wñ o̩gba ma,"
4,"E̩ li ma, ma dabe̩ne̩ kʼamanya ejuwe̩,"
5,"Ekuku-ma dab ekuku o̩kogu o̩kogu,"
6,"Eju-ma kʼamone̩ li ma jʼane̩ ali gbigbili,"
7,"Ma gwo̩ko̩ wa dabe̩ne̩ kʼamagbiti,"
8,"E̩ne̩ du akʼekeji-wñ e̩che̩ n,"
9,"Ma muro̩ bʼewo le̩ ma,"
10,"Ane̩-ile̩ aga o̩gba-ma,"
11,Taku Jihofa anʼomu-wñ data
12,"Ama i chaka che ifa-i, Jihofa aka-i,"
13,me̩ ki la fʼe̩do̩-me̩ na i ki chʼukpo-me̩ ofofo n.
14,"E̩ne̩ ma, abe̩k i adabi awʼo̩,"
15,Fʼo̩kakachi fa Zayo̩n;
16,kʼamone̩ wa jo̩.
17,"Amatama, ku ma chʼama che e̩wñ ñw Jihofa,"
18,"Taku Jihofa jogu tod ane̩-wñ,"
19,"Taku Jihofa dohi, oñ i ka ñw abo-wñ kakini."
20,"Omi muda akʼabogu o̩wo̩ o̩pata ate̩ le̩ bʼume̩ te̩ nyʼo̩najiji,"
21,"O ane̩-i, e̩ ki railo n;"
22,"Ame̩, ame̩la abe̩re̩me̩le̩ oko, me̩ ki railo n,"
23,"E̩do̩-me̩ ki bo̩, ame̩ amo̩ma Zayo̩n,"
24,"Ajita ugwo̩ka du ako̩ ñw o̩ka wit,"
25,Omi adʼo̩do̩ o̩do̩
26,"Ame̩ aje̩ kʼefu, e̩do̩-me̩ la abo̩,"
27,"Ame̩ ama ka kʼomi dʼalumeji abo Israe̩l,"
28,"Tak i awatu anubi-wñ,"
29,Omi ñʼadʼAfu-mi danyʼamadu e̩ne̩ke̩le̩
30,"Tak u nakʼe̩wñ uno̩ nye̩ña efojale kpai ane̩-ile̩, e̩bie̩ kpai una kpai oduduna ki dago waala. "
31,"Olu arida e̩chubi, ochu la arida e̩bie̩, o̩gba tak o̩jo̩ lile e-Jihofa ki abailo le̩ lewa. "
32,"Oñ i awatu ka kʼe̩ne̩ du ki akwa do̩ odu Jihofa afʼo̩wo̩ tane̩; todu abo ku ma mufu ajo̩ oj uwo Zayo̩n kpʼefu Je̩rusale̩m, alu ki Jihofa ka le̩. Oñ abo ki Jihofa ado̩ ma ajʼef e̩bo̩bo̩ amone̩ le̩."
