Verse,Text
1,"Tak o̩la Jihofa ño̩ wʼugbo Jona onukeji, kakini, "
2,"Kwane̩, kʼe̩ lo tu Nine̩fa, ewo lile le̩, kʼe̩ nʼo̩la kʼu naka ñw e̩ takoya ñwu ma. "
3,"Abe̩le̩ Jona kwane̩ oñ i le tu Nine̩fa, teju alu ki Jihofa ka. Nine̩fa le̩ la chʼewo ki tabale, ule̩-wñ chʼo̩jo̩ me̩ta. "
4,"Taku Jona chane̩ egudu nyʼef ewo le̩, ule̩ o̩jo̩ʼka. Oñ i dʼomu dago kakini, I bʼo̩jo̩ o̩gbo̩ meji taku ma agu ewo Nine̩fa-i lo̩! "
5,"Oñ abo Nine̩fa le̩ dʼo̩la O̩jo̩ le̩ rʼochochi; ma la fʼakoya alu eji ta, oñ ma mʼe̩gbanukpo ko nyʼo̩la, akwʼabo ki nana tule ef uma gbogbo wa tʼabo ki nya tule ef uma."
6,"Inabali-wñ la tʼonu Nine̩fa eti, oñ i kwane̩ bʼoj e̩de̩-wñ te̩, i la mʼotogbo-wñ gwo̩ jʼane̩, oñ i mʼe̩gbanukpo ko bʼo̩la ma, tak i kwogugu ef elulu. "
7,"Tak i fʼakoya ta, oñ i ka ugbo du Nine̩fa, alu ki chenyo̩ eju onu kpʼame̩ne̩lile kakini, Tʼone̩ tʼe̩la abe̩re̩me̩le̩, tʼamokuno̩, tʼame̩wño̩re̩ egini ki dʼe̩wñ kad alu n; ama ki jʼe̩wñ n, ama ki la ñmʼomi n, "
8,"e̩gbanukpo ki la bʼone̩ kpai e̩la abe̩re̩me̩le̩ o̩la ma, kʼama ki raku do̩ O̩jo̩ una una; i-i, e̩ne̩ne̩ne̩ne̩ ki narida bʼo̩na e̩bie̩ne̩ e-wñ te̩, kʼi kwo bʼo̩lachi ki dʼefo̩wo̩-wñ te̩. "
9,"E̩ne̩ma, abe̩k O̩jo̩ aribeda kʼi la arida bʼuwe̩do̩-wñ ki kpuna-i te̩, kʼa we elenyo̩?"
10,"Tak O̩jo̩ fʼuko̩lo̩-ma li, ka kʼama murida bʼo̩na e̩bie̩ne̩-ma te̩, tak e̩bie̩ne̩ kʼi ka kʼi ache ma le̩ wo̩ O̩jo̩. I la che̩ ge̩ n."
