Verse,Text
1,"Oñ o̩gba tak ujeju ucholo Elaloji le̩ wane̩, abu ku Jisus chema ka kʼauwa-wñ todu kʼi kwo bʼef ile̩ te̩ kʼi nyʼugbo Ata lewa me̩; alu kʼi te̩tafe̩do̩ abo e-wñ ku ma jʼef ile̩, i fe̩do̩ ma gbogbo tʼukpoji. "
2,"Oñ abu ku ma jo̩ ajʼo̩je̩ o̩kpane̩, e̩gba le̩ Abulumone̩ mʼibe du tʼef e̩do̩ Judas e-Saimo̩n Iskario̩t todu kʼi mʼowñ du ñw amone̩ mu me̩, "
3,"abu ku Jisus chema ka kʼAta mʼe̩wñ du ko jʼef o̩wo̩-wñ, kʼowñ la kwʼugbo O̩jo̩ dufu wa le̩, kʼowñ la anyʼugbo O̩jo̩ ge̩,— "
4,"i kwane̩ kwʼugbo o̩je̩ o̩kpane̩ le̩, oñ i mʼe̩wñ o̩la-wñ ko lane̩: i la mʼugbogbo line̩n ku ma du li o̩wo̩ du lʼago-wñ de. "
5,"Tak i chʼomiofo nyʼukpachi-ugwo̩wo̩, oñ i chane̩ egwʼe̩re̩ amako̩che̩-wñ kʼi dʼugbogbo line̩n ki lʼago-wñ de le̩ li e̩re̩-ma. "
6,"Todule̩ i lewa ugbo Saimo̩n Pita, i ka ñw u kakini, Ondu, uwe̩ agwʼe̩re̩ e-mi? "
7,"Jisus dohi ñw u kakini, E̩wñ kʼomi ache-i, e̩ ma fa-i ta n, e̩ muda ama ubi e̩wñ-i. "
8,"Pita ka ñw u kakini, I nʼugbo du kʼuwe̩ agwʼe̩re̩-mi ogbegbele̩ n. Jisus dohi ñw u kakini, Iche̩wñ kʼu ma gwʼuwe̩ n, e̩ nʼukpe̩ du ugbo mi n. "
9,"Saimo̩n Pita ka ñw u kakini, Ondu, i chʼe̩re̩-mi kate n, ama tʼo̩wo̩-mi tʼoji-mi du. "
10,"Jisus ka ñw u kakini, E̩ne̩ ki fʼo̩la gwe̩ i nʼeku kʼi aku n chai e̩re̩ egwe̩, o̩gbo̩ o̩la-wñ la de̩ hiolo me̩; ame̩ la de̩ hiolo me̩, i muda chʼo̩chaka-me̩ n. "
11,"Todu i chema e̩ne̩ ki adʼowñ ñw amone̩ mu, tod e-kide̩ oñ i kakini, I chʼo̩chaka-me̩ de̩ hiolo n."
12,"Todule̩ e̩gba kʼi fʼe̩re̩-ma gwe̩ kpa kʼi la mʼe̩wñ o̩la-wñ ko, kʼi ño̩ dabi chekukane̩, i ka ñwu ma kakini, Me̩ chema e̩wñ kʼu che ñwu me̩-i? "
13,"Ame̩ do̩ mi ko̩ Akone̩wñ kpai Ondu, o̩me̩me̩le̩ me̩ la ka-i, todu abe̩le̩ u de̩. "
14,"Todule̩ iche̩wñ kʼomi kʼu chʼOndu kpai Akone̩wñ fʼume̩ e̩re̩ gwe̩, mak ame̩ chenʼo̩me̩ ku me̩ gwʼomune̩ e̩re̩. "
15,"Todu e̩wñ ku me̩ awʼo̩li-wñ oñ omi du ñwu me̩-i, todu kʼame̩ ki ño̩ che alu kʼomi che ñwu me̩. "
16,"Ami, ami, naka ñwu me̩ kakini, Adu atʼodu-wñ le n, e̩nukpuche̩ la tʼe̩ne̩ ki kpʼo̩ le n. "
17,"Iche̩wñ ku me̩ ma e-kide̩, ku me̩ la che, me̩ gbede. "
18,"I chʼo̩la-me̩ chaka oñ naka-i n. Omi chema abo kʼu chi ma tane̩; ama todu kʼo̩la ki dʼef O̩takada O̩la O̩jo̩ ki che̩ kakini, E̩ne̩ ki aje̩ akala-mi fʼagbe̩re̩ ro̩ nyu mi. "
19,"Akwe̩gba-i naka ñwu me̩ o̩gba tak i wache, todu kʼe̩gba du kʼi wache kʼame̩ ki ke̩do̩no ka kʼomi de̩. "
