Verse,Text
1,Ama Jisus le tʼibe̩ uwo O̩lif. 
2,"Odudu odudu i ño̩ dabi wʼef unyi O̩jo̩ ge̩, tak amone̩ du wʼugbo-wñ, oñ i kwoguguane̩ ako̩ ma e̩wñ. "
3,"Tak amako̩takada kpʼamaFarisi mʼonobule̩ʼka ku ma mu ef o̩ko̩ eje̩ du wʼugbo-wñ; abu ku ma mʼowñ du dago alumeji, "
4,"ma ka ñw u kakini, Akone̩wñ, ma fʼonobule̩-i mu abu ki do̩mo̩ ajo̩ko̩. "
5,"Efo̩lo̩da Mose̩s la tuko̩ ñw a ka kʼa ki kʼokuta ro̩ dʼe̩ne̩ e̩go̩-i; uwe̩ fa, ab e̩ ka? "
6,"E-ku ma ka-i ma du jʼowñ ma, todu ku ma nʼe̩wñ ku ma gwo̩nyu ugbo-wñ. Ama Jisus te̩kpe̩ adʼo̩mo̩-wo̩-wñ kʼolubutu ane̩. "
7,"Oñ abu ku ma natʼowñ ene waa, i mute̩dago, i ka ñwu ma kakini, E̩ne̩ du ef ume̩ ki ma nʼadure n, e̩ne̩ le̩ ki kʼokuta ro̩ dʼo ejodudu. "
8,Tak i ño̩ dabi te̩kpe̩ akʼolubutu ane̩ ge̩. 
9,"Oñ abu kʼabo le̩ gbʼo̩, ma kwodufu okoka, ma chane̩ kwo ogijo ogijo gbogbo wa e̩ne̩ otitala; tak i bo̩ Jisus kate kpʼonobule̩ le̩ alumeji onto ugbo kʼi de̩. "
10,"Jisus mute̩dago, i ka ñw u kakini, Onobule̩, ugbo ma jo̩? I nʼe̩ne̩ du ki kpʼe̩ abi n? "
11,"Oñ i kakini, I nʼe̩ne̩ du n, Ondu. Taku Jisus kakini, Omi la akpʼe̩ abi ni ge̩; lo we̩, e̩ ki ño̩ dure ge̩ no.]"
12,"Todule̩ Jisus ño̩ dabi ko̩la ñwu ma kakini, Omi chʼugane̩ ile̩; e̩ne̩ ki atʼumi ubi alule̩ ef e̩chubi n, i muda ane̩ ugane̩ e-iñmi. "
13,"Todule̩ amaFarisi ka ñw u kakini, Uwe̩ agba o̩la-we̩ ibenu me̩; ibenu-we̩ chʼochochi n. "
