Verse,Text
1,"Oñ anya ku ma ro̩ je̩ ñw abo Jose̩f je̩ akwo Jo̩rdan ame̩ru Je̩riko gbogbo wa o̩gba e̩ga Je̩riko o̩wo̩ olodudu, nyʼef aje̩tachi ugbo ku ma te̩gu kwo Je̩riko ale tʼane̩ uwo Be̩te̩l le̩; "
2,"oñ i akwo Be̩te̩l anyi Luz, oñ i alale o̩mo̩ tʼalo̩me̩ abo Arki, Ataro̩t; "
3,"tak i agwo̩ru tʼo̩wo̩ olane̩ anyi alo̩me̩ abo Je̩fle̩t, gbogbo wʼalo̩me̩ Be̩t-ho̩ro̩n e-o̩gane̩, gbogbo wa Geze̩r, eledufu-wñ la dʼo̩la Ohimini."
4,"Oñ abo Jose̩f, Manasa kpai Ifraim mʼe̩wñ ogu e-ma gba."
5,"Alo̩me̩ abo Ifraim akwo̩ra unyi akwo̩ra unyi-ma la de̩: o̩me̩ e̩wñ ogu-ma o̩wo̩ olodudu chʼAtaro̩t-adar, gbogbo wa Be̩t-ho̩ro̩n e-ate̩, "
6,"tak alo̩me̩-wñ akwo o̩mo̩ rʼo̩wo̩ olane̩ anyi Mikmatat o̩wo̩ o̩pata ate̩; tak alo̩me̩-wñ arida tʼo̩wo̩ olodudu wa Taanat-shailo, oñ i alale o̩mo̩ o̩wo̩ olodudu anyi Janoa, "
7,"tak i agwo̩ru akwo Janoa nyi Ataro̩t kpai Naara, oñ i te̩ gbogbo wa Je̩riko, tak i ledufu o̩la Jo̩rdan. "
8,"Akwo Tapua alo̩me̩-wñ ale tʼo̩wo̩ olane̩ gbogbo wa aji Kana; eledufu-wñ la dʼo̩la ohimini. E-le̩ chʼe̩wñ ogu abo o̩lo̩pu Ifraim likpa akwo̩ra unyi akwo̩ra unyi-ma, "
9,"manyu ewo ewo ku ma date̩ ñw abo Ifraim alumeji e̩wñ ogu abo Manasa, ewo ewo le̩ chaka manyu ikpo unyi ikpo unyi-ma. "
10,"Ma nʼabo Kenan ku ma dodo Geze̩r dufu n: abe̩le̩ abo Kenan muda dodo alumeji abo Ifraim gbogbo tʼeñini, ma muda chʼamadu ku ma re̩ ma."
