Verse,Text
1,"Jud, adu Jisus Kraisti kpʼo̩maye Jeme̩s, tʼugbo abo udo̩, ku ma la te̩tafe̩do̩ ma ef O̩jo̩ Ata, ku ma la te̩tadejute̩ ma ñwu Jisus Kraisti: "
2,Eju-momi kpʼure̩do̩ kpʼufe̩do̩ ki nana nyo̩gba ñwu me̩.
3,"Ame̩nufe̩do̩, abu kʼu dʼemi ache̩do̩chacha alu du kʼu fʼo̩takada o̩la ujadu kʼi chʼe-wa de̩de̩ ko̩ rʼume̩, i mud otila ñwu mi kʼu fʼo̩takada ko̩ rʼume̩ adugbe̩do̩ ñwu me̩ ku me̩ fʼuja e̩do̩-ekono ku ma mʼu du ñw abo kiafo̩ o̩pioo le̩ ja. "
4,"Todu abo iche̩ka mugwo̩ we̩e̩le̩ tʼo̩ me̩. Owñ chʼabo ku ma kʼinabali-ma tane̩ igbegbele tod abi-i eje̩. Abo ku ma ma kpe̩do̩rʼO̩jo̩ n ma che. Ma adʼufe̩de̩nyo̩ O̩jo̩ rida ku ma li uña e̩wñtuñ eche. Ma la nʼaire̩ Jisus Kraisti, kʼowñ kate chʼOndu Onu kpʼOndu-wa, are̩."
5,"U la neku kʼu re me̩ wa, abu ku me̩ chaka fʼe̩wñ du ma e̩gbaʼka le̩, kakini, Abu kʼOndu fʼamone̩ le̩ jadu kwʼoj ane̩ Ijipti, ubi le̩ i fʼabo ku ma ma ke̩do̩no n kpabie̩ rinyo̩, "
6,"Oñ amonuche̩ O̩jo̩ ku ma ma fejute̩ o̩da oji o̩la e-ma n, ku ma muda hi odo e-ma tinyo̩, i la nafejute̩ ma oj igbaligba e-ogbegbele̩ ef e̩chubi gbe̩m ñw o̩jo̩ ajo̩ lile le̩. "
7,"Alu ku So̩do̩m kpai Go̩mo̩ra kpʼewo ewo ki lʼo̩ daka, kʼo̩la-ma jʼef abutabu e̩che̩ ku ma laño̩ kwo̩tʼo̩re̩la ojoji ubi dab abo-i, taku ma mʼuma kojo̩ chʼuwo̩li alu kʼudu e-una ogbegbele̩ echi ade̩."
8,"Abe̩le̩ ge̩, amano̩na-i akpʼo̩re̩la bie̩, ma ño̩ hi o̩da Ondu tʼiba. Ma laño̩ chakpabie̩ abo ojima. "
9,"E̩gba ki Maike̩l, kʼi chʼagboji amonuche̩ O̩jo̩, muda bʼAbulumone̩ tukana año̩la Mose̩s, i gbe̩do̩ egwʼajo̩ nʼo̩ achakpabie̩-wñ n. Chai eka i ka kakini, Ondu ki dejurʼe̩. "
10,"Abo-i muda achakpabie̩ e̩wñ kʼama ma mʼo̩ n, oñ e̩wñ kʼama mʼoji-wñ kwef italigba-ma, alu kʼame̩la ku ma ma nʼibe ekpe̩ n amʼoji e̩wñ le̩, ef e-le̩ ma fo̩la-ma chile̩che̩. "
11,"Atogwo ñwu ma! Todabu ku ma mʼo̩na Ken du, ma laño̩ mʼo̩la-ma darʼef ila Belam ku ma rʼo̩me̩ ñwu ma, oñ ma lenyo̩ rʼef iñwa Ko̩ra. "
12,"Abo-i chʼokuta ki bʼo̩la maja ugbo uje̩wñ ufe̩do̩-me̩ abu ku ma jʼaje̩ e̩wñ kpai ame̩, amadidala ku ma tene ije̩ ñw o̩la-ma kʼailo ma ba ma n ma che. Ma chʼakpa ki ma nʼomi n, kʼafu ako alo teml temi; oli o̩lo̩ji ki ma nʼe̩ro n, uku-ma chʼonu meji, ma chʼe̩wu tʼili tʼili, "
13,"akpoli ki acho̩ko̩ ohimini, anyo̩ o̩la-ma oñ ma wuwowo dufu le̩, o̩kpa ojale e-ku ma dejutʼe̩chubi e-e̩chubi ogbegbele̩ todu ma."
14,"Ino̩k, kʼi chʼe̩ne̩ ekebie ki ro̩no Ade̩m, ño̩ fʼache̩ abo-i ka kakini, Me̩ go, Ondu lewa ef abo-wñ kiafo̩ icham nyʼo̩gwo̩ko̩ wewe, "
15,"kʼi che alu kʼoj ajo̩ ka abʼe̩ne̩ du ma, kʼi laño̩ du uko̩lo̩ ki ma kpe̩do̩rʼO̩jo̩ n ku ma che lʼo̩na ki ma kpe̩do̩rʼO̩jo̩ n le̩ biu abo du ku ma ma kpe̩do̩rʼO̩jo̩ n, kpai o̩la ki gbiti du kʼame̩nadure ku ma ma kpe̩do̩rʼO̩jo̩ n du ko̩la nyʼowñ. "
